#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.Attitude__|Label|Polarity
#T_SP=webanno.custom.Graduation|Kind|Scaling


#Text=Here we go again with one of the left's favorite hobbies - race baiting.
1-1	0-4	Here	Appreciation[1]	neg[1]	_	_	
1-2	5-7	we	Appreciation[1]	neg[1]	_	_	
1-3	8-10	go	Appreciation[1]	neg[1]	_	_	
1-4	11-16	again	Appreciation[1]	neg[1]	_	_	
1-5	17-21	with	_	_	_	_	
1-6	22-25	one	_	_	_	_	
1-7	26-28	of	_	_	_	_	
1-8	29-32	the	_	_	_	_	
1-9	33-39	left's	_	_	_	_	
1-10	40-48	favorite	Judgment[2]	neg[2]	_	_	
1-11	49-56	hobbies	Judgment[2]	neg[2]	_	_	
1-12	57-58	-	Judgment[2]	neg[2]	_	_	
1-13	59-63	race	Judgment[2]|Appreciation[3]	neg[2]|neg[3]	_	_	
1-14	64-71	baiting	Judgment[2]|Appreciation[3]	neg[2]|neg[3]	_	_	
1-15	71-72	.	_	_	_	_	

#Text=Any inquiry will point directly to the First Nations' community and all of it own faults.
2-1	74-77	Any	_	_	_	_	
2-2	78-85	inquiry	_	_	_	_	
2-3	86-90	will	_	_	_	_	
2-4	91-96	point	_	_	_	_	
2-5	97-105	directly	_	_	_	_	
2-6	106-108	to	_	_	_	_	
2-7	109-112	the	_	_	_	_	
2-8	113-118	First	_	_	_	_	
2-9	119-126	Nations	_	_	_	_	
2-10	126-127	'	_	_	_	_	
2-11	128-137	community	_	_	_	_	
2-12	138-141	and	_	_	_	_	
2-13	142-145	all	_	_	_	_	
2-14	146-148	of	_	_	_	_	
2-15	149-151	it	_	_	_	_	
2-16	152-155	own	_	_	_	_	
2-17	156-162	faults	Appreciation	neg	_	_	
2-18	162-163	.	_	_	_	_	

#Text=But, but the evil white man is to blame for all the world's ills right?
3-1	166-169	But	Judgment[5]	neg[5]	_	_	
3-2	169-170	,	Judgment[5]	neg[5]	_	_	
3-3	171-174	but	Judgment[5]	neg[5]	_	_	
3-4	175-178	the	Judgment[5]	neg[5]	_	_	
3-5	179-183	evil	Judgment[5]|Appreciation[6]	neg[5]|neg[6]	_	_	
3-6	184-189	white	Judgment[5]	neg[5]	_	_	
3-7	190-193	man	Judgment[5]	neg[5]	_	_	
3-8	194-196	is	Judgment[5]	neg[5]	_	_	
3-9	197-199	to	Judgment[5]	neg[5]	_	_	
3-10	200-205	blame	Judgment[5]	neg[5]	_	_	
3-11	206-209	for	Judgment[5]	neg[5]	_	_	
3-12	210-213	all	Judgment[5]	neg[5]	_	_	
3-13	214-217	the	Judgment[5]	neg[5]	_	_	
3-14	218-225	world's	Judgment[5]	neg[5]	_	_	
3-15	226-230	ills	Judgment[5]|Appreciation[7]	neg[5]|neg[7]	_	_	
3-16	231-236	right	Judgment[5]	neg[5]	_	_	
3-17	236-237	?	_	_	_	_	

#Text=Meanwhile, our so-called journalists have completely ignored another officer involved shooting that occurred on August 11th.
4-1	237-246	Meanwhile	_	_	_	_	
4-2	246-247	,	_	_	_	_	
4-3	248-251	our	_	_	_	_	
4-4	252-261	so-called	Judgment	neg	_	_	
4-5	262-273	journalists	_	_	_	_	
4-6	274-278	have	_	_	_	_	
4-7	279-289	completely	Judgment[9]	neg[9]	Force	up	
4-8	290-297	ignored	Judgment[9]	neg[9]	_	_	
4-9	298-305	another	_	_	_	_	
4-10	306-313	officer	_	_	_	_	
4-11	314-322	involved	_	_	_	_	
4-12	323-331	shooting	Appreciation	neg	_	_	
4-13	332-336	that	_	_	_	_	
4-14	337-345	occurred	_	_	_	_	
4-15	346-348	on	_	_	_	_	
4-16	349-355	August	_	_	_	_	
4-17	356-360	11th	_	_	_	_	
4-18	360-361	.	_	_	_	_	

#Text=In Salt Lake City, the same day Michael Brown was gunned down a black policeman (whose name is still withheld) shot and killed an unarmed 20 year old white person.
5-1	363-365	In	_	_	_	_	
5-2	366-370	Salt	_	_	_	_	
5-3	371-375	Lake	_	_	_	_	
5-4	376-380	City	_	_	_	_	
5-5	380-381	,	_	_	_	_	
5-6	382-385	the	_	_	_	_	
5-7	386-390	same	_	_	_	_	
5-8	391-394	day	_	_	_	_	
5-9	395-402	Michael	_	_	_	_	
5-10	403-408	Brown	_	_	_	_	
5-11	409-412	was	_	_	_	_	
5-12	413-419	gunned	Appreciation[11]	neg[11]	_	_	
5-13	420-424	down	Appreciation[11]	neg[11]	_	_	
5-14	425-426	a	_	_	_	_	
5-15	427-432	black	_	_	_	_	
5-16	433-442	policeman	_	_	_	_	
5-17	443-444	(	_	_	_	_	
5-18	444-449	whose	Judgment[12]	neg[12]	_	_	
5-19	450-454	name	Judgment[12]	neg[12]	_	_	
5-20	455-457	is	Judgment[12]	neg[12]	_	_	
5-21	458-463	still	Judgment[12]	neg[12]	_	_	
5-22	464-472	withheld	Judgment[12]	neg[12]	_	_	
5-23	472-473	)	_	_	_	_	
5-24	474-478	shot	Judgment[13]	neg[13]	_	_	
5-25	479-482	and	Judgment[13]	neg[13]	_	_	
5-26	483-489	killed	Judgment[13]	neg[13]	_	_	
5-27	490-492	an	Judgment[13]	neg[13]	_	_	
5-28	493-500	unarmed	Judgment[13]	neg[13]	_	_	
5-29	501-503	20	_	_	_	_	
5-30	504-508	year	_	_	_	_	
5-31	509-512	old	_	_	_	_	
5-32	513-518	white	_	_	_	_	
5-33	519-525	person	_	_	_	_	
5-34	525-526	.	_	_	_	_	

#Text=The dead man, Dillon Taylor, like Michael Brown, had a criminal record, was unarmed and was trying to run from police before surrendering and being shot dead.Golly gee, how come ALMOST NO ONE is reporting this?
6-1	528-531	The	_	_	_	_	
6-2	532-536	dead	_	_	_	_	
6-3	537-540	man	_	_	_	_	
6-4	540-541	,	_	_	_	_	
6-5	542-548	Dillon	_	_	_	_	
6-6	549-555	Taylor	_	_	_	_	
6-7	555-556	,	_	_	_	_	
6-8	557-561	like	_	_	_	_	
6-9	562-569	Michael	_	_	_	_	
6-10	570-575	Brown	_	_	_	_	
6-11	575-576	,	_	_	_	_	
6-12	577-580	had	_	_	_	_	
6-13	581-582	a	_	_	_	_	
6-14	583-591	criminal	_	_	_	_	
6-15	592-598	record	_	_	_	_	
6-16	598-599	,	_	_	_	_	
6-17	600-603	was	_	_	_	_	
6-18	604-611	unarmed	_	_	_	_	
6-19	612-615	and	_	_	_	_	
6-20	616-619	was	_	_	_	_	
6-21	620-626	trying	_	_	_	_	
6-22	627-629	to	_	_	_	_	
6-23	630-633	run	_	_	_	_	
6-24	634-638	from	_	_	_	_	
6-25	639-645	police	_	_	_	_	
6-26	646-652	before	_	_	_	_	
6-27	653-665	surrendering	_	_	_	_	
6-28	666-669	and	_	_	_	_	
6-29	670-675	being	_	_	_	_	
6-30	676-680	shot	_	_	_	_	
6-31	681-691	dead.Golly	Judgment[14]	neg[14]	_	_	
6-32	692-695	gee	Judgment[14]	neg[14]	_	_	
6-33	695-696	,	Judgment[14]	neg[14]	_	_	
6-34	697-700	how	Judgment[14]	neg[14]	_	_	
6-35	701-705	come	Judgment[14]	neg[14]	_	_	
6-36	706-712	ALMOST	Judgment[14]	neg[14]	Force[2]|Focus[3]	up[2]|down[3]	
6-37	713-715	NO	Judgment[14]	neg[14]	Force[2]	up[2]	
6-38	716-719	ONE	Judgment[14]	neg[14]	Force[2]	up[2]	
6-39	720-722	is	Judgment[14]	neg[14]	_	_	
6-40	723-732	reporting	Judgment[14]	neg[14]	_	_	
6-41	733-737	this	Judgment[14]	neg[14]	_	_	
6-42	737-738	?	_	_	_	_	

#Text=Where are the marchers, rioters,looters and wall-to-wall media coverage?
7-1	740-745	Where	Judgment[15]	neg[15]	_	_	
7-2	746-749	are	Judgment[15]	neg[15]	_	_	
7-3	750-753	the	Judgment[15]	neg[15]	_	_	
7-4	754-762	marchers	Judgment[15]	neg[15]	_	_	
7-5	762-763	,	Judgment[15]	neg[15]	_	_	
7-6	764-771	rioters	Judgment[15]	neg[15]	_	_	
7-7	771-772	,	Judgment[15]	neg[15]	_	_	
7-8	772-779	looters	Judgment[15]	neg[15]	_	_	
7-9	780-783	and	Judgment[15]	neg[15]	_	_	
7-10	784-796	wall-to-wall	Judgment[15]	neg[15]	_	_	
7-11	797-802	media	Judgment[15]	neg[15]	_	_	
7-12	803-811	coverage	Judgment[15]	neg[15]	_	_	
7-13	811-812	?	_	_	_	_	

#Text=Oh right, this story does not fit the MSM mythical racial fairy tale.http://www.wnd.com/2014/08/black-cop-kills-white-man-media-hide-race/
8-1	814-816	Oh	_	_	_	_	
8-2	817-822	right	_	_	_	_	
8-3	822-823	,	_	_	_	_	
8-4	824-828	this	_	_	_	_	
8-5	829-834	story	_	_	_	_	
8-6	835-839	does	_	_	_	_	
8-7	840-843	not	_	_	_	_	
8-8	844-847	fit	_	_	_	_	
8-9	848-851	the	_	_	_	_	
8-10	852-855	MSM	_	_	_	_	
8-11	856-864	mythical	Appreciation[16]	neg[16]	_	_	
8-12	865-871	racial	Appreciation[16]	neg[16]	_	_	
8-13	872-877	fairy	Appreciation[16]	neg[16]	_	_	
8-14	878-887	tale.http	Appreciation[16]	neg[16]	_	_	
8-15	887-888	:	_	_	_	_	
8-16	888-889	/	_	_	_	_	
8-17	889-890	/	_	_	_	_	
8-18	890-901	www.wnd.com	_	_	_	_	
8-19	901-902	/	_	_	_	_	
8-20	902-906	2014	_	_	_	_	
8-21	906-907	/	_	_	_	_	
8-22	907-909	08	_	_	_	_	
8-23	909-910	/	_	_	_	_	
8-24	910-951	black-cop-kills-white-man-media-hide-race	_	_	_	_	
8-25	951-952	/	_	_	_	_	
