#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.Attitude__|Label|Polarity


#Text=Is someone here suggesting that there are some cohesive group of anti-aboriginal psychotic murderers out there whose collective mission statement is to kill only young aboriginal women?
1-1	0-2	Is	Judgment[1]	neg[1]	
1-2	3-10	someone	Judgment[1]	neg[1]	
1-3	11-15	here	Judgment[1]	neg[1]	
1-4	16-26	suggesting	Judgment[1]	neg[1]	
1-5	27-31	that	Judgment[1]	neg[1]	
1-6	32-37	there	Judgment[1]	neg[1]	
1-7	38-41	are	Judgment[1]	neg[1]	
1-8	42-46	some	Judgment[1]	neg[1]	
1-9	47-55	cohesive	Judgment[1]|*[2]|Appreciation[3]	neg[1]|neg[2]|neg[3]	
1-10	56-61	group	Judgment[1]	neg[1]	
1-11	62-64	of	Judgment[1]	neg[1]	
1-12	65-80	anti-aboriginal	Judgment[1]|*[4]|Appreciation[5]	neg[1]|neg[4]|neg[5]	
1-13	81-90	psychotic	Judgment[1]|Appreciation[6]|*[7]	neg[1]|neg[6]|neg[7]	
1-14	91-100	murderers	Judgment[1]|Appreciation[6]	neg[1]|neg[6]	
1-15	101-104	out	Judgment[1]	neg[1]	
1-16	105-110	there	Judgment[1]	neg[1]	
1-17	111-116	whose	Judgment[1]	neg[1]	
1-18	117-127	collective	Judgment[1]	neg[1]	
1-19	128-135	mission	Judgment[1]	neg[1]	
1-20	136-145	statement	Judgment[1]	neg[1]	
1-21	146-148	is	Judgment[1]	neg[1]	
1-22	149-151	to	Judgment[1]	neg[1]	
1-23	152-156	kill	Judgment[1]|*[8]|Appreciation[9]	neg[1]|neg[8]|neg[9]	
1-24	157-161	only	Judgment[1]	neg[1]	
1-25	162-167	young	Judgment[1]	neg[1]	
1-26	168-178	aboriginal	Judgment[1]	neg[1]	
1-27	179-184	women	Judgment[1]	neg[1]	
1-28	184-185	?	_	_	

#Text=Because if nobody is suggesting that then this is just another murder where someone was at the WRONG PLACE at the WRONG TIME.
2-1	186-193	Because	_	_	
2-2	194-196	if	_	_	
2-3	197-203	nobody	_	_	
2-4	204-206	is	_	_	
2-5	207-217	suggesting	_	_	
2-6	218-222	that	_	_	
2-7	223-227	then	_	_	
2-8	228-232	this	Appreciation[10]	neg[10]	
2-9	233-235	is	Appreciation[10]	neg[10]	
2-10	236-240	just	Appreciation[10]	neg[10]	
2-11	241-248	another	Appreciation[10]	neg[10]	
2-12	249-255	murder	Appreciation[10]	neg[10]	
2-13	256-261	where	Appreciation[10]	neg[10]	
2-14	262-269	someone	Appreciation[10]	neg[10]	
2-15	270-273	was	Appreciation[10]	neg[10]	
2-16	274-276	at	Appreciation[10]	neg[10]	
2-17	277-280	the	Appreciation[10]	neg[10]	
2-18	281-286	WRONG	Appreciation[10]	neg[10]	
2-19	287-292	PLACE	Appreciation[10]	neg[10]	
2-20	293-295	at	Appreciation[10]	neg[10]	
2-21	296-299	the	Appreciation[10]	neg[10]	
2-22	300-305	WRONG	Appreciation[10]	neg[10]	
2-23	306-310	TIME	Appreciation[10]	neg[10]	
2-24	310-311	.	_	_	

#Text=If too many young aboriginal women are THERE and THEN, it seems, the reason for that should be the subject of any inquiry.
3-1	312-314	If	Appreciation[11]	neg[11]	
3-2	315-318	too	Appreciation[11]	neg[11]	
3-3	319-323	many	Appreciation[11]	neg[11]	
3-4	324-329	young	Appreciation[11]	neg[11]	
3-5	330-340	aboriginal	Appreciation[11]	neg[11]	
3-6	341-346	women	Appreciation[11]	neg[11]	
3-7	347-350	are	Appreciation[11]	neg[11]	
3-8	351-356	THERE	Appreciation[11]	neg[11]	
3-9	357-360	and	Appreciation[11]	neg[11]	
3-10	361-365	THEN	Appreciation[11]	neg[11]	
3-11	365-366	,	Appreciation[11]	neg[11]	
3-12	367-369	it	Appreciation[11]	neg[11]	
3-13	370-375	seems	Appreciation[11]	neg[11]	
3-14	375-376	,	Appreciation[11]	neg[11]	
3-15	377-380	the	Appreciation[11]	neg[11]	
3-16	381-387	reason	Appreciation[11]	neg[11]	
3-17	388-391	for	Appreciation[11]	neg[11]	
3-18	392-396	that	Appreciation[11]	neg[11]	
3-19	397-403	should	Appreciation[11]	neg[11]	
3-20	404-406	be	Appreciation[11]	neg[11]	
3-21	407-410	the	Appreciation[11]	neg[11]	
3-22	411-418	subject	Appreciation[11]	neg[11]	
3-23	419-421	of	Appreciation[11]	neg[11]	
3-24	422-425	any	Appreciation[11]	neg[11]	
3-25	426-433	inquiry	Appreciation[11]	neg[11]	
3-26	433-434	.	_	_	
