#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.Attitude__|Label|Polarity


#Text=Time for the elders and chiefs to stand up to the plate and take a leadership role!
1-1	0-4	Time	Appreciation[1]	pos[1]	
1-2	5-8	for	Appreciation[1]	pos[1]	
1-3	9-12	the	Appreciation[1]	pos[1]	
1-4	13-19	elders	Appreciation[1]	pos[1]	
1-5	20-23	and	Appreciation[1]	pos[1]	
1-6	24-30	chiefs	Appreciation[1]	pos[1]	
1-7	31-33	to	Appreciation[1]	pos[1]	
1-8	34-39	stand	Appreciation[1]	pos[1]	
1-9	40-42	up	Appreciation[1]	pos[1]	
1-10	43-45	to	Appreciation[1]	pos[1]	
1-11	46-49	the	Appreciation[1]	pos[1]	
1-12	50-55	plate	Appreciation[1]	pos[1]	
1-13	56-59	and	Appreciation[1]	pos[1]	
1-14	60-64	take	Appreciation[1]	pos[1]	
1-15	65-66	a	Appreciation[1]	pos[1]	
1-16	67-77	leadership	Appreciation[1]	pos[1]	
1-17	78-82	role	Appreciation[1]	pos[1]	
1-18	82-83	!	_	_	
