#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.Attitude__|Label|Polarity


#Text=Terrorist incidents in Europe, like the Madrid bombings, have been linked to people with connections to Tetouan in the Rif mountains of Morocco.
1-1	0-9	Terrorist	Appreciation	neg	
1-2	10-19	incidents	_	_	
1-3	20-22	in	_	_	
1-4	23-29	Europe	_	_	
1-5	29-30	,	_	_	
1-6	31-35	like	_	_	
1-7	36-39	the	_	_	
1-8	40-46	Madrid	_	_	
1-9	47-55	bombings	_	_	
1-10	55-56	,	_	_	
1-11	57-61	have	_	_	
1-12	62-66	been	_	_	
1-13	67-73	linked	_	_	
1-14	74-76	to	_	_	
1-15	77-83	people	_	_	
1-16	84-88	with	_	_	
1-17	89-100	connections	_	_	
1-18	101-103	to	_	_	
1-19	104-111	Tetouan	_	_	
1-20	112-114	in	_	_	
1-21	115-118	the	_	_	
1-22	119-122	Rif	_	_	
1-23	123-132	mountains	_	_	
1-24	133-135	of	_	_	
1-25	136-143	Morocco	_	_	
1-26	143-144	.	_	_	

#Text=Brussels has many people from the Rif area.
2-1	145-153	Brussels	_	_	
2-2	154-157	has	_	_	
2-3	158-162	many	_	_	
2-4	163-169	people	_	_	
2-5	170-174	from	_	_	
2-6	175-178	the	_	_	
2-7	179-182	Rif	_	_	
2-8	183-187	area	_	_	
2-9	187-188	.	_	_	
