#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.Attitude__|Label|Polarity
#T_SP=webanno.custom.Graduation|Kind|Scaling


#Text=Thanks very much for your reassurance, Richard!
1-1	0-6	Thanks	Appreciation[1]	pos[1]	_	_	
1-2	7-11	very	Appreciation[1]	pos[1]	Force[1]|Force[2]	up[1]|up[2]	
1-3	12-16	much	Appreciation[1]	pos[1]	Force[1]	up[1]	
1-4	17-20	for	_	_	_	_	
1-5	21-25	your	_	_	_	_	
1-6	26-37	reassurance	Appreciation	pos	_	_	
1-7	37-38	,	_	_	_	_	
1-8	39-46	Richard	_	_	_	_	
1-9	46-47	!	_	_	_	_	

#Text=I went back and revised my post somewhat because I thought I sounded angry, cold and possibly insulting (which I probably was)...but I didn't intend to include anything religious, Muslim or anything, at any time.
2-1	48-49	I	_	_	_	_	
2-2	50-54	went	_	_	_	_	
2-3	55-59	back	_	_	_	_	
2-4	60-63	and	_	_	_	_	
2-5	64-71	revised	_	_	_	_	
2-6	72-74	my	_	_	_	_	
2-7	75-79	post	_	_	_	_	
2-8	80-88	somewhat	_	_	_	_	
2-9	89-96	because	_	_	_	_	
2-10	97-98	I	_	_	_	_	
2-11	99-106	thought	_	_	_	_	
2-12	107-108	I	_	_	_	_	
2-13	109-116	sounded	_	_	_	_	
2-14	117-122	angry	Affect[3]	neg[3]	_	_	
2-15	122-123	,	Affect[3]	neg[3]	_	_	
2-16	124-128	cold	Affect[3]	neg[3]	_	_	
2-17	129-132	and	Affect[3]	neg[3]	_	_	
2-18	133-141	possibly	Affect[3]	neg[3]	Focus	down	
2-19	142-151	insulting	Affect[3]	neg[3]	_	_	
2-20	152-153	(	_	_	_	_	
2-21	153-158	which	_	_	_	_	
2-22	159-160	I	_	_	_	_	
2-23	161-169	probably	_	_	_	_	
2-24	170-173	was	_	_	_	_	
2-25	173-174	)	_	_	_	_	
2-26	174-175	.	_	_	_	_	
2-27	175-176	.	_	_	_	_	
2-28	176-177	.	_	_	_	_	
2-29	177-180	but	_	_	_	_	
2-30	181-182	I	_	_	_	_	
2-31	183-189	didn't	_	_	_	_	
2-32	190-196	intend	_	_	_	_	
2-33	197-199	to	_	_	_	_	
2-34	200-207	include	_	_	_	_	
2-35	208-216	anything	_	_	_	_	
2-36	217-226	religious	_	_	_	_	
2-37	226-227	,	_	_	_	_	
2-38	228-234	Muslim	_	_	_	_	
2-39	235-237	or	_	_	_	_	
2-40	238-246	anything	_	_	_	_	
2-41	246-247	,	_	_	_	_	
2-42	248-250	at	_	_	_	_	
2-43	251-254	any	_	_	_	_	
2-44	255-259	time	_	_	_	_	
2-45	259-260	.	_	_	_	_	

#Text=I do recognize, however, that it is entirely possibly the Belgian police officer demonstrated racial prejudice by believing I was north African and therefore should be followed, harassed, etc.
3-1	261-262	I	_	_	_	_	
3-2	263-265	do	_	_	_	_	
3-3	266-275	recognize	_	_	_	_	
3-4	275-276	,	_	_	_	_	
3-5	277-284	however	_	_	_	_	
3-6	284-285	,	_	_	_	_	
3-7	286-290	that	_	_	_	_	
3-8	291-293	it	_	_	_	_	
3-9	294-296	is	_	_	_	_	
3-10	297-305	entirely	_	_	_	_	
3-11	306-314	possibly	_	_	_	_	
3-12	315-318	the	_	_	_	_	
3-13	319-326	Belgian	_	_	_	_	
3-14	327-333	police	_	_	_	_	
3-15	334-341	officer	_	_	_	_	
3-16	342-354	demonstrated	_	_	_	_	
3-17	355-361	racial	Appreciation[4]	neg[4]	_	_	
3-18	362-371	prejudice	Appreciation[4]	neg[4]	_	_	
3-19	372-374	by	_	_	_	_	
3-20	375-384	believing	_	_	_	_	
3-21	385-386	I	_	_	_	_	
3-22	387-390	was	_	_	_	_	
3-23	391-396	north	_	_	_	_	
3-24	397-404	African	_	_	_	_	
3-25	405-408	and	_	_	_	_	
3-26	409-418	therefore	_	_	_	_	
3-27	419-425	should	_	_	_	_	
3-28	426-428	be	_	_	_	_	
3-29	429-437	followed	_	_	_	_	
3-30	437-438	,	_	_	_	_	
3-31	439-447	harassed	_	_	_	_	
3-32	447-448	,	_	_	_	_	
3-33	449-452	etc	_	_	_	_	
3-34	452-453	.	_	_	_	_	

#Text=Racial prejudice is widespread, and not only in Belgium.
4-1	454-460	Racial	Appreciation[5]|Appreciation[6]	neg[5]|neg[6]	_	_	
4-2	461-470	prejudice	Appreciation[5]|Appreciation[6]	neg[5]|neg[6]	_	_	
4-3	471-473	is	Appreciation[5]	neg[5]	_	_	
4-4	474-484	widespread	Appreciation[5]	neg[5]	_	_	
4-5	484-485	,	_	_	_	_	
4-6	486-489	and	_	_	_	_	
4-7	490-493	not	Appreciation[7]	neg[7]	_	_	
4-8	494-498	only	Appreciation[7]	neg[7]	_	_	
4-9	499-501	in	Appreciation[7]	neg[7]	_	_	
4-10	502-509	Belgium	Appreciation[7]	neg[7]	_	_	
4-11	509-510	.	_	_	_	_	

#Text=I honestly meant absolutely nothing religious, though!
5-1	511-512	I	_	_	_	_	
5-2	513-521	honestly	_	_	_	_	
5-3	522-527	meant	_	_	_	_	
5-4	528-538	absolutely	_	_	_	_	
5-5	539-546	nothing	_	_	_	_	
5-6	547-556	religious	_	_	_	_	
5-7	556-557	,	_	_	_	_	
5-8	558-564	though	_	_	_	_	
5-9	564-565	!	_	_	_	_	
