#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.Attitude__|Label|Polarity


#Text=The question is whether it's the seeds or the soil.
1-1	0-3	The	_	_	
1-2	4-12	question	_	_	
1-3	13-15	is	_	_	
1-4	16-23	whether	_	_	
1-5	24-28	it's	_	_	
1-6	29-32	the	_	_	
1-7	33-38	seeds	_	_	
1-8	39-41	or	_	_	
1-9	42-45	the	_	_	
1-10	46-50	soil	_	_	
1-11	50-51	.	_	_	

#Text=Is it the immigrants themselves, or the poor environment in which they are planted?
2-1	52-54	Is	_	_	
2-2	55-57	it	_	_	
2-3	58-61	the	_	_	
2-4	62-72	immigrants	_	_	
2-5	73-83	themselves	_	_	
2-6	83-84	,	_	_	
2-7	85-87	or	_	_	
2-8	88-91	the	_	_	
2-9	92-96	poor	Appreciation	neg	
2-10	97-108	environment	_	_	
2-11	109-111	in	_	_	
2-12	112-117	which	_	_	
2-13	118-122	they	_	_	
2-14	123-126	are	_	_	
2-15	127-134	planted	_	_	
2-16	134-135	?	_	_	

#Text=I think everyone can agree that dumping a bunch of ill-prepared foreigners into suburban European ghettos is a bad idea, but that shouldn't minimize the agency and autonomy of those individuals.
3-1	136-137	I	_	_	
3-2	138-143	think	_	_	
3-3	144-152	everyone	_	_	
3-4	153-156	can	_	_	
3-5	157-162	agree	_	_	
3-6	163-167	that	_	_	
3-7	168-175	dumping	Appreciation	neg	
3-8	176-177	a	_	_	
3-9	178-183	bunch	_	_	
3-10	184-186	of	_	_	
3-11	187-199	ill-prepared	Judgment	neg	
3-12	200-210	foreigners	_	_	
3-13	211-215	into	_	_	
3-14	216-224	suburban	_	_	
3-15	225-233	European	_	_	
3-16	234-241	ghettos	_	_	
3-17	242-244	is	_	_	
3-18	245-246	a	_	_	
3-19	247-250	bad	Appreciation	neg	
3-20	251-255	idea	_	_	
3-21	255-256	,	_	_	
3-22	257-260	but	_	_	
3-23	261-265	that	_	_	
3-24	266-275	shouldn't	Appreciation[5]	neg[5]	
3-25	276-284	minimize	Appreciation[5]	neg[5]	
3-26	285-288	the	Appreciation[5]	neg[5]	
3-27	289-295	agency	Appreciation[5]	neg[5]	
3-28	296-299	and	Appreciation[5]	neg[5]	
3-29	300-308	autonomy	Appreciation[5]	neg[5]	
3-30	309-311	of	_	_	
3-31	312-317	those	_	_	
3-32	318-329	individuals	_	_	
3-33	329-330	.	_	_	

#Text=Radicalization, while pernicious, is a ultimately a choice; Islamic terrorism is not simply the product of bad immigration policies.
4-1	331-345	Radicalization	Appreciation	neg	
4-2	345-346	,	_	_	
4-3	347-352	while	_	_	
4-4	353-363	pernicious	Appreciation	neg	
4-5	363-364	,	_	_	
4-6	365-367	is	_	_	
4-7	368-369	a	_	_	
4-8	370-380	ultimately	_	_	
4-9	381-382	a	_	_	
4-10	383-389	choice	_	_	
4-11	389-390	;	_	_	
4-12	391-398	Islamic	_	_	
4-13	399-408	terrorism	_	_	
4-14	409-411	is	_	_	
4-15	412-415	not	Appreciation[8]	neg[8]	
4-16	416-422	simply	Appreciation[8]	neg[8]	
4-17	423-426	the	Appreciation[8]	neg[8]	
4-18	427-434	product	Appreciation[8]	neg[8]	
4-19	435-437	of	Appreciation[8]	neg[8]	
4-20	438-441	bad	Appreciation[8]|Appreciation[9]	neg[8]|neg[9]	
4-21	442-453	immigration	Appreciation[8]	neg[8]	
4-22	454-462	policies	Appreciation[8]	neg[8]	
4-23	462-463	.	_	_	

#Text=We must be careful to acknowledge, yet not conflate, the two issues.
5-1	464-466	We	_	_	
5-2	467-471	must	Judgment[10]	neg[10]	
5-3	472-474	be	Judgment[10]	neg[10]	
5-4	475-482	careful	Judgment[10]	neg[10]	
5-5	483-485	to	_	_	
5-6	486-497	acknowledge	_	_	
5-7	497-498	,	_	_	
5-8	499-502	yet	_	_	
5-9	503-506	not	_	_	
5-10	507-515	conflate	_	_	
5-11	515-516	,	_	_	
5-12	517-520	the	_	_	
5-13	521-524	two	_	_	
5-14	525-531	issues	_	_	
5-15	531-532	.	_	_	
