#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.Attitude__|Label|Polarity
#T_SP=webanno.custom.Graduation|Kind|Scaling


#Text=The shallowness of this debate on government finances is depressing and all three parties are in the dock, along with an inadequately informed citizenry.
1-1	0-3	The	_	_	_	_	
1-2	4-15	shallowness	Appreciation	neg	_	_	
1-3	16-18	of	_	_	_	_	
1-4	19-23	this	_	_	_	_	
1-5	24-30	debate	_	_	_	_	
1-6	31-33	on	_	_	_	_	
1-7	34-44	government	_	_	_	_	
1-8	45-53	finances	_	_	_	_	
1-9	54-56	is	_	_	_	_	
1-10	57-67	depressing	Affect	neg	_	_	
1-11	68-71	and	_	_	_	_	
1-12	72-75	all	_	_	_	_	
1-13	76-81	three	_	_	_	_	
1-14	82-89	parties	_	_	_	_	
1-15	90-93	are	_	_	_	_	
1-16	94-96	in	_	_	_	_	
1-17	97-100	the	_	_	_	_	
1-18	101-105	dock	_	_	_	_	
1-19	105-106	,	_	_	_	_	
1-20	107-112	along	_	_	_	_	
1-21	113-117	with	_	_	_	_	
1-22	118-120	an	_	_	_	_	
1-23	121-133	inadequately	Appreciation	neg	_	_	
1-24	134-142	informed	_	_	_	_	
1-25	143-152	citizenry	_	_	_	_	
1-26	152-153	.	_	_	_	_	

#Text=We all ask to be manipulated because it so obviously works.
2-1	154-156	We	_	_	_	_	
2-2	157-160	all	_	_	_	_	
2-3	161-164	ask	Judgment[4]	neg[4]	_	_	
2-4	165-167	to	Judgment[4]	neg[4]	_	_	
2-5	168-170	be	Judgment[4]	neg[4]	_	_	
2-6	171-182	manipulated	Judgment[4]|Appreciation[5]	neg[4]|neg[5]	_	_	
2-7	183-190	because	_	_	_	_	
2-8	191-193	it	_	_	_	_	
2-9	194-196	so	Appreciation[6]	pos[6]	_	_	
2-10	197-206	obviously	Appreciation[6]	pos[6]	_	_	
2-11	207-212	works	Appreciation[6]	pos[6]	_	_	
2-12	212-213	.	_	_	_	_	

#Text=Fact is government has little influence on the broader economy.
3-1	214-218	Fact	_	_	_	_	
3-2	219-221	is	_	_	_	_	
3-3	222-232	government	_	_	_	_	
3-4	233-236	has	_	_	_	_	
3-5	237-243	little	Appreciation[7]	neg[7]	_	_	
3-6	244-253	influence	Appreciation[7]	neg[7]	_	_	
3-7	254-256	on	_	_	_	_	
3-8	257-260	the	_	_	_	_	
3-9	261-268	broader	_	_	_	_	
3-10	269-276	economy	_	_	_	_	
3-11	276-277	.	_	_	_	_	

#Text=Harper is no more responsible for our current doldrums than he would be if were enjoying a nice pleasant 3% growth rate.
4-1	278-284	Harper	_	_	_	_	
4-2	285-287	is	_	_	_	_	
4-3	288-290	no	Judgment[8]	neu[8]	_	_	
4-4	291-295	more	Judgment[8]	neu[8]	_	_	
4-5	296-307	responsible	Judgment[8]	neu[8]	_	_	
4-6	308-311	for	Judgment[8]	neu[8]	_	_	
4-7	312-315	our	Judgment[8]	neu[8]	_	_	
4-8	316-323	current	Judgment[8]	neu[8]	_	_	
4-9	324-332	doldrums	Judgment[8]|Appreciation[9]	neu[8]|neg[9]	_	_	
4-10	333-337	than	Judgment[8]	neu[8]	_	_	
4-11	338-340	he	Judgment[8]	neu[8]	_	_	
4-12	341-346	would	Judgment[8]	neu[8]	_	_	
4-13	347-349	be	Judgment[8]	neu[8]	_	_	
4-14	350-352	if	Judgment[8]	neu[8]	_	_	
4-15	353-357	were	Judgment[8]	neu[8]	_	_	
4-16	358-366	enjoying	Judgment[8]|Affect[10]	neu[8]|pos[10]	_	_	
4-17	367-368	a	Judgment[8]	neu[8]	_	_	
4-18	369-373	nice	Judgment[8]|Appreciation[11]	neu[8]|pos[11]	_	_	
4-19	374-382	pleasant	Judgment[8]|Appreciation[11]	neu[8]|pos[11]	_	_	
4-20	383-385	3%	Judgment[8]	neu[8]	_	_	
4-21	386-392	growth	Judgment[8]|Appreciation[12]	neu[8]|pos[12]	_	_	
4-22	393-397	rate	Judgment[8]	neu[8]	_	_	
4-23	397-398	.	_	_	_	_	

#Text=Indeed, if Harper can control the economy then why did we have a downturn?
5-1	399-405	Indeed	_	_	_	_	
5-2	405-406	,	_	_	_	_	
5-3	407-409	if	_	_	_	_	
5-4	410-416	Harper	_	_	_	_	
5-5	417-420	can	_	_	_	_	
5-6	421-428	control	_	_	_	_	
5-7	429-432	the	_	_	_	_	
5-8	433-440	economy	_	_	_	_	
5-9	441-445	then	_	_	_	_	
5-10	446-449	why	Appreciation[13]	neg[13]	_	_	
5-11	450-453	did	Appreciation[13]	neg[13]	_	_	
5-12	454-456	we	Appreciation[13]	neg[13]	_	_	
5-13	457-461	have	Appreciation[13]	neg[13]	_	_	
5-14	462-463	a	Appreciation[13]	neg[13]	_	_	
5-15	464-472	downturn	Appreciation[13]|Appreciation[14]	neg[13]|neg[14]	_	_	
5-16	472-473	?	_	_	_	_	

#Text=Truth is he can't.Nor can Trudeau or Mulcair.
6-1	474-479	Truth	_	_	_	_	
6-2	480-482	is	_	_	_	_	
6-3	483-485	he	_	_	_	_	
6-4	486-495	can't.Nor	Judgment[15]|Judgment[16]	neg[15]|neg[16]	_	_	
6-5	496-499	can	Judgment[15]	neg[15]	_	_	
6-6	500-507	Trudeau	Judgment[15]	neg[15]	_	_	
6-7	508-510	or	Judgment[15]	neg[15]	_	_	
6-8	511-518	Mulcair	Judgment[15]	neg[15]	_	_	
6-9	518-519	.	_	_	_	_	

#Text=Why we assign our political leaders influence on this is beyond me.However, it is quite normal in times of economic downturns for governments to run deficits so as to alleviate the problem to a degree.
7-1	520-523	Why	_	_	_	_	
7-2	524-526	we	_	_	_	_	
7-3	527-533	assign	_	_	_	_	
7-4	534-537	our	_	_	_	_	
7-5	538-547	political	_	_	_	_	
7-6	548-555	leaders	_	_	_	_	
7-7	556-565	influence	_	_	_	_	
7-8	566-568	on	_	_	_	_	
7-9	569-573	this	_	_	_	_	
7-10	574-576	is	_	_	_	_	
7-11	577-583	beyond	Appreciation[17]	neg[17]	_	_	
7-12	584-594	me.However	Appreciation[17]	neg[17]	_	_	
7-13	594-595	,	_	_	_	_	
7-14	596-598	it	_	_	_	_	
7-15	599-601	is	_	_	_	_	
7-16	602-607	quite	_	_	_	_	
7-17	608-614	normal	Appreciation	pos	_	_	
7-18	615-617	in	_	_	_	_	
7-19	618-623	times	_	_	_	_	
7-20	624-626	of	_	_	_	_	
7-21	627-635	economic	_	_	_	_	
7-22	636-645	downturns	Appreciation	neg	_	_	
7-23	646-649	for	_	_	_	_	
7-24	650-661	governments	_	_	_	_	
7-25	662-664	to	_	_	_	_	
7-26	665-668	run	_	_	_	_	
7-27	669-677	deficits	_	_	_	_	
7-28	678-680	so	_	_	_	_	
7-29	681-683	as	_	_	_	_	
7-30	684-686	to	_	_	_	_	
7-31	687-696	alleviate	Appreciation[20]	pos[20]	_	_	
7-32	697-700	the	Appreciation[20]	pos[20]	_	_	
7-33	701-708	problem	Appreciation[20]|Appreciation[21]	pos[20]|neg[21]	_	_	
7-34	709-711	to	Appreciation[20]	pos[20]	Force[1]	down[1]	
7-35	712-713	a	Appreciation[20]	pos[20]	Force[1]	down[1]	
7-36	714-720	degree	Appreciation[20]	pos[20]	Force[1]	down[1]	
7-37	720-721	.	_	_	_	_	

#Text=Cutting spending in order to have a balanced budget in such circumstances makes things worse as every economist knows.
8-1	722-729	Cutting	_	_	_	_	
8-2	730-738	spending	_	_	_	_	
8-3	739-741	in	_	_	_	_	
8-4	742-747	order	_	_	_	_	
8-5	748-750	to	_	_	_	_	
8-6	751-755	have	_	_	_	_	
8-7	756-757	a	_	_	_	_	
8-8	758-766	balanced	_	_	_	_	
8-9	767-773	budget	_	_	_	_	
