#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.Attitude__|Label|Polarity
#T_SP=webanno.custom.Graduation|Kind|Scaling


#Text=This guy is just another left leaning shill.
1-1	0-4	This	_	_	_	_	
1-2	5-8	guy	_	_	_	_	
1-3	9-11	is	_	_	_	_	
1-4	12-16	just	Judgment[1]	neg[1]	Focus	down	
1-5	17-24	another	Judgment[1]	neg[1]	_	_	
1-6	25-29	left	Judgment[1]	neg[1]	_	_	
1-7	30-37	leaning	Judgment[1]	neg[1]	_	_	
1-8	38-43	shill	Judgment[1]	neg[1]	_	_	
1-9	43-44	.	_	_	_	_	

#Text=The budget year isn't over until thise final DoF report comes out.
2-1	45-48	The	_	_	_	_	
2-2	49-55	budget	_	_	_	_	
2-3	56-60	year	_	_	_	_	
2-4	61-66	isn't	_	_	_	_	
2-5	67-71	over	_	_	_	_	
2-6	72-77	until	_	_	_	_	
2-7	78-83	thise	_	_	_	_	
2-8	84-89	final	_	_	_	_	
2-9	90-93	DoF	_	_	_	_	
2-10	94-100	report	_	_	_	_	
2-11	101-106	comes	_	_	_	_	
2-12	107-110	out	_	_	_	_	
2-13	110-111	.	_	_	_	_	

#Text=The surplus/deficit isn't official until these numbers are published.
3-1	112-115	The	_	_	_	_	
3-2	116-123	surplus	_	_	_	_	
3-3	123-124	/	_	_	_	_	
3-4	124-131	deficit	_	_	_	_	
3-5	132-137	isn't	_	_	_	_	
3-6	138-146	official	_	_	_	_	
3-7	147-152	until	_	_	_	_	
3-8	153-158	these	_	_	_	_	
3-9	159-166	numbers	_	_	_	_	
3-10	167-170	are	_	_	_	_	
3-11	171-180	published	_	_	_	_	
3-12	180-181	.	_	_	_	_	

#Text=Simpleton Simpson just doesn't get it.
4-1	182-191	Simpleton	Judgment[2]	neg[2]	_	_	
4-2	192-199	Simpson	Judgment[2]	neg[2]	_	_	
4-3	200-204	just	_	_	_	_	
4-4	205-212	doesn't	Judgment[3]	neg[3]	_	_	
4-5	213-216	get	Judgment[3]	neg[3]	_	_	
4-6	217-219	it	Judgment[3]	neg[3]	_	_	
4-7	219-220	.	_	_	_	_	
