#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.Attitude__|Label|Polarity


#Text=A great plan, but let's not forget that if the NDP had not joined the Conservatives in such a hurry to bring down the Liberal government in 2006 which had just established a national child care program (not promised, or planne4d, but established), Canada would have already had a national day care plan for EIGHT long years.
1-1	0-1	A	_	_	
1-2	2-7	great	Appreciation	pos	
1-3	8-12	plan	_	_	
1-4	12-13	,	_	_	
1-5	14-17	but	_	_	
1-6	18-23	let's	_	_	
1-7	24-27	not	_	_	
1-8	28-34	forget	_	_	
1-9	35-39	that	_	_	
1-10	40-42	if	Judgment[2]	neg[2]	
1-11	43-46	the	Judgment[2]	neg[2]	
1-12	47-50	NDP	Judgment[2]	neg[2]	
1-13	51-54	had	Judgment[2]	neg[2]	
1-14	55-58	not	Judgment[2]	neg[2]	
1-15	59-65	joined	Judgment[2]	neg[2]	
1-16	66-69	the	Judgment[2]	neg[2]	
1-17	70-83	Conservatives	Judgment[2]	neg[2]	
1-18	84-86	in	Judgment[2]	neg[2]	
1-19	87-91	such	Judgment[2]	neg[2]	
1-20	92-93	a	Judgment[2]	neg[2]	
1-21	94-99	hurry	Judgment[2]	neg[2]	
1-22	100-102	to	Judgment[2]	neg[2]	
1-23	103-108	bring	Judgment[2]	neg[2]	
1-24	109-113	down	Judgment[2]	neg[2]	
1-25	114-117	the	Judgment[2]	neg[2]	
1-26	118-125	Liberal	Judgment[2]	neg[2]	
1-27	126-136	government	Judgment[2]	neg[2]	
1-28	137-139	in	Judgment[2]	neg[2]	
1-29	140-144	2006	Judgment[2]	neg[2]	
1-30	145-150	which	Judgment[2]	neg[2]	
1-31	151-154	had	Judgment[2]	neg[2]	
1-32	155-159	just	Judgment[2]	neg[2]	
1-33	160-171	established	Judgment[2]	neg[2]	
1-34	172-173	a	Judgment[2]	neg[2]	
1-35	174-182	national	Judgment[2]	neg[2]	
1-36	183-188	child	Judgment[2]	neg[2]	
1-37	189-193	care	Judgment[2]	neg[2]	
1-38	194-201	program	Judgment[2]	neg[2]	
1-39	202-203	(	Judgment[2]	neg[2]	
1-40	203-206	not	Judgment[2]|Appreciation[3]	neg[2]|pos[3]	
1-41	207-215	promised	Judgment[2]|Appreciation[3]	neg[2]|pos[3]	
1-42	215-216	,	Judgment[2]|Appreciation[3]	neg[2]|pos[3]	
1-43	217-219	or	Judgment[2]|Appreciation[3]	neg[2]|pos[3]	
1-44	220-228	planne4d	Judgment[2]|Appreciation[3]	neg[2]|pos[3]	
1-45	228-229	,	Judgment[2]	neg[2]	
1-46	230-233	but	Judgment[2]	neg[2]	
1-47	234-245	established	Judgment[2]|Appreciation[4]	neg[2]|pos[4]	
1-48	245-246	)	Judgment[2]	neg[2]	
1-49	246-247	,	Judgment[2]	neg[2]	
1-50	248-254	Canada	Judgment[2]	neg[2]	
1-51	255-260	would	Judgment[2]	neg[2]	
1-52	261-265	have	Judgment[2]	neg[2]	
1-53	266-273	already	Judgment[2]	neg[2]	
1-54	274-277	had	Judgment[2]	neg[2]	
1-55	278-279	a	Judgment[2]	neg[2]	
1-56	280-288	national	Judgment[2]	neg[2]	
1-57	289-292	day	Judgment[2]	neg[2]	
1-58	293-297	care	Judgment[2]	neg[2]	
1-59	298-302	plan	Judgment[2]	neg[2]	
1-60	303-306	for	Judgment[2]	neg[2]	
1-61	307-312	EIGHT	Judgment[2]	neg[2]	
1-62	313-317	long	Judgment[2]	neg[2]	
1-63	318-323	years	Judgment[2]	neg[2]	
1-64	323-324	.	_	_	

#Text=They know full well that bringing down the Paul Martin would result in that move if the Conservatives took office.
2-1	325-329	They	_	_	
2-2	330-334	know	Judgment[5]	neg[5]	
2-3	335-339	full	Judgment[5]	neg[5]	
2-4	340-344	well	Judgment[5]	neg[5]	
2-5	345-349	that	Judgment[5]	neg[5]	
2-6	350-358	bringing	Judgment[5]	neg[5]	
2-7	359-363	down	Judgment[5]	neg[5]	
2-8	364-367	the	Judgment[5]	neg[5]	
2-9	368-372	Paul	Judgment[5]	neg[5]	
2-10	373-379	Martin	Judgment[5]	neg[5]	
2-11	380-385	would	Judgment[5]	neg[5]	
2-12	386-392	result	Judgment[5]	neg[5]	
2-13	393-395	in	Judgment[5]	neg[5]	
2-14	396-400	that	Judgment[5]	neg[5]	
2-15	401-405	move	Judgment[5]	neg[5]	
2-16	406-408	if	_	_	
2-17	409-412	the	_	_	
2-18	413-426	Conservatives	_	_	
2-19	427-431	took	_	_	
2-20	432-438	office	_	_	
2-21	438-439	.	_	_	
