#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.Attitude__|Label|Polarity
#T_SP=webanno.custom.Graduation|Kind|Scaling


#Text=Harper promised 15% discount of 1000 dollars spent on children's sports activities.
1-1	0-6	Harper	_	_	_	_	
1-2	7-15	promised	_	_	_	_	
1-3	16-19	15%	_	_	_	_	
1-4	20-28	discount	_	_	_	_	
1-5	29-31	of	_	_	_	_	
1-6	32-36	1000	_	_	_	_	
1-7	37-44	dollars	_	_	_	_	
1-8	45-50	spent	_	_	_	_	
1-9	51-53	on	_	_	_	_	
1-10	54-64	children's	_	_	_	_	
1-11	65-71	sports	_	_	_	_	
1-12	72-82	activities	_	_	_	_	
1-13	82-83	.	_	_	_	_	

#Text=Mulcair promises 15 dollar a day child care.
2-1	84-91	Mulcair	_	_	_	_	
2-2	92-100	promises	_	_	_	_	
2-3	101-103	15	_	_	_	_	
2-4	104-110	dollar	_	_	_	_	
2-5	111-112	a	_	_	_	_	
2-6	113-116	day	_	_	_	_	
2-7	117-122	child	_	_	_	_	
2-8	123-127	care	_	_	_	_	
2-9	127-128	.	_	_	_	_	

#Text=I will go with Mulcair.
3-1	129-130	I	_	_	_	_	
3-2	131-135	will	Judgment[1]	pos[1]	_	_	
3-3	136-138	go	Judgment[1]	pos[1]	_	_	
3-4	139-143	with	Judgment[1]	pos[1]	_	_	
3-5	144-151	Mulcair	Judgment[1]	pos[1]	_	_	
3-6	151-152	.	_	_	_	_	

#Text=Harper helps rich parents who can afford 1000 dollars sports activities per child.
4-1	153-159	Harper	_	_	_	_	
4-2	160-165	helps	Judgment[2]	neg[2]	_	_	
4-3	166-170	rich	Judgment[2]	neg[2]	_	_	
4-4	171-178	parents	Judgment[2]	neg[2]	_	_	
4-5	179-182	who	_	_	_	_	
4-6	183-186	can	_	_	_	_	
4-7	187-193	afford	_	_	_	_	
4-8	194-198	1000	_	_	_	_	
4-9	199-206	dollars	_	_	_	_	
4-10	207-213	sports	_	_	_	_	
4-11	214-224	activities	_	_	_	_	
4-12	225-228	per	_	_	_	_	
4-13	229-234	child	_	_	_	_	
4-14	234-235	.	_	_	_	_	

#Text=Mulcair cares for the middle and poor class.
5-1	236-243	Mulcair	_	_	_	_	
5-2	244-249	cares	Judgment[3]	pos[3]	_	_	
