#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.Attitude__|Label|Polarity
#T_SP=webanno.custom.Graduation|Kind|Scaling


#Text=Nobody really cares if a woman or man holds the highest office, is a BOD or the CEO of a fortune 500 company.
1-1	0-6	Nobody	Appreciation[1]	pos[1]	_	_	
1-2	7-13	really	Appreciation[1]	pos[1]	_	_	
1-3	14-19	cares	Appreciation[1]	pos[1]	_	_	
1-4	20-22	if	Appreciation[1]	pos[1]	_	_	
1-5	23-24	a	Appreciation[1]	pos[1]	_	_	
1-6	25-30	woman	Appreciation[1]	pos[1]	_	_	
1-7	31-33	or	Appreciation[1]	pos[1]	_	_	
1-8	34-37	man	Appreciation[1]	pos[1]	_	_	
1-9	38-43	holds	Appreciation[1]	pos[1]	_	_	
1-10	44-47	the	Appreciation[1]	pos[1]	_	_	
1-11	48-55	highest	Appreciation[1]	pos[1]	_	_	
1-12	56-62	office	Appreciation[1]	pos[1]	_	_	
1-13	62-63	,	_	_	_	_	
1-14	64-66	is	_	_	_	_	
1-15	67-68	a	_	_	_	_	
1-16	69-72	BOD	_	_	_	_	
1-17	73-75	or	_	_	_	_	
1-18	76-79	the	_	_	_	_	
1-19	80-83	CEO	_	_	_	_	
1-20	84-86	of	_	_	_	_	
1-21	87-88	a	_	_	_	_	
1-22	89-96	fortune	_	_	_	_	
1-23	97-100	500	_	_	_	_	
1-24	101-108	company	_	_	_	_	
1-25	108-109	.	_	_	_	_	

#Text=People just don't care, most of us have far more important things in life to worry about.
2-1	110-116	People	_	_	_	_	
2-2	117-121	just	Appreciation[2]	neu[2]	_	_	
2-3	122-127	don't	Appreciation[2]	neu[2]	_	_	
2-4	128-132	care	Appreciation[2]	neu[2]	_	_	
2-5	132-133	,	_	_	_	_	
2-6	134-138	most	_	_	_	_	
2-7	139-141	of	_	_	_	_	
2-8	142-144	us	_	_	_	_	
2-9	145-149	have	_	_	_	_	
2-10	150-153	far	Appreciation[3]	pos[3]	Force[1]|Force[2]	up[1]|up[2]	
2-11	154-158	more	Appreciation[3]	pos[3]	Force[1]	up[1]	
2-12	159-168	important	Appreciation[3]	pos[3]	_	_	
2-13	169-175	things	_	_	_	_	
2-14	176-178	in	_	_	_	_	
2-15	179-183	life	_	_	_	_	
2-16	184-186	to	_	_	_	_	
2-17	187-192	worry	Affect	neg	_	_	
2-18	193-198	about	_	_	_	_	
2-19	198-199	.	_	_	_	_	

#Text=Hillary is not a woman running for office, she was a person competing for a job and the people decided she didn't fit the bill.
3-1	200-207	Hillary	_	_	_	_	
3-2	208-210	is	_	_	_	_	
3-3	211-214	not	_	_	_	_	
3-4	215-216	a	_	_	_	_	
3-5	217-222	woman	_	_	_	_	
3-6	223-230	running	_	_	_	_	
3-7	231-234	for	_	_	_	_	
3-8	235-241	office	_	_	_	_	
3-9	241-242	,	_	_	_	_	
3-10	243-246	she	_	_	_	_	
3-11	247-250	was	_	_	_	_	
3-12	251-252	a	_	_	_	_	
3-13	253-259	person	_	_	_	_	
3-14	260-269	competing	_	_	_	_	
3-15	270-273	for	_	_	_	_	
3-16	274-275	a	_	_	_	_	
3-17	276-279	job	_	_	_	_	
3-18	280-283	and	_	_	_	_	
3-19	284-287	the	_	_	_	_	
3-20	288-294	people	_	_	_	_	
3-21	295-302	decided	Judgment[5]	neg[5]	_	_	
3-22	303-306	she	Judgment[5]	neg[5]	_	_	
3-23	307-313	didn't	Judgment[5]	neg[5]	_	_	
3-24	314-317	fit	Judgment[5]	neg[5]	_	_	
3-25	318-321	the	Judgment[5]	neg[5]	_	_	
3-26	322-326	bill	Judgment[5]	neg[5]	_	_	
3-27	326-327	.	_	_	_	_	

#Text=Get over it!
4-1	328-331	Get	Judgment[6]	neg[6]	_	_	
4-2	332-336	over	Judgment[6]	neg[6]	_	_	
4-3	337-339	it	Judgment[6]	neg[6]	_	_	
4-4	339-340	!	_	_	_	_	
