#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.Attitude__|Label|Polarity
#T_SP=webanno.custom.Graduation|Kind|Scaling


#Text=I like Francis because he seems to understand and recognize that life is very difficult for the marginal, the disenfranchised and the disadvantaged.
1-1	0-1	I	_	_	_	_	
1-2	2-6	like	Judgment	pos	_	_	
1-3	7-14	Francis	_	_	_	_	
1-4	15-22	because	_	_	_	_	
1-5	23-25	he	_	_	_	_	
1-6	26-31	seems	_	_	_	_	
1-7	32-34	to	_	_	_	_	
1-8	35-45	understand	Judgment[2]	pos[2]	_	_	
1-9	46-49	and	Judgment[2]	pos[2]	_	_	
1-10	50-59	recognize	Judgment[2]	pos[2]	_	_	
1-11	60-64	that	Judgment[2]	pos[2]	_	_	
1-12	65-69	life	Judgment[2]	pos[2]	_	_	
1-13	70-72	is	Judgment[2]	pos[2]	_	_	
1-14	73-77	very	Judgment[2]|Appreciation[3]	pos[2]|neg[3]	Force	up	
1-15	78-87	difficult	Judgment[2]|Appreciation[3]	pos[2]|neg[3]	_	_	
1-16	88-91	for	_	_	_	_	
1-17	92-95	the	_	_	_	_	
1-18	96-104	marginal	Appreciation[4]	neg[4]	_	_	
1-19	104-105	,	Appreciation[4]	neg[4]	_	_	
1-20	106-109	the	Appreciation[4]	neg[4]	_	_	
1-21	110-125	disenfranchised	Appreciation[4]	neg[4]	_	_	
1-22	126-129	and	Appreciation[4]	neg[4]	_	_	
1-23	130-133	the	Appreciation[4]	neg[4]	_	_	
1-24	134-147	disadvantaged	Appreciation[4]	neg[4]	_	_	
1-25	147-148	.	_	_	_	_	

#Text=He eschews pomp, as much as he can in the gilded cage he now inhabits, and is very different from his stern, aloof, emotionally shut-down, cold, entitled predecessor.
2-1	149-151	He	_	_	_	_	
2-2	152-159	eschews	Judgment[5]	pos[5]	_	_	
2-3	160-164	pomp	Judgment[5]	pos[5]	_	_	
2-4	164-165	,	_	_	_	_	
2-5	166-168	as	_	_	_	_	
2-6	169-173	much	_	_	_	_	
2-7	174-176	as	_	_	_	_	
2-8	177-179	he	_	_	_	_	
2-9	180-183	can	_	_	_	_	
2-10	184-186	in	_	_	_	_	
2-11	187-190	the	_	_	_	_	
2-12	191-197	gilded	Appreciation[6]	neg[6]	_	_	
2-13	198-202	cage	Appreciation[6]	neg[6]	_	_	
2-14	203-205	he	_	_	_	_	
2-15	206-209	now	_	_	_	_	
2-16	210-218	inhabits	_	_	_	_	
2-17	218-219	,	_	_	_	_	
2-18	220-223	and	_	_	_	_	
2-19	224-226	is	_	_	_	_	
2-20	227-231	very	Judgment[7]	pos[7]	Force	up	
2-21	232-241	different	Judgment[7]	pos[7]	_	_	
2-22	242-246	from	_	_	_	_	
2-23	247-250	his	_	_	_	_	
2-24	251-256	stern	Judgment[8]	neg[8]	_	_	
2-25	256-257	,	Judgment[8]	neg[8]	_	_	
2-26	258-263	aloof	Judgment[8]	neg[8]	_	_	
2-27	263-264	,	Judgment[8]	neg[8]	_	_	
2-28	265-276	emotionally	Judgment[8]	neg[8]	_	_	
2-29	277-286	shut-down	Judgment[8]	neg[8]	_	_	
2-30	286-287	,	Judgment[8]	neg[8]	_	_	
2-31	288-292	cold	Judgment[8]	neg[8]	_	_	
2-32	292-293	,	Judgment[8]	neg[8]	_	_	
2-33	294-302	entitled	Judgment[8]	neg[8]	_	_	
2-34	303-314	predecessor	_	_	_	_	
2-35	314-315	.	_	_	_	_	

#Text=He appears comfortable with himself, open, frank, tolerant and kind, yet absolutely firm and strong in the way he is guiding the church into being a less judgmental and incrementally more open and less corrupt institution.
3-1	316-318	He	_	_	_	_	
3-2	319-326	appears	Judgment[9]	pos[9]	_	_	
3-3	327-338	comfortable	Judgment[9]	pos[9]	_	_	
3-4	339-343	with	Judgment[9]	pos[9]	_	_	
3-5	344-351	himself	Judgment[9]	pos[9]	_	_	
3-6	351-352	,	Judgment[9]	pos[9]	_	_	
3-7	353-357	open	Judgment[9]	pos[9]	_	_	
3-8	357-358	,	Judgment[9]	pos[9]	_	_	
3-9	359-364	frank	Judgment[9]	pos[9]	_	_	
3-10	364-365	,	Judgment[9]	pos[9]	_	_	
3-11	366-374	tolerant	Judgment[9]	pos[9]	_	_	
3-12	375-378	and	Judgment[9]	pos[9]	_	_	
