#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.Attitude__|Label|Polarity


#Text=Then there is also the pope\u2019s meeting with Kim Davis, the Kentucky county clerk who refused to issue gay marriage licenses on religious grounds.
1-1	0-4	Then	_	_	
1-2	5-10	there	_	_	
1-3	11-13	is	_	_	
1-4	14-18	also	_	_	
1-5	19-22	the	_	_	
1-6	23-27	pope	_	_	
1-7	27-28	’	_	_	
1-8	28-29	s	_	_	
1-9	30-37	meeting	Judgment[1]	neg[1]	
1-10	38-42	with	Judgment[1]	neg[1]	
1-11	43-46	Kim	Judgment[1]	neg[1]	
1-12	47-52	Davis	Judgment[1]	neg[1]	
1-13	52-53	,	_	_	
1-14	54-57	the	_	_	
1-15	58-66	Kentucky	_	_	
1-16	67-73	county	_	_	
1-17	74-79	clerk	_	_	
1-18	80-83	who	_	_	
1-19	84-91	refused	Judgment[2]	neg[2]	
1-20	92-94	to	Judgment[2]	neg[2]	
1-21	95-100	issue	Judgment[2]	neg[2]	
1-22	101-104	gay	Judgment[2]	neg[2]	
1-23	105-113	marriage	Judgment[2]	neg[2]	
1-24	114-122	licenses	Judgment[2]	neg[2]	
1-25	123-125	on	Judgment[2]	neg[2]	
1-26	126-135	religious	Judgment[2]	neg[2]	
1-27	136-143	grounds	Judgment[2]	neg[2]	
1-28	143-144	.	_	_	

#Text=The pontiff likened her to a conscientious objector; a false analogy, since conscientious objectors didn\u2019t join the army and then refuse to fight; they refused to join the army in the first place.
2-1	145-148	The	_	_	
2-2	149-156	pontiff	_	_	
2-3	157-164	likened	Judgment[3]	neg[3]	
2-4	165-168	her	Judgment[3]	neg[3]	
2-5	169-171	to	Judgment[3]	neg[3]	
2-6	172-173	a	Judgment[3]	neg[3]	
2-7	174-187	conscientious	Judgment[3]	neg[3]	
2-8	188-196	objector	Judgment[3]	neg[3]	
2-9	196-197	;	_	_	
2-10	198-199	a	_	_	
2-11	200-205	false	Appreciation	neg	
2-12	206-213	analogy	_	_	
2-13	213-214	,	_	_	
2-14	215-220	since	_	_	
2-15	221-234	conscientious	Judgment[5]	pos[5]	
2-16	235-244	objectors	Judgment[5]	pos[5]	
2-17	245-249	didn	_	_	
2-18	249-250	’	_	_	
2-19	250-251	t	_	_	
2-20	252-256	join	Judgment[6]	neg[6]	
2-21	257-260	the	Judgment[6]	neg[6]	
2-22	261-265	army	Judgment[6]	neg[6]	
2-23	266-269	and	Judgment[6]	neg[6]	
2-24	270-274	then	Judgment[6]	neg[6]	
2-25	275-281	refuse	Judgment[6]	neg[6]	
2-26	282-284	to	Judgment[6]	neg[6]	
2-27	285-290	fight	Judgment[6]	neg[6]	
2-28	290-291	;	_	_	
2-29	292-296	they	_	_	
2-30	297-304	refused	_	_	
2-31	305-307	to	_	_	
2-32	308-312	join	_	_	
2-33	313-316	the	_	_	
2-34	317-321	army	_	_	
2-35	322-324	in	_	_	
2-36	325-328	the	_	_	
2-37	329-334	first	_	_	
2-38	335-340	place	_	_	
2-39	340-341	.	_	_	

#Text=If Kim Davis were truly comparable to a conscientious objector, she would have resigned from her job the minute she was asked to issue a gay marriage license, rather than continue and try to force her religious views on others in lieu of performing her professional duties.
3-1	342-344	If	Judgment[7]	neg[7]	
3-2	345-348	Kim	Judgment[7]	neg[7]	
3-3	349-354	Davis	Judgment[7]	neg[7]	
3-4	355-359	were	Judgment[7]	neg[7]	
3-5	360-365	truly	Judgment[7]	neg[7]	
3-6	366-376	comparable	Judgment[7]	neg[7]	
3-7	377-379	to	Judgment[7]	neg[7]	
3-8	380-381	a	Judgment[7]	neg[7]	
3-9	382-395	conscientious	Judgment[7]	neg[7]	
3-10	396-404	objector	Judgment[7]	neg[7]	
3-11	404-405	,	Judgment[7]	neg[7]	
3-12	406-409	she	Judgment[7]	neg[7]	
3-13	410-415	would	Judgment[7]	neg[7]	
3-14	416-420	have	Judgment[7]	neg[7]	
3-15	421-429	resigned	Judgment[7]	neg[7]	
3-16	430-434	from	Judgment[7]	neg[7]	
3-17	435-438	her	Judgment[7]	neg[7]	
3-18	439-442	job	Judgment[7]	neg[7]	
3-19	443-446	the	Judgment[7]	neg[7]	
3-20	447-453	minute	Judgment[7]	neg[7]	
3-21	454-457	she	Judgment[7]	neg[7]	
3-22	458-461	was	Judgment[7]	neg[7]	
3-23	462-467	asked	Judgment[7]	neg[7]	
3-24	468-470	to	Judgment[7]	neg[7]	
3-25	471-476	issue	Judgment[7]	neg[7]	
3-26	477-478	a	Judgment[7]	neg[7]	
3-27	479-482	gay	Judgment[7]	neg[7]	
3-28	483-491	marriage	Judgment[7]	neg[7]	
3-29	492-499	license	Judgment[7]	neg[7]	
3-30	499-500	,	_	_	
3-31	501-507	rather	_	_	
3-32	508-512	than	_	_	
3-33	513-521	continue	_	_	
3-34	522-525	and	_	_	
3-35	526-529	try	Judgment[8]	neg[8]	
3-36	530-532	to	Judgment[8]	neg[8]	
3-37	533-538	force	Judgment[8]	neg[8]	
3-38	539-542	her	Judgment[8]	neg[8]	
3-39	543-552	religious	Judgment[8]	neg[8]	
3-40	553-558	views	Judgment[8]	neg[8]	
3-41	559-561	on	Judgment[8]	neg[8]	
3-42	562-568	others	Judgment[8]	neg[8]	
3-43	569-571	in	Judgment[8]	neg[8]	
3-44	572-576	lieu	Judgment[8]	neg[8]	
3-45	577-579	of	Judgment[8]	neg[8]	
3-46	580-590	performing	Judgment[8]	neg[8]	
3-47	591-594	her	Judgment[8]	neg[8]	
3-48	595-607	professional	Judgment[8]	neg[8]	
3-49	608-614	duties	Judgment[8]	neg[8]	
3-50	614-615	.	_	_	
