#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.Attitude__|Label|Polarity


#Text=Helllllllo,,, Drivers without any insurance,,, committing tax fraud,,, is anyone awake,,
1-1	0-10	Helllllllo	Judgment	neg	
1-2	10-11	,	_	_	
1-3	11-12	,	_	_	
1-4	12-13	,	_	_	
1-5	14-21	Drivers	_	_	
1-6	22-29	without	Judgment[2]	neg[2]	
1-7	30-33	any	Judgment[2]	neg[2]	
1-8	34-43	insurance	Judgment[2]	neg[2]	
1-9	43-44	,	_	_	
1-10	44-45	,	_	_	
1-11	45-46	,	_	_	
1-12	47-57	committing	Judgment[3]	neg[3]	
1-13	58-61	tax	Judgment[3]	neg[3]	
1-14	62-67	fraud	Judgment[3]|Appreciation[4]	neg[3]|neg[4]	
1-15	67-68	,	_	_	
1-16	68-69	,	_	_	
1-17	69-70	,	_	_	
1-18	71-73	is	Judgment[5]	neg[5]	
1-19	74-80	anyone	Judgment[5]	neg[5]	
1-20	81-86	awake	Judgment[5]	neg[5]	
1-21	86-87	,	_	_	
1-22	87-88	,	_	_	
