#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.Attitude__|Label|Polarity


#Text=OMG,,, someone who has understanding,,, I mean it hard to believe,,, how ignorant most people are,,,, Uber drivers have no insurance,,,, at all,,,,,,,, none,,,
1-1	0-3	OMG	Appreciation	pos	
1-2	3-4	,	_	_	
1-3	4-5	,	_	_	
1-4	5-6	,	_	_	
1-5	7-14	someone	_	_	
1-6	15-18	who	_	_	
1-7	19-22	has	_	_	
1-8	23-36	understanding	Judgment	pos	
1-9	36-37	,	_	_	
1-10	37-38	,	_	_	
1-11	38-39	,	_	_	
1-12	40-41	I	_	_	
1-13	42-46	mean	_	_	
1-14	47-49	it	_	_	
1-15	50-54	hard	Appreciation[3]	neg[3]	
1-16	55-57	to	Appreciation[3]	neg[3]	
1-17	58-65	believe	Appreciation[3]	neg[3]	
1-18	65-66	,	_	_	
1-19	66-67	,	_	_	
1-20	67-68	,	_	_	
1-21	69-72	how	_	_	
1-22	73-81	ignorant	Judgment	neg	
1-23	82-86	most	_	_	
1-24	87-93	people	_	_	
1-25	94-97	are	_	_	
1-26	97-98	,	_	_	
1-27	98-99	,	_	_	
1-28	99-100	,	_	_	
1-29	100-101	,	_	_	
1-30	102-106	Uber	_	_	
1-31	107-114	drivers	_	_	
1-32	115-119	have	_	_	
1-33	120-122	no	Judgment[5]	neg[5]	
1-34	123-132	insurance	Judgment[5]	neg[5]	
1-35	132-133	,	_	_	
1-36	133-134	,	_	_	
1-37	134-135	,	_	_	
1-38	135-136	,	_	_	
1-39	137-139	at	Judgment[6]	neg[6]	
1-40	140-143	all	Judgment[6]	neg[6]	
1-41	143-144	,	_	_	
1-42	144-145	,	_	_	
1-43	145-146	,	_	_	
1-44	146-147	,	_	_	
1-45	147-148	,	_	_	
1-46	148-149	,	_	_	
1-47	149-150	,	_	_	
1-48	150-151	,	_	_	
1-49	152-156	none	Judgment	neg	
1-50	156-157	,	_	_	
1-51	157-158	,	_	_	
1-52	158-159	,	_	_	
