#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.Attitude__|Label|Polarity


#Text=I followed you thoughts until you used the code word, 'coffers', something I hear the union bosses use when deriding someone's profit from exceptional effort, hard work, risk and the use of their own capital.
1-1	0-1	I	_	_	
1-2	2-10	followed	Appreciation	pos	
1-3	11-14	you	_	_	
1-4	15-23	thoughts	_	_	
1-5	24-29	until	_	_	
1-6	30-33	you	_	_	
1-7	34-38	used	_	_	
1-8	39-42	the	_	_	
1-9	43-47	code	Appreciation[2]	neg[2]	
1-10	48-52	word	Appreciation[2]	neg[2]	
1-11	52-53	,	Appreciation[2]	neg[2]	
1-12	54-55	'	Appreciation[2]	neg[2]	
1-13	55-62	coffers	Appreciation[2]	neg[2]	
1-14	62-63	'	_	_	
1-15	63-64	,	_	_	
1-16	65-74	something	_	_	
1-17	75-76	I	_	_	
1-18	77-81	hear	_	_	
1-19	82-85	the	_	_	
1-20	86-91	union	Judgment[3]	neg[3]	
1-21	92-98	bosses	Judgment[3]	neg[3]	
1-22	99-102	use	_	_	
1-23	103-107	when	_	_	
1-24	108-116	deriding	Judgment	neg	
1-25	117-126	someone's	_	_	
1-26	127-133	profit	_	_	
1-27	134-138	from	Judgment[5]	pos[5]	
1-28	139-150	exceptional	Judgment[5]	pos[5]	
1-29	151-157	effort	Judgment[5]	pos[5]	
1-30	157-158	,	Judgment[5]	pos[5]	
1-31	159-163	hard	Judgment[5]	pos[5]	
1-32	164-168	work	Judgment[5]	pos[5]	
1-33	168-169	,	Judgment[5]	pos[5]	
1-34	170-174	risk	Judgment[5]	pos[5]	
1-35	175-178	and	Judgment[5]	pos[5]	
1-36	179-182	the	Judgment[5]	pos[5]	
1-37	183-186	use	Judgment[5]	pos[5]	
1-38	187-189	of	Judgment[5]	pos[5]	
1-39	190-195	their	Judgment[5]	pos[5]	
1-40	196-199	own	Judgment[5]	pos[5]	
1-41	200-207	capital	Judgment[5]	pos[5]	
1-42	207-208	.	_	_	

#Text=You're dismissed now.
2-1	209-215	You're	Judgment[6]	neg[6]	
2-2	216-225	dismissed	Judgment[6]	neg[6]	
2-3	226-229	now	Judgment[6]	neg[6]	
2-4	229-230	.	_	_	
