#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.Attitude__|Label|Polarity
#T_SP=webanno.custom.Graduation|Kind|Scaling


#Text=I great intelligent and funny read by the author once again, but I think she exceeded her own high standards this time.
1-1	0-1	I	_	_	_	_	
1-2	2-7	great	Appreciation[1]	pos[1]	_	_	
1-3	8-19	intelligent	Appreciation[1]	pos[1]	_	_	
1-4	20-23	and	Appreciation[1]	pos[1]	_	_	
1-5	24-29	funny	Appreciation[1]	pos[1]	_	_	
1-6	30-34	read	_	_	_	_	
1-7	35-37	by	_	_	_	_	
1-8	38-41	the	_	_	_	_	
1-9	42-48	author	_	_	_	_	
1-10	49-53	once	_	_	_	_	
1-11	54-59	again	_	_	_	_	
1-12	59-60	,	_	_	_	_	
1-13	61-64	but	_	_	_	_	
1-14	65-66	I	_	_	_	_	
1-15	67-72	think	_	_	_	_	
1-16	73-76	she	_	_	_	_	
1-17	77-85	exceeded	Appreciation[2]	pos[2]	Force	up	
1-18	86-89	her	Appreciation[2]	pos[2]	_	_	
1-19	90-93	own	Appreciation[2]	pos[2]	_	_	
1-20	94-98	high	Appreciation[2]	pos[2]	_	_	
1-21	99-108	standards	Appreciation[2]	pos[2]	_	_	
1-22	109-113	this	_	_	_	_	
1-23	114-118	time	_	_	_	_	
1-24	118-119	.	_	_	_	_	

#Text=Loved her writing...Unfortunately, it seems to get lost on most posters who only see this as a great chance to pile on Apple as if Apple is the only one who does this.
2-1	120-125	Loved	Appreciation	pos	_	_	
2-2	126-129	her	_	_	_	_	
2-3	130-137	writing	_	_	_	_	
2-4	137-138	.	_	_	_	_	
2-5	138-139	.	_	_	_	_	
2-6	139-140	.	_	_	_	_	
2-7	140-153	Unfortunately	Affect	neg	_	_	
2-8	153-154	,	_	_	_	_	
2-9	155-157	it	_	_	_	_	
2-10	158-163	seems	_	_	_	_	
2-11	164-166	to	_	_	_	_	
2-12	167-170	get	Judgment[5]	neg[5]	_	_	
2-13	171-175	lost	Judgment[5]	neg[5]	_	_	
2-14	176-178	on	_	_	_	_	
2-15	179-183	most	_	_	_	_	
2-16	184-191	posters	_	_	_	_	
2-17	192-195	who	_	_	_	_	
2-18	196-200	only	Judgment[6]	neg[6]	_	_	
2-19	201-204	see	Judgment[6]	neg[6]	_	_	
2-20	205-209	this	Judgment[6]	neg[6]	_	_	
2-21	210-212	as	Judgment[6]	neg[6]	_	_	
2-22	213-214	a	Judgment[6]	neg[6]	_	_	
2-23	215-220	great	Judgment[6]	neg[6]	_	_	
2-24	221-227	chance	Judgment[6]	neg[6]	_	_	
2-25	228-230	to	Judgment[6]	neg[6]	_	_	
2-26	231-235	pile	Judgment[6]	neg[6]	_	_	
2-27	236-238	on	Judgment[6]	neg[6]	_	_	
2-28	239-244	Apple	Judgment[6]	neg[6]	_	_	
2-29	245-247	as	Judgment[6]	neg[6]	_	_	
2-30	248-250	if	Judgment[6]	neg[6]	_	_	
2-31	251-256	Apple	Judgment[6]	neg[6]	_	_	
2-32	257-259	is	Judgment[6]	neg[6]	_	_	
2-33	260-263	the	Judgment[6]	neg[6]	_	_	
2-34	264-268	only	Judgment[6]	neg[6]	_	_	
2-35	269-272	one	Judgment[6]	neg[6]	_	_	
2-36	273-276	who	Judgment[6]	neg[6]	_	_	
2-37	277-281	does	Judgment[6]	neg[6]	_	_	
2-38	282-286	this	Judgment[6]	neg[6]	_	_	
2-39	286-287	.	_	_	_	_	

#Text=She could have written about many companies and achieved the same goal.
3-1	288-291	She	_	_	_	_	
3-2	292-297	could	_	_	_	_	
3-3	298-302	have	_	_	_	_	
3-4	303-310	written	_	_	_	_	
3-5	311-316	about	_	_	_	_	
3-6	317-321	many	_	_	_	_	
3-7	322-331	companies	_	_	_	_	
3-8	332-335	and	_	_	_	_	
3-9	336-344	achieved	_	_	_	_	
3-10	345-348	the	_	_	_	_	
3-11	349-353	same	_	_	_	_	
3-12	354-358	goal	_	_	_	_	
3-13	358-359	.	_	_	_	_	

#Text=It's not about Apple people - it's about us.
4-1	360-364	It's	Judgment[7]	neg[7]	_	_	
4-2	365-368	not	Judgment[7]	neg[7]	_	_	
4-3	369-374	about	Judgment[7]	neg[7]	_	_	
4-4	375-380	Apple	Judgment[7]	neg[7]	_	_	
4-5	381-387	people	Judgment[7]	neg[7]	_	_	
4-6	388-389	-	Judgment[7]	neg[7]	_	_	
4-7	390-394	it's	Judgment[7]	neg[7]	_	_	
4-8	395-400	about	Judgment[7]	neg[7]	_	_	
4-9	401-403	us	Judgment[7]	neg[7]	_	_	
4-10	403-404	.	_	_	_	_	

#Text=Blinded by the hate I suppose...
5-1	405-412	Blinded	Judgment[8]	neg[8]	_	_	
5-2	413-415	by	Judgment[8]	neg[8]	_	_	
5-3	416-419	the	Judgment[8]	neg[8]	_	_	
5-4	420-424	hate	Judgment[8]|Affect[9]	neg[8]|neg[9]	_	_	
5-5	425-426	I	_	_	_	_	
5-6	427-434	suppose	_	_	_	_	
5-7	434-435	.	_	_	_	_	
5-8	435-436	.	_	_	_	_	
5-9	436-437	.	_	_	_	_	
