#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.Attitude__|Label|Polarity


#Text=If it's cassette deck you want, you could just by my 2004 Buick.
1-1	0-2	If	Judgment[1]	neg[1]	
1-2	3-7	it's	Judgment[1]	neg[1]	
1-3	8-16	cassette	Judgment[1]	neg[1]	
1-4	17-21	deck	Judgment[1]	neg[1]	
1-5	22-25	you	Judgment[1]	neg[1]	
1-6	26-30	want	Judgment[1]	neg[1]	
1-7	30-31	,	Judgment[1]	neg[1]	
1-8	32-35	you	Judgment[1]	neg[1]	
1-9	36-41	could	Judgment[1]	neg[1]	
1-10	42-46	just	Judgment[1]	neg[1]	
1-11	47-49	by	Judgment[1]	neg[1]	
1-12	50-52	my	Judgment[1]	neg[1]	
1-13	53-57	2004	Judgment[1]	neg[1]	
1-14	58-63	Buick	Judgment[1]	neg[1]	
1-15	63-64	.	_	_	

#Text=It's a cassette deck wrapped in by a car.
2-1	65-69	It's	_	_	
2-2	70-71	a	_	_	
2-3	72-80	cassette	Appreciation[2]	pos[2]	
2-4	81-85	deck	Appreciation[2]	pos[2]	
2-5	86-93	wrapped	Appreciation[2]	pos[2]	
2-6	94-96	in	Appreciation[2]	pos[2]	
2-7	97-99	by	Appreciation[2]	pos[2]	
2-8	100-101	a	Appreciation[2]	pos[2]	
2-9	102-105	car	Appreciation[2]	pos[2]	
2-10	105-106	.	_	_	
