#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.Attitude__|Label|Polarity
#T_SP=webanno.custom.Graduation|Kind|Scaling


#Text=If people on reserves are afflicted with a greater  % of social problems than people off of reserves then wouldn't you want to at least contemplate getting rid of reserves?
1-1	0-2	If	_	_	_	_	
1-2	3-9	people	_	_	_	_	
1-3	10-12	on	_	_	_	_	
1-4	13-21	reserves	_	_	_	_	
1-5	22-25	are	_	_	_	_	
1-6	26-35	afflicted	Appreciation[1]	neg[1]	_	_	
1-7	36-40	with	Appreciation[1]	neg[1]	_	_	
1-8	41-42	a	Appreciation[1]	neg[1]	_	_	
1-9	43-50	greater	Appreciation[1]	neg[1]	Force	up	
1-10	52-53	%	Appreciation[1]	neg[1]	_	_	
1-11	54-56	of	Appreciation[1]	neg[1]	_	_	
1-12	57-63	social	Appreciation[1]	neg[1]	_	_	
1-13	64-72	problems	Appreciation[1]	neg[1]	_	_	
1-14	73-77	than	_	_	_	_	
1-15	78-84	people	_	_	_	_	
1-16	85-88	off	_	_	_	_	
1-17	89-91	of	_	_	_	_	
1-18	92-100	reserves	_	_	_	_	
1-19	101-105	then	_	_	_	_	
1-20	106-114	wouldn't	Appreciation[2]	neg[2]	_	_	
1-21	115-118	you	Appreciation[2]	neg[2]	_	_	
1-22	119-123	want	Appreciation[2]	neg[2]	_	_	
1-23	124-126	to	Appreciation[2]	neg[2]	_	_	
1-24	127-129	at	Appreciation[2]	neg[2]	_	_	
1-25	130-135	least	Appreciation[2]	neg[2]	_	_	
1-26	136-147	contemplate	Appreciation[2]	neg[2]	_	_	
1-27	148-155	getting	Appreciation[2]	neg[2]	_	_	
1-28	156-159	rid	Appreciation[2]	neg[2]	_	_	
1-29	160-162	of	Appreciation[2]	neg[2]	_	_	
1-30	163-171	reserves	Appreciation[2]	neg[2]	_	_	
1-31	171-172	?	_	_	_	_	

#Text=Personally, I think many reserves are prime examples of what happens when you have 100% dependency.
2-1	173-183	Personally	_	_	_	_	
2-2	183-184	,	_	_	_	_	
2-3	185-186	I	_	_	_	_	
2-4	187-192	think	_	_	_	_	
2-5	193-197	many	_	_	_	_	
2-6	198-206	reserves	_	_	_	_	
2-7	207-210	are	_	_	_	_	
2-8	211-216	prime	Appreciation[3]	neg[3]	_	_	
2-9	217-225	examples	Appreciation[3]	neg[3]	_	_	
2-10	226-228	of	Appreciation[3]	neg[3]	_	_	
2-11	229-233	what	Appreciation[3]	neg[3]	_	_	
2-12	234-241	happens	Appreciation[3]	neg[3]	_	_	
2-13	242-246	when	Appreciation[3]	neg[3]	_	_	
2-14	247-250	you	Appreciation[3]	neg[3]	_	_	
2-15	251-255	have	Appreciation[3]	neg[3]	_	_	
2-16	256-260	100%	Appreciation[3]	neg[3]	Force	up	
2-17	261-271	dependency	Appreciation[3]	neg[3]	_	_	
2-18	271-272	.	_	_	_	_	

#Text=It's a tough cycle to break
3-1	273-277	It's	_	_	_	_	
3-2	278-279	a	_	_	_	_	
3-3	280-285	tough	Appreciation[4]	neg[4]	_	_	
3-4	286-291	cycle	Appreciation[4]	neg[4]	_	_	
3-5	292-294	to	Appreciation[4]	neg[4]	_	_	
3-6	295-300	break	Appreciation[4]	neg[4]	_	_	
