#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.Attitude__|Label|Polarity


#Text=The author does not seem to have much of a clue in spite of her elevated status.
1-1	0-3	The	_	_	
1-2	4-10	author	_	_	
1-3	11-15	does	_	_	
1-4	16-19	not	Judgment[1]	neg[1]	
1-5	20-24	seem	Judgment[1]	neg[1]	
1-6	25-27	to	Judgment[1]	neg[1]	
1-7	28-32	have	Judgment[1]	neg[1]	
1-8	33-37	much	Judgment[1]	neg[1]	
1-9	38-40	of	Judgment[1]	neg[1]	
1-10	41-42	a	Judgment[1]	neg[1]	
1-11	43-47	clue	Judgment[1]	neg[1]	
1-12	48-50	in	_	_	
1-13	51-56	spite	_	_	
1-14	57-59	of	_	_	
1-15	60-63	her	_	_	
1-16	64-72	elevated	_	_	
1-17	73-79	status	_	_	
1-18	79-80	.	_	_	

#Text=Perhaps if she lived on a northern reserve for a month it would bring her up to speed.
2-1	81-88	Perhaps	_	_	
2-2	89-91	if	Judgment[2]	neg[2]	
2-3	92-95	she	Judgment[2]	neg[2]	
2-4	96-101	lived	Judgment[2]	neg[2]	
2-5	102-104	on	Judgment[2]	neg[2]	
2-6	105-106	a	Judgment[2]	neg[2]	
2-7	107-115	northern	Judgment[2]	neg[2]	
2-8	116-123	reserve	Judgment[2]	neg[2]	
2-9	124-127	for	Judgment[2]	neg[2]	
2-10	128-129	a	Judgment[2]	neg[2]	
2-11	130-135	month	Judgment[2]	neg[2]	
2-12	136-138	it	Judgment[2]	neg[2]	
2-13	139-144	would	Judgment[2]	neg[2]	
2-14	145-150	bring	Judgment[2]	neg[2]	
2-15	151-154	her	Judgment[2]	neg[2]	
2-16	155-157	up	Judgment[2]	neg[2]	
2-17	158-160	to	Judgment[2]	neg[2]	
2-18	161-166	speed	Judgment[2]	neg[2]	
2-19	166-167	.	_	_	

#Text=I suggest Shamattawa in northeastern Manitoba.
3-1	168-169	I	_	_	
3-2	170-177	suggest	_	_	
3-3	178-188	Shamattawa	_	_	
3-4	189-191	in	_	_	
3-5	192-204	northeastern	_	_	
3-6	205-213	Manitoba	_	_	
3-7	213-214	.	_	_	
