#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.Attitude__|Label|Polarity


#Text=New from Statscan today - Canadian manufacturing sales increased 1.7% in July, after a revised increased June figure of 1.5% and May of 0.7%.
1-1	0-3	New	_	_	
1-2	4-8	from	_	_	
1-3	9-17	Statscan	_	_	
1-4	18-23	today	_	_	
1-5	24-25	-	_	_	
1-6	26-34	Canadian	_	_	
1-7	35-48	manufacturing	_	_	
1-8	49-54	sales	_	_	
1-9	55-64	increased	Appreciation[1]	pos[1]	
1-10	65-69	1.7%	Appreciation[1]	pos[1]	
1-11	70-72	in	_	_	
1-12	73-77	July	_	_	
1-13	77-78	,	_	_	
1-14	79-84	after	_	_	
1-15	85-86	a	_	_	
1-16	87-94	revised	_	_	
1-17	95-104	increased	_	_	
1-18	105-109	June	_	_	
1-19	110-116	figure	_	_	
1-20	117-119	of	_	_	
1-21	120-124	1.5%	_	_	
1-22	125-128	and	_	_	
1-23	129-132	May	_	_	
1-24	133-135	of	_	_	
1-25	136-140	0.7%	_	_	
1-26	140-141	.	_	_	

#Text=Why didn't the Amazing Jeffy Kreskin Simpson predict that?
2-1	142-145	Why	Judgment[2]	neg[2]	
2-2	146-152	didn't	Judgment[2]	neg[2]	
2-3	153-156	the	Judgment[2]	neg[2]	
2-4	157-164	Amazing	Judgment[2]	neg[2]	
2-5	165-170	Jeffy	Judgment[2]	neg[2]	
2-6	171-178	Kreskin	Judgment[2]	neg[2]	
2-7	179-186	Simpson	Judgment[2]	neg[2]	
2-8	187-194	predict	Judgment[2]	neg[2]	
2-9	195-199	that	Judgment[2]	neg[2]	
2-10	199-200	?	_	_	

#Text=He's been complaining about the supposed 'poor' state of the Canadian economy for months.
3-1	201-205	He's	_	_	
3-2	206-210	been	_	_	
3-3	211-222	complaining	Affect	neg	
3-4	223-228	about	_	_	
3-5	229-232	the	_	_	
3-6	233-241	supposed	_	_	
3-7	242-243	'	_	_	
3-8	243-247	poor	Appreciation	neg	
3-9	247-248	'	_	_	
3-10	249-254	state	_	_	
3-11	255-257	of	_	_	
3-12	258-261	the	_	_	
3-13	262-270	Canadian	_	_	
3-14	271-278	economy	_	_	
3-15	279-282	for	_	_	
3-16	283-289	months	_	_	
3-17	289-290	.	_	_	

#Text=Oh, it doesn't fit his three times per week false anti-Conservative partisan columns.
4-1	291-293	Oh	_	_	
4-2	293-294	,	_	_	
4-3	295-297	it	_	_	
4-4	298-305	doesn't	_	_	
4-5	306-309	fit	_	_	
4-6	310-313	his	_	_	
4-7	314-319	three	_	_	
4-8	320-325	times	_	_	
4-9	326-329	per	_	_	
4-10	330-334	week	_	_	
4-11	335-340	false	Judgment[5]	neg[5]	
4-12	341-358	anti-Conservative	Judgment[5]	neg[5]	
4-13	359-367	partisan	Judgment[5]	neg[5]	
4-14	368-375	columns	_	_	
4-15	375-376	.	_	_	
