#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.Attitude__|Label|Polarity
#T_SP=webanno.custom.Graduation|Kind|Scaling


#Text=Nothing the Conservatives do surprises me.
1-1	0-7	Nothing	Judgment[1]	neg[1]	Force	up	
1-2	8-11	the	Judgment[1]	neg[1]	_	_	
1-3	12-25	Conservatives	Judgment[1]	neg[1]	_	_	
1-4	26-28	do	Judgment[1]	neg[1]	_	_	
1-5	29-38	surprises	Judgment[1]|Affect[2]	neg[1]|neg[2]	_	_	
1-6	39-41	me	Judgment[1]	neg[1]	_	_	
1-7	41-42	.	_	_	_	_	

#Text=We're expected to forget their illegal activities like Robocalling to deflect voters away from voting to the incompetence and outright falsehoods around the Duffy trial.
2-1	43-48	We're	_	_	_	_	
2-2	49-57	expected	_	_	_	_	
2-3	58-60	to	_	_	_	_	
2-4	61-67	forget	_	_	_	_	
2-5	68-73	their	_	_	_	_	
2-6	74-81	illegal	Appreciation	neg	_	_	
2-7	82-92	activities	_	_	_	_	
2-8	93-97	like	_	_	_	_	
2-9	98-109	Robocalling	Judgment[4]	neg[4]	_	_	
2-10	110-112	to	Judgment[4]	neg[4]	_	_	
2-11	113-120	deflect	Judgment[4]	neg[4]	_	_	
2-12	121-127	voters	Judgment[4]	neg[4]	_	_	
2-13	128-132	away	Judgment[4]	neg[4]	_	_	
2-14	133-137	from	Judgment[4]	neg[4]	_	_	
2-15	138-144	voting	Judgment[4]	neg[4]	_	_	
2-16	145-147	to	_	_	_	_	
2-17	148-151	the	_	_	_	_	
2-18	152-164	incompetence	Judgment[5]	neg[5]	_	_	
2-19	165-168	and	Judgment[5]	neg[5]	_	_	
2-20	169-177	outright	Judgment[5]	neg[5]	_	_	
2-21	178-188	falsehoods	Judgment[5]	neg[5]	_	_	
2-22	189-195	around	_	_	_	_	
2-23	196-199	the	_	_	_	_	
2-24	200-205	Duffy	_	_	_	_	
2-25	206-211	trial	_	_	_	_	
2-26	211-212	.	_	_	_	_	

#Text=It's time for a change of government.
3-1	213-217	It's	Appreciation[6]	pos[6]	_	_	
3-2	218-222	time	Appreciation[6]	pos[6]	_	_	
3-3	223-226	for	Appreciation[6]	pos[6]	_	_	
3-4	227-228	a	Appreciation[6]	pos[6]	_	_	
3-5	229-235	change	Appreciation[6]	pos[6]	_	_	
3-6	236-238	of	Appreciation[6]	pos[6]	_	_	
3-7	239-249	government	Appreciation[6]	pos[6]	_	_	
3-8	249-250	.	_	_	_	_	
