#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.Attitude__|Label|Polarity


#Text=Just another of hyphenated urban elite spouting its usual socialist drivel.
1-1	0-4	Just	_	_	
1-2	5-12	another	_	_	
1-3	13-15	of	_	_	
1-4	16-26	hyphenated	_	_	
1-5	27-32	urban	Judgment[1]	neg[1]	
1-6	33-38	elite	Judgment[1]	neg[1]	
1-7	39-47	spouting	Judgment	neg	
1-8	48-51	its	_	_	
1-9	52-57	usual	Appreciation[3]	neg[3]	
1-10	58-67	socialist	Appreciation[3]	neg[3]	
1-11	68-74	drivel	Appreciation[3]	neg[3]	
1-12	74-75	.	_	_	
