#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.Attitude__|Label|Polarity
#T_SP=webanno.custom.Graduation|Kind|Scaling


#Text=China is an angry country with a big chip on its shoulder.
1-1	0-5	China	_	_	_	_	
1-2	6-8	is	_	_	_	_	
1-3	9-11	an	_	_	_	_	
1-4	12-17	angry	Affect	neg	_	_	
1-5	18-25	country	_	_	_	_	
1-6	26-30	with	_	_	_	_	
1-7	31-32	a	_	_	_	_	
1-8	33-36	big	Affect[2]	neg[2]	Force	up	
1-9	37-41	chip	Affect[2]	neg[2]	_	_	
1-10	42-44	on	Affect[2]	neg[2]	_	_	
1-11	45-48	its	Affect[2]	neg[2]	_	_	
1-12	49-57	shoulder	Affect[2]	neg[2]	_	_	
1-13	57-58	.	_	_	_	_	

#Text=It feels it has not been respected and is not being given its proper place in the international order.
2-1	59-61	It	_	_	_	_	
2-2	62-67	feels	Judgment[3]	neg[3]	_	_	
2-3	68-70	it	Judgment[3]	neg[3]	_	_	
2-4	71-74	has	Judgment[3]	neg[3]	_	_	
2-5	75-78	not	Judgment[3]	neg[3]	_	_	
2-6	79-83	been	Judgment[3]	neg[3]	_	_	
2-7	84-93	respected	Judgment[3]	neg[3]	_	_	
2-8	94-97	and	Judgment[3]	neg[3]	_	_	
2-9	98-100	is	Judgment[3]	neg[3]	_	_	
2-10	101-104	not	Judgment[3]	neg[3]	_	_	
2-11	105-110	being	Judgment[3]	neg[3]	_	_	
2-12	111-116	given	Judgment[3]	neg[3]	_	_	
2-13	117-120	its	Judgment[3]	neg[3]	_	_	
2-14	121-127	proper	Judgment[3]	neg[3]	_	_	
2-15	128-133	place	Judgment[3]	neg[3]	_	_	
2-16	134-136	in	_	_	_	_	
2-17	137-140	the	_	_	_	_	
2-18	141-154	international	_	_	_	_	
2-19	155-160	order	_	_	_	_	
2-20	160-161	.	_	_	_	_	

#Text=Add in the fact that China's aging, paranoid rulers use trumped-up nationalism as a way to deflect scrutiny from their own activities and you have a recipe for future conflict.
3-1	162-165	Add	_	_	_	_	
3-2	166-168	in	_	_	_	_	
3-3	169-172	the	_	_	_	_	
3-4	173-177	fact	_	_	_	_	
3-5	178-182	that	_	_	_	_	
3-6	183-190	China's	_	_	_	_	
3-7	191-196	aging	Judgment	neg	_	_	
3-8	196-197	,	_	_	_	_	
3-9	198-206	paranoid	Judgment	neg	_	_	
3-10	207-213	rulers	_	_	_	_	
3-11	214-217	use	_	_	_	_	
3-12	218-228	trumped-up	Appreciation[6]	neg[6]	_	_	
3-13	229-240	nationalism	Appreciation[6]	neg[6]	_	_	
3-14	241-243	as	_	_	_	_	
3-15	244-245	a	_	_	_	_	
3-16	246-249	way	_	_	_	_	
3-17	250-252	to	_	_	_	_	
3-18	253-260	deflect	Judgment[7]	neg[7]	_	_	
3-19	261-269	scrutiny	Judgment[7]	neg[7]	_	_	
3-20	270-274	from	_	_	_	_	
3-21	275-280	their	_	_	_	_	
3-22	281-284	own	_	_	_	_	
3-23	285-295	activities	_	_	_	_	
3-24	296-299	and	_	_	_	_	
3-25	300-303	you	_	_	_	_	
3-26	304-308	have	_	_	_	_	
3-27	309-310	a	_	_	_	_	
3-28	311-317	recipe	Appreciation[8]	neg[8]	_	_	
3-29	318-321	for	Appreciation[8]	neg[8]	_	_	
3-30	322-328	future	Appreciation[8]	neg[8]	_	_	
3-31	329-337	conflict	Appreciation[8]	neg[8]	_	_	
3-32	337-338	.	_	_	_	_	

#Text=The big danger is that this conflict could go from bellicose talk to actual war and this could easily start from a small incident in the South China Sea.
4-1	339-342	The	_	_	_	_	
4-2	343-346	big	Appreciation[9]	neg[9]	Force	up	
4-3	347-353	danger	Appreciation[9]	neg[9]	_	_	
4-4	354-356	is	_	_	_	_	
4-5	357-361	that	_	_	_	_	
4-6	362-366	this	_	_	_	_	
4-7	367-375	conflict	Appreciation	neg	_	_	
4-8	376-381	could	Appreciation[11]	neg[11]	_	_	
4-9	382-384	go	Appreciation[11]	neg[11]	_	_	
4-10	385-389	from	Appreciation[11]	neg[11]	_	_	
4-11	390-399	bellicose	Appreciation[11]	neg[11]	_	_	
4-12	400-404	talk	Appreciation[11]	neg[11]	_	_	
4-13	405-407	to	Appreciation[11]	neg[11]	_	_	
4-14	408-414	actual	Appreciation[11]	neg[11]	Focus	up	
4-15	415-418	war	Appreciation[11]	neg[11]	_	_	
4-16	419-422	and	_	_	_	_	
4-17	423-427	this	_	_	_	_	
4-18	428-433	could	Appreciation[12]	neg[12]	_	_	
4-19	434-440	easily	Appreciation[12]	neg[12]	_	_	
4-20	441-446	start	Appreciation[12]	neg[12]	_	_	
4-21	447-451	from	Appreciation[12]	neg[12]	_	_	
4-22	452-453	a	Appreciation[12]	neg[12]	_	_	
4-23	454-459	small	Appreciation[12]	neg[12]	_	_	
4-24	460-468	incident	Appreciation[12]	neg[12]	_	_	
4-25	469-471	in	_	_	_	_	
4-26	472-475	the	_	_	_	_	
4-27	476-481	South	_	_	_	_	
4-28	482-487	China	_	_	_	_	
4-29	488-491	Sea	_	_	_	_	
4-30	491-492	.	_	_	_	_	
