#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.Attitude__|Label|Polarity
#T_SP=webanno.custom.Graduation|Kind|Scaling


#Text=We just have to look at Quebec taxes - which are highest in North America - and so called day care program which is impossible to get into - and their tax gestapo.
1-1	0-2	We	_	_	_	_	
1-2	3-7	just	_	_	_	_	
1-3	8-12	have	_	_	_	_	
1-4	13-15	to	_	_	_	_	
1-5	16-20	look	_	_	_	_	
1-6	21-23	at	_	_	_	_	
1-7	24-30	Quebec	_	_	_	_	
1-8	31-36	taxes	_	_	_	_	
1-9	37-38	-	_	_	_	_	
1-10	39-44	which	_	_	_	_	
1-11	45-48	are	_	_	_	_	
1-12	49-56	highest	Appreciation[1]	neg[1]	Force	up	
1-13	57-59	in	Appreciation[1]	neg[1]	_	_	
1-14	60-65	North	Appreciation[1]	neg[1]	_	_	
1-15	66-73	America	Appreciation[1]	neg[1]	_	_	
1-16	74-75	-	_	_	_	_	
1-17	76-79	and	_	_	_	_	
1-18	80-82	so	Appreciation[2]	neg[2]	_	_	
1-19	83-89	called	Appreciation[2]	neg[2]	_	_	
1-20	90-93	day	_	_	_	_	
1-21	94-98	care	_	_	_	_	
1-22	99-106	program	_	_	_	_	
1-23	107-112	which	_	_	_	_	
1-24	113-115	is	_	_	_	_	
1-25	116-126	impossible	Appreciation[3]	neg[3]	_	_	
1-26	127-129	to	Appreciation[3]	neg[3]	_	_	
1-27	130-133	get	Appreciation[3]	neg[3]	_	_	
1-28	134-138	into	Appreciation[3]	neg[3]	_	_	
1-29	139-140	-	_	_	_	_	
1-30	141-144	and	_	_	_	_	
1-31	145-150	their	_	_	_	_	
1-32	151-154	tax	_	_	_	_	
1-33	155-162	gestapo	Appreciation	neg	_	_	
1-34	162-163	.	_	_	_	_	

#Text=This type of government is like insurance.
2-1	164-168	This	_	_	_	_	
2-2	169-173	type	_	_	_	_	
2-3	174-176	of	_	_	_	_	
2-4	177-187	government	_	_	_	_	
2-5	188-190	is	_	_	_	_	
2-6	191-195	like	Appreciation[5]	neg[5]	_	_	
2-7	196-205	insurance	Appreciation[5]	neg[5]	_	_	
2-8	205-206	.	_	_	_	_	

#Text=You're buying daycare 'insurance' and then you pay for it all life long whether you want it or need it or not.
3-1	207-213	You're	_	_	_	_	
3-2	214-220	buying	_	_	_	_	
3-3	221-228	daycare	_	_	_	_	
3-4	229-230	'	_	_	_	_	
3-5	230-239	insurance	Appreciation	neg	_	_	
3-6	239-240	'	_	_	_	_	
3-7	241-244	and	_	_	_	_	
3-8	245-249	then	_	_	_	_	
3-9	250-253	you	_	_	_	_	
3-10	254-257	pay	Appreciation[7]	neg[7]	_	_	
3-11	258-261	for	Appreciation[7]	neg[7]	_	_	
3-12	262-264	it	Appreciation[7]	neg[7]	_	_	
3-13	265-268	all	Appreciation[7]	neg[7]	_	_	
3-14	269-273	life	Appreciation[7]	neg[7]	_	_	
3-15	274-278	long	Appreciation[7]	neg[7]	_	_	
3-16	279-286	whether	Appreciation[7]	neg[7]	_	_	
3-17	287-290	you	Appreciation[7]	neg[7]	_	_	
3-18	291-295	want	Appreciation[7]	neg[7]	_	_	
3-19	296-298	it	Appreciation[7]	neg[7]	_	_	
3-20	299-301	or	Appreciation[7]	neg[7]	_	_	
3-21	302-306	need	Appreciation[7]	neg[7]	_	_	
3-22	307-309	it	Appreciation[7]	neg[7]	_	_	
3-23	310-312	or	Appreciation[7]	neg[7]	_	_	
3-24	313-316	not	Appreciation[7]	neg[7]	_	_	
3-25	316-317	.	_	_	_	_	

#Text=The other issue is that it is a proven fact - programs runs by the government cost about 150% more than private sector and create huge bureaucracy.
4-1	318-321	The	_	_	_	_	
4-2	322-327	other	_	_	_	_	
4-3	328-333	issue	_	_	_	_	
4-4	334-336	is	_	_	_	_	
4-5	337-341	that	_	_	_	_	
4-6	342-344	it	_	_	_	_	
4-7	345-347	is	_	_	_	_	
4-8	348-349	a	_	_	_	_	
