#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.Attitude__|Label|Polarity


#Text=Don't the Liberals trot this chesnut out before every election?
1-1	0-5	Don't	Judgment[1]	neg[1]	
1-2	6-9	the	Judgment[1]	neg[1]	
1-3	10-18	Liberals	Judgment[1]	neg[1]	
1-4	19-23	trot	Judgment[1]	neg[1]	
1-5	24-28	this	Judgment[1]	neg[1]	
1-6	29-36	chesnut	Judgment[1]	neg[1]	
1-7	37-40	out	Judgment[1]	neg[1]	
1-8	41-47	before	Judgment[1]	neg[1]	
1-9	48-53	every	Judgment[1]	neg[1]	
1-10	54-62	election	Judgment[1]	neg[1]	
1-11	62-63	?	_	_	
