#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.Attitude__|Label|Polarity
#T_SP=webanno.custom.Graduation|Kind|Scaling


#Text=Why would Hillary retreat?
1-1	0-3	Why	Judgment[1]	neg[1]	_	_	
1-2	4-9	would	Judgment[1]	neg[1]	_	_	
1-3	10-17	Hillary	Judgment[1]	neg[1]	_	_	
1-4	18-25	retreat	Judgment[1]	neg[1]	_	_	
1-5	25-26	?	_	_	_	_	

#Text=She had everyone on her side... her entire party, half of the GOP, the entire mainstream media, celebrities, the President... basically everyone.
2-1	27-30	She	_	_	_	_	
2-2	31-34	had	_	_	_	_	
2-3	35-43	everyone	Judgment[2]	pos[2]	Force	up	
2-4	44-46	on	Judgment[2]	pos[2]	_	_	
2-5	47-50	her	Judgment[2]	pos[2]	_	_	
2-6	51-55	side	Judgment[2]	pos[2]	_	_	
2-7	55-56	.	Judgment[2]	pos[2]	_	_	
2-8	56-57	.	Judgment[2]	pos[2]	_	_	
2-9	57-58	.	Judgment[2]	pos[2]	_	_	
2-10	59-62	her	Judgment[2]	pos[2]	_	_	
2-11	63-69	entire	Judgment[2]	pos[2]	Force	up	
2-12	70-75	party	Judgment[2]	pos[2]	_	_	
2-13	75-76	,	Judgment[2]	pos[2]	_	_	
2-14	77-81	half	Judgment[2]	pos[2]	_	_	
2-15	82-84	of	Judgment[2]	pos[2]	_	_	
2-16	85-88	the	Judgment[2]	pos[2]	_	_	
2-17	89-92	GOP	Judgment[2]	pos[2]	_	_	
2-18	92-93	,	Judgment[2]	pos[2]	_	_	
2-19	94-97	the	Judgment[2]	pos[2]	_	_	
2-20	98-104	entire	Judgment[2]	pos[2]	Force	up	
2-21	105-115	mainstream	Judgment[2]	pos[2]	_	_	
2-22	116-121	media	Judgment[2]	pos[2]	_	_	
2-23	121-122	,	Judgment[2]	pos[2]	_	_	
2-24	123-134	celebrities	Judgment[2]	pos[2]	_	_	
2-25	134-135	,	Judgment[2]	pos[2]	_	_	
2-26	136-139	the	Judgment[2]	pos[2]	_	_	
2-27	140-149	President	Judgment[2]	pos[2]	_	_	
2-28	149-150	.	Judgment[2]	pos[2]	_	_	
2-29	150-151	.	Judgment[2]	pos[2]	_	_	
2-30	151-152	.	Judgment[2]	pos[2]	_	_	
2-31	153-162	basically	Judgment[2]	pos[2]	Force[4]|Focus[5]	up[4]|down[5]	
2-32	163-171	everyone	Judgment[2]	pos[2]	Force[4]	up[4]	
2-33	171-172	.	_	_	_	_	

#Text=Trump by comparison had no significant public support.
3-1	173-178	Trump	_	_	_	_	
3-2	179-181	by	_	_	_	_	
3-3	182-192	comparison	_	_	_	_	
3-4	193-196	had	_	_	_	_	
3-5	197-199	no	Judgment[3]	neg[3]	_	_	
3-6	200-211	significant	Judgment[3]	neg[3]	_	_	
3-7	212-218	public	Judgment[3]	neg[3]	_	_	
3-8	219-226	support	Judgment[3]	neg[3]	_	_	
3-9	226-227	.	_	_	_	_	

#Text=But the one thing Trump did have was the silent majority who won the election for him.
4-1	228-231	But	_	_	_	_	
4-2	232-235	the	_	_	_	_	
4-3	236-239	one	_	_	_	_	
4-4	240-245	thing	_	_	_	_	
4-5	246-251	Trump	_	_	_	_	
4-6	252-255	did	_	_	_	_	
4-7	256-260	have	_	_	_	_	
4-8	261-264	was	_	_	_	_	
4-9	265-268	the	_	_	_	_	
4-10	269-275	silent	_	_	_	_	
4-11	276-284	majority	_	_	_	_	
4-12	285-288	who	_	_	_	_	
4-13	289-292	won	Judgment[4]	neg[4]	_	_	
4-14	293-296	the	Judgment[4]	neg[4]	_	_	
4-15	297-305	election	Judgment[4]	neg[4]	_	_	
4-16	306-309	for	Judgment[4]	neg[4]	_	_	
4-17	310-313	him	Judgment[4]	neg[4]	_	_	
4-18	313-314	.	_	_	_	_	
