#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.Attitude__|Label|Polarity
#T_SP=webanno.custom.Graduation|Kind|Scaling


#Text=Never read comments .
1-1	0-5	Never	Appreciation[1]	neg[1]	Force	up	
1-2	6-10	read	Appreciation[1]	neg[1]	_	_	
1-3	11-19	comments	_	_	_	_	
1-4	20-21	.	_	_	_	_	

#Text=Too many guys with nothing to do write them.
2-1	22-25	Too	Judgment[2]	neg[2]	_	_	
2-2	26-30	many	Judgment[2]	neg[2]	_	_	
2-3	31-35	guys	Judgment[2]	neg[2]	_	_	
2-4	36-40	with	Judgment[2]	neg[2]	_	_	
2-5	41-48	nothing	Judgment[2]	neg[2]	_	_	
2-6	49-51	to	Judgment[2]	neg[2]	_	_	
2-7	52-54	do	Judgment[2]	neg[2]	_	_	
2-8	55-60	write	Judgment[2]	neg[2]	_	_	
2-9	61-65	them	Judgment[2]	neg[2]	_	_	
2-10	65-66	.	_	_	_	_	
