#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.Attitude__|Label|Polarity
#T_SP=webanno.custom.Graduation|Kind|Scaling


#Text=Really unfortunate that my comment was moderated.
1-1	0-6	Really	Affect[1]	neg[1]	Force	up	
1-2	7-18	unfortunate	Affect[1]	neg[1]	_	_	
1-3	19-23	that	_	_	_	_	
1-4	24-26	my	_	_	_	_	
1-5	27-34	comment	_	_	_	_	
1-6	35-38	was	_	_	_	_	
1-7	39-48	moderated	_	_	_	_	
1-8	48-49	.	_	_	_	_	

#Text=Perhaps this op-ed should be labelled as Advertorial.
2-1	50-57	Perhaps	_	_	_	_	
2-2	58-62	this	_	_	_	_	
2-3	63-68	op-ed	_	_	_	_	
2-4	69-75	should	Appreciation[2]	neg[2]	_	_	
2-5	76-78	be	Appreciation[2]	neg[2]	_	_	
2-6	79-87	labelled	Appreciation[2]	neg[2]	_	_	
2-7	88-90	as	Appreciation[2]	neg[2]	_	_	
2-8	91-102	Advertorial	Appreciation[2]	neg[2]	_	_	
2-9	102-103	.	_	_	_	_	
