#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.Attitude__|Label|Polarity


#Text=Does this woman EVER write ANYTHING worth reading???????
1-1	0-4	Does	Judgment[1]	neg[1]	
1-2	5-9	this	Judgment[1]	neg[1]	
1-3	10-15	woman	Judgment[1]	neg[1]	
1-4	16-20	EVER	Judgment[1]	neg[1]	
1-5	21-26	write	Judgment[1]	neg[1]	
1-6	27-35	ANYTHING	Judgment[1]	neg[1]	
1-7	36-41	worth	Judgment[1]	neg[1]	
1-8	42-49	reading	Judgment[1]	neg[1]	
1-9	49-50	?	_	_	
1-10	50-51	?	_	_	
1-11	51-52	?	_	_	
1-12	52-53	?	_	_	
1-13	53-54	?	_	_	
1-14	54-55	?	_	_	
1-15	55-56	?	_	_	
