#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.Attitude__|Label|Polarity
#T_SP=webanno.custom.Graduation|Kind|Scaling


#Text=STOP.
1-1	0-4	STOP	Judgment	neg	_	_	
1-2	4-5	.	_	_	_	_	

#Text=It's not racist....applies to ALL non Canadian residents.
2-1	6-10	It's	_	_	_	_	
2-2	11-14	not	Appreciation[2]	neu[2]	_	_	
2-3	15-21	racist	Appreciation[2]	neu[2]	_	_	
2-4	21-22	.	_	_	_	_	
2-5	22-23	.	_	_	_	_	
2-6	23-24	.	_	_	_	_	
2-7	24-25	.	_	_	_	_	
2-8	25-32	applies	Appreciation[3]	neu[3]	_	_	
2-9	33-35	to	Appreciation[3]	neu[3]	_	_	
2-10	36-39	ALL	Appreciation[3]	neu[3]	Force	up	
2-11	40-43	non	Appreciation[3]	neu[3]	_	_	
2-12	44-52	Canadian	Appreciation[3]	neu[3]	_	_	
2-13	53-62	residents	Appreciation[3]	neu[3]	_	_	
2-14	62-63	.	_	_	_	_	
