#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.Attitude__|Label|Polarity
#T_SP=webanno.custom.Graduation|Kind|Scaling


#Text=This is the thanks you get, Canada, for taking in so many HUGE families where unskilled parents have 8 to 15 children.
1-1	0-4	This	_	_	_	_	
1-2	5-7	is	_	_	_	_	
1-3	8-11	the	_	_	_	_	
1-4	12-18	thanks	Judgment[1]	neg[1]	_	_	
1-5	19-22	you	Judgment[1]	neg[1]	_	_	
1-6	23-26	get	Judgment[1]	neg[1]	_	_	
1-7	26-27	,	_	_	_	_	
1-8	28-34	Canada	_	_	_	_	
1-9	34-35	,	_	_	_	_	
1-10	36-39	for	_	_	_	_	
1-11	40-46	taking	Judgment[2]	pos[2]	_	_	
1-12	47-49	in	Judgment[2]	pos[2]	_	_	
1-13	50-52	so	Judgment[2]	pos[2]	_	_	
1-14	53-57	many	Judgment[2]	pos[2]	_	_	
1-15	58-62	HUGE	Judgment[2]|Judgment[3]	pos[2]|neg[3]	Force	up	
1-16	63-71	families	Judgment[2]|Judgment[3]	pos[2]|neg[3]	_	_	
1-17	72-77	where	Judgment[2]|Judgment[3]	pos[2]|neg[3]	_	_	
1-18	78-87	unskilled	Judgment[2]|Judgment[3]	pos[2]|neg[3]	_	_	
1-19	88-95	parents	Judgment[2]|Judgment[3]	pos[2]|neg[3]	_	_	
1-20	96-100	have	Judgment[2]|Judgment[3]	pos[2]|neg[3]	_	_	
1-21	101-102	8	Judgment[2]|Judgment[3]	pos[2]|neg[3]	Force[2]	up[2]	
1-22	103-105	to	Judgment[2]|Judgment[3]	pos[2]|neg[3]	Force[2]	up[2]	
1-23	106-108	15	Judgment[2]|Judgment[3]	pos[2]|neg[3]	Force[2]	up[2]	
1-24	109-117	children	Judgment[2]|Judgment[3]	pos[2]|neg[3]	_	_	
1-25	117-118	.	_	_	_	_	

#Text=An earlier article referred to the new generation of refugees being born in birthing tents along the route to Europe -- parents aren't planning for the future of their own children when they continue to produce more and more of them as they move from crowded refugee camp to another.
2-1	119-121	An	_	_	_	_	
2-2	122-129	earlier	_	_	_	_	
2-3	130-137	article	_	_	_	_	
2-4	138-146	referred	_	_	_	_	
2-5	147-149	to	_	_	_	_	
2-6	150-153	the	_	_	_	_	
2-7	154-157	new	_	_	_	_	
2-8	158-168	generation	_	_	_	_	
2-9	169-171	of	_	_	_	_	
2-10	172-180	refugees	_	_	_	_	
2-11	181-186	being	_	_	_	_	
2-12	187-191	born	_	_	_	_	
2-13	192-194	in	_	_	_	_	
2-14	195-203	birthing	_	_	_	_	
2-15	204-209	tents	_	_	_	_	
2-16	210-215	along	_	_	_	_	
2-17	216-219	the	_	_	_	_	
2-18	220-225	route	_	_	_	_	
2-19	226-228	to	_	_	_	_	
2-20	229-235	Europe	_	_	_	_	
2-21	236-237	-	_	_	_	_	
2-22	237-238	-	_	_	_	_	
2-23	239-246	parents	_	_	_	_	
2-24	247-253	aren't	Judgment[4]	neg[4]	_	_	
2-25	254-262	planning	Judgment[4]	neg[4]	_	_	
2-26	263-266	for	Judgment[4]	neg[4]	_	_	
2-27	267-270	the	Judgment[4]	neg[4]	_	_	
2-28	271-277	future	Judgment[4]	neg[4]	_	_	
2-29	278-280	of	Judgment[4]	neg[4]	_	_	
2-30	281-286	their	Judgment[4]	neg[4]	_	_	
2-31	287-290	own	Judgment[4]	neg[4]	_	_	
2-32	291-299	children	Judgment[4]	neg[4]	_	_	
2-33	300-304	when	_	_	_	_	
2-34	305-309	they	_	_	_	_	
2-35	310-318	continue	Judgment[5]	neg[5]	_	_	
2-36	319-321	to	Judgment[5]	neg[5]	_	_	
2-37	322-329	produce	Judgment[5]	neg[5]	_	_	
2-38	330-334	more	Judgment[5]	neg[5]	_	_	
2-39	335-338	and	Judgment[5]	neg[5]	Force[3]	up[3]	
2-40	339-343	more	Judgment[5]	neg[5]	Force[3]	up[3]	
2-41	344-346	of	_	_	_	_	
2-42	347-351	them	_	_	_	_	
2-43	352-354	as	_	_	_	_	
2-44	355-359	they	_	_	_	_	
2-45	360-364	move	_	_	_	_	
2-46	365-369	from	_	_	_	_	
2-47	370-377	crowded	Appreciation	neg	_	_	
2-48	378-385	refugee	_	_	_	_	
2-49	386-390	camp	_	_	_	_	
2-50	391-393	to	_	_	_	_	
2-51	394-401	another	_	_	_	_	
2-52	401-402	.	_	_	_	_	

#Text=Rou ba Al-Fattal should look at the huge increases in populations in the Middle East and take note of where most of the civil wars are taking place ... in nations where the population has tripled or quadrupled since the 1980s.
3-1	403-406	Rou	_	_	_	_	
3-2	407-409	ba	_	_	_	_	
3-3	410-419	Al-Fattal	_	_	_	_	
3-4	420-426	should	Judgment[7]	neg[7]	_	_	
3-5	427-431	look	Judgment[7]	neg[7]	_	_	
3-6	432-434	at	Judgment[7]	neg[7]	_	_	
3-7	435-438	the	Judgment[7]	neg[7]	_	_	
3-8	439-443	huge	Judgment[7]	neg[7]	_	_	
3-9	444-453	increases	Judgment[7]	neg[7]	_	_	
3-10	454-456	in	Judgment[7]	neg[7]	_	_	
3-11	457-468	populations	Judgment[7]	neg[7]	_	_	
3-12	469-471	in	_	_	_	_	
3-13	472-475	the	_	_	_	_	
3-14	476-482	Middle	_	_	_	_	
3-15	483-487	East	_	_	_	_	
3-16	488-491	and	_	_	_	_	
3-17	492-496	take	_	_	_	_	
3-18	497-501	note	_	_	_	_	
3-19	502-504	of	_	_	_	_	
3-20	505-510	where	_	_	_	_	
3-21	511-515	most	_	_	_	_	
3-22	516-518	of	_	_	_	_	
3-23	519-522	the	_	_	_	_	
3-24	523-528	civil	Appreciation[8]	neg[8]	_	_	
3-25	529-533	wars	Appreciation[8]	neg[8]	_	_	
3-26	534-537	are	_	_	_	_	
3-27	538-544	taking	_	_	_	_	
3-28	545-550	place	_	_	_	_	
3-29	551-552	.	_	_	_	_	
3-30	552-553	.	_	_	_	_	
3-31	553-554	.	_	_	_	_	
3-32	555-557	in	_	_	_	_	
3-33	558-565	nations	_	_	_	_	
3-34	566-571	where	Appreciation[9]	neg[9]	_	_	
3-35	572-575	the	Appreciation[9]	neg[9]	_	_	
3-36	576-586	population	Appreciation[9]	neg[9]	_	_	
3-37	587-590	has	Appreciation[9]	neg[9]	_	_	
3-38	591-598	tripled	Appreciation[9]	neg[9]	_	_	
3-39	599-601	or	Appreciation[9]	neg[9]	_	_	
3-40	602-612	quadrupled	Appreciation[9]	neg[9]	_	_	
3-41	613-618	since	_	_	_	_	
3-42	619-622	the	_	_	_	_	
3-43	623-628	1980s	_	_	_	_	
3-44	628-629	.	_	_	_	_	

#Text=Huge numbers of people are fighting over territory, though they pretend it has something to do with religion.
4-1	630-634	Huge	_	_	_	_	
4-2	635-642	numbers	_	_	_	_	
4-3	643-645	of	_	_	_	_	
4-4	646-652	people	_	_	_	_	
4-5	653-656	are	_	_	_	_	
4-6	657-665	fighting	Appreciation	neg	_	_	
4-7	666-670	over	_	_	_	_	
4-8	671-680	territory	_	_	_	_	
4-9	680-681	,	_	_	_	_	
4-10	682-688	though	_	_	_	_	
4-11	689-693	they	_	_	_	_	
4-12	694-701	pretend	Judgment[11]	neg[11]	_	_	
4-13	702-704	it	Judgment[11]	neg[11]	_	_	
4-14	705-708	has	Judgment[11]	neg[11]	_	_	
4-15	709-718	something	Judgment[11]	neg[11]	_	_	
4-16	719-721	to	Judgment[11]	neg[11]	_	_	
4-17	722-724	do	Judgment[11]	neg[11]	_	_	
4-18	725-729	with	Judgment[11]	neg[11]	_	_	
4-19	730-738	religion	Judgment[11]	neg[11]	_	_	
4-20	738-739	.	_	_	_	_	

#Text=Nowhere on earth can millions of people cross an isthmus to existing host towns ... where they do not share the values of the hosts ... and demand to be taken in at the expense of the hosts.
5-1	740-747	Nowhere	_	_	_	_	
5-2	748-750	on	_	_	_	_	
5-3	751-756	earth	_	_	_	_	
5-4	757-760	can	_	_	_	_	
5-5	761-769	millions	_	_	_	_	
5-6	770-772	of	_	_	_	_	
5-7	773-779	people	_	_	_	_	
5-8	780-785	cross	_	_	_	_	
5-9	786-788	an	_	_	_	_	
5-10	789-796	isthmus	_	_	_	_	
5-11	797-799	to	_	_	_	_	
5-12	800-808	existing	_	_	_	_	
5-13	809-813	host	_	_	_	_	
5-14	814-819	towns	_	_	_	_	
5-15	820-821	.	_	_	_	_	
5-16	821-822	.	_	_	_	_	
5-17	822-823	.	_	_	_	_	
5-18	824-829	where	_	_	_	_	
5-19	830-834	they	_	_	_	_	
5-20	835-837	do	_	_	_	_	
5-21	838-841	not	Judgment[12]	neg[12]	_	_	
5-22	842-847	share	Judgment[12]	neg[12]	_	_	
5-23	848-851	the	Judgment[12]	neg[12]	_	_	
5-24	852-858	values	Judgment[12]	neg[12]	_	_	
5-25	859-861	of	_	_	_	_	
5-26	862-865	the	_	_	_	_	
5-27	866-871	hosts	_	_	_	_	
5-28	872-873	.	_	_	_	_	
5-29	873-874	.	_	_	_	_	
5-30	874-875	.	_	_	_	_	
5-31	876-879	and	_	_	_	_	
5-32	880-886	demand	Judgment[13]	neg[13]	_	_	
5-33	887-889	to	Judgment[13]	neg[13]	_	_	
5-34	890-892	be	Judgment[13]	neg[13]	_	_	
5-35	893-898	taken	Judgment[13]	neg[13]	_	_	
5-36	899-901	in	Judgment[13]	neg[13]	_	_	
5-37	902-904	at	Judgment[13]	neg[13]	_	_	
5-38	905-908	the	Judgment[13]	neg[13]	_	_	
5-39	909-916	expense	Judgment[13]	neg[13]	_	_	
5-40	917-919	of	Judgment[13]	neg[13]	_	_	
5-41	920-923	the	Judgment[13]	neg[13]	_	_	
5-42	924-929	hosts	Judgment[13]	neg[13]	_	_	
5-43	929-930	.	_	_	_	_	

#Text=Demand housing, demand health & dental care, demand education, demand recognition for credentials at face value, demand childcare ... who is paying for all this?
6-1	931-937	Demand	Judgment[14]	neg[14]	_	_	
6-2	938-945	housing	Judgment[14]	neg[14]	_	_	
6-3	945-946	,	Judgment[14]	neg[14]	_	_	
6-4	947-953	demand	Judgment[14]	neg[14]	_	_	
6-5	954-960	health	Judgment[14]	neg[14]	_	_	
6-6	961-962	&	Judgment[14]	neg[14]	_	_	
6-7	963-969	dental	Judgment[14]	neg[14]	_	_	
6-8	970-974	care	Judgment[14]	neg[14]	_	_	
6-9	974-975	,	Judgment[14]	neg[14]	_	_	
6-10	976-982	demand	Judgment[14]	neg[14]	_	_	
6-11	983-992	education	Judgment[14]	neg[14]	_	_	
6-12	992-993	,	Judgment[14]	neg[14]	_	_	
6-13	994-1000	demand	Judgment[14]	neg[14]	_	_	
6-14	1001-1012	recognition	Judgment[14]	neg[14]	_	_	
6-15	1013-1016	for	Judgment[14]	neg[14]	_	_	
6-16	1017-1028	credentials	Judgment[14]	neg[14]	_	_	
6-17	1029-1031	at	Judgment[14]	neg[14]	_	_	
6-18	1032-1036	face	Judgment[14]	neg[14]	_	_	
6-19	1037-1042	value	Judgment[14]	neg[14]	_	_	
6-20	1042-1043	,	Judgment[14]	neg[14]	_	_	
6-21	1044-1050	demand	Judgment[14]	neg[14]	_	_	
6-22	1051-1060	childcare	Judgment[14]	neg[14]	_	_	
6-23	1061-1062	.	_	_	_	_	
6-24	1062-1063	.	_	_	_	_	
6-25	1063-1064	.	_	_	_	_	
6-26	1065-1068	who	Judgment[15]	neg[15]	_	_	
6-27	1069-1071	is	Judgment[15]	neg[15]	_	_	
6-28	1072-1078	paying	Judgment[15]	neg[15]	_	_	
6-29	1079-1082	for	Judgment[15]	neg[15]	_	_	
6-30	1083-1086	all	Judgment[15]	neg[15]	_	_	
6-31	1087-1091	this	Judgment[15]	neg[15]	_	_	
6-32	1091-1092	?	_	_	_	_	

#Text=Hint: not the refugees.
7-1	1093-1097	Hint	_	_	_	_	
7-2	1097-1098	:	_	_	_	_	
7-3	1099-1102	not	Judgment[16]	neg[16]	_	_	
7-4	1103-1106	the	Judgment[16]	neg[16]	_	_	
7-5	1107-1115	refugees	Judgment[16]	neg[16]	_	_	
7-6	1115-1116	.	_	_	_	_	

#Text=This is a smack in the face to all Canadians, particularly those who never thought it was a good idea to bring these huge families to Canada, preferring to send those funds (for flights to Canada and costly accommodation here) to refugee settlements in Jordan and other zones close to Syria.
8-1	1117-1121	This	_	_	_	_	
8-2	1122-1124	is	_	_	_	_	
8-3	1125-1126	a	_	_	_	_	
8-4	1127-1132	smack	Appreciation[17]	neg[17]	_	_	
8-5	1133-1135	in	Appreciation[17]	neg[17]	_	_	
8-6	1136-1139	the	Appreciation[17]	neg[17]	_	_	
8-7	1140-1144	face	Appreciation[17]	neg[17]	_	_	
8-8	1145-1147	to	_	_	_	_	
8-9	1148-1151	all	_	_	_	_	
8-10	1152-1161	Canadians	_	_	_	_	
8-11	1161-1162	,	_	_	_	_	
8-12	1163-1175	particularly	_	_	_	_	
8-13	1176-1181	those	_	_	_	_	
8-14	1182-1185	who	_	_	_	_	
8-15	1186-1191	never	_	_	_	_	
8-16	1192-1199	thought	_	_	_	_	
8-17	1200-1202	it	_	_	_	_	
8-18	1203-1206	was	_	_	_	_	
8-19	1207-1208	a	_	_	_	_	
8-20	1209-1213	good	_	_	_	_	
