#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.Attitude__|Label|Polarity
#T_SP=webanno.custom.Graduation|Kind|Scaling


#Text=\u201CWhat we need is one bylaw that applies without question to everybody,\u201D he said.
1-1	0-1	“	_	_	_	_	
1-2	1-5	What	_	_	_	_	
1-3	6-8	we	_	_	_	_	
1-4	9-13	need	_	_	_	_	
1-5	14-16	is	_	_	_	_	
1-6	17-20	one	_	_	_	_	
1-7	21-26	bylaw	_	_	_	_	
1-8	27-31	that	_	_	_	_	
1-9	32-39	applies	_	_	_	_	
1-10	40-47	without	_	_	_	_	
1-11	48-56	question	_	_	_	_	
1-12	57-59	to	_	_	_	_	
1-13	60-69	everybody	_	_	_	_	
1-14	69-70	,	_	_	_	_	
1-15	70-71	”	_	_	_	_	
1-16	72-74	he	_	_	_	_	
1-17	75-79	said	_	_	_	_	
1-18	79-80	.	_	_	_	_	

#Text=\u201CWe cannot have the Wild West, but we also cannot have a city that in some way ignores the march of technology and time.\u201D
2-1	81-82	“	_	_	_	_	
2-2	82-84	We	_	_	_	_	
2-3	85-91	cannot	_	_	_	_	
2-4	92-96	have	_	_	_	_	
2-5	97-100	the	_	_	_	_	
2-6	101-105	Wild	_	_	_	_	
2-7	106-110	West	_	_	_	_	
2-8	110-111	,	_	_	_	_	
2-9	112-115	but	_	_	_	_	
2-10	116-118	we	_	_	_	_	
2-11	119-123	also	_	_	_	_	
2-12	124-130	cannot	_	_	_	_	
2-13	131-135	have	_	_	_	_	
2-14	136-137	a	_	_	_	_	
2-15	138-142	city	_	_	_	_	
2-16	143-147	that	_	_	_	_	
2-17	148-150	in	_	_	_	_	
2-18	151-155	some	_	_	_	_	
2-19	156-159	way	_	_	_	_	
2-20	160-167	ignores	_	_	_	_	
2-21	168-171	the	_	_	_	_	
2-22	172-177	march	_	_	_	_	
2-23	178-180	of	_	_	_	_	
2-24	181-191	technology	_	_	_	_	
2-25	192-195	and	_	_	_	_	
2-26	196-200	time	_	_	_	_	
2-27	200-201	.	_	_	_	_	
2-28	201-202	”	_	_	_	_	

#Text======================================================Mayor Tory has it right.
3-1	202-203	=	_	_	_	_	
3-2	203-204	=	_	_	_	_	
3-3	204-205	=	_	_	_	_	
3-4	205-206	=	_	_	_	_	
3-5	206-207	=	_	_	_	_	
3-6	207-208	=	_	_	_	_	
3-7	208-209	=	_	_	_	_	
3-8	209-210	=	_	_	_	_	
3-9	210-211	=	_	_	_	_	
3-10	211-212	=	_	_	_	_	
3-11	212-213	=	_	_	_	_	
3-12	213-214	=	_	_	_	_	
3-13	214-215	=	_	_	_	_	
3-14	215-216	=	_	_	_	_	
3-15	216-217	=	_	_	_	_	
3-16	217-218	=	_	_	_	_	
3-17	218-219	=	_	_	_	_	
3-18	219-220	=	_	_	_	_	
3-19	220-221	=	_	_	_	_	
3-20	221-222	=	_	_	_	_	
3-21	222-223	=	_	_	_	_	
3-22	223-224	=	_	_	_	_	
3-23	224-225	=	_	_	_	_	
3-24	225-226	=	_	_	_	_	
3-25	226-227	=	_	_	_	_	
3-26	227-228	=	_	_	_	_	
3-27	228-229	=	_	_	_	_	
3-28	229-230	=	_	_	_	_	
3-29	230-231	=	_	_	_	_	
3-30	231-232	=	_	_	_	_	
3-31	232-233	=	_	_	_	_	
3-32	233-234	=	_	_	_	_	
3-33	234-235	=	_	_	_	_	
3-34	235-236	=	_	_	_	_	
3-35	236-237	=	_	_	_	_	
3-36	237-238	=	_	_	_	_	
3-37	238-239	=	_	_	_	_	
3-38	239-240	=	_	_	_	_	
3-39	240-241	=	_	_	_	_	
3-40	241-242	=	_	_	_	_	
3-41	242-243	=	_	_	_	_	
3-42	243-244	=	_	_	_	_	
3-43	244-245	=	_	_	_	_	
3-44	245-246	=	_	_	_	_	
3-45	246-247	=	_	_	_	_	
3-46	247-248	=	_	_	_	_	
3-47	248-249	=	_	_	_	_	
3-48	249-250	=	_	_	_	_	
3-49	250-251	=	_	_	_	_	
3-50	251-252	=	_	_	_	_	
3-51	252-253	=	_	_	_	_	
3-52	253-254	=	_	_	_	_	
3-53	254-255	=	_	_	_	_	
3-54	255-260	Mayor	_	_	_	_	
3-55	261-265	Tory	_	_	_	_	
3-56	266-269	has	_	_	_	_	
3-57	270-272	it	_	_	_	_	
3-58	273-278	right	Judgment	pos	_	_	
3-59	278-279	.	_	_	_	_	

#Text=The problem has arisen due to the totally different treatment the two sectors of the taxi service are subject to.
4-1	280-283	The	_	_	_	_	
4-2	284-291	problem	Appreciation	neg	_	_	
4-3	292-295	has	_	_	_	_	
4-4	296-302	arisen	_	_	_	_	
4-5	303-306	due	_	_	_	_	
4-6	307-309	to	_	_	_	_	
4-7	310-313	the	_	_	_	_	
4-8	314-321	totally	Appreciation[3]	neg[3]	Focus	up	
4-9	322-331	different	Appreciation[3]	neg[3]	_	_	
4-10	332-341	treatment	_	_	_	_	
4-11	342-345	the	_	_	_	_	
4-12	346-349	two	_	_	_	_	
4-13	350-357	sectors	_	_	_	_	
4-14	358-360	of	_	_	_	_	
4-15	361-364	the	_	_	_	_	
