#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.Attitude__|Label|Polarity


#Text=Preferable to supporting another method of skimming money to fill the 1%'s vaults as Uber does.
1-1	0-10	Preferable	Appreciation	pos	
1-2	11-13	to	_	_	
1-3	14-24	supporting	_	_	
1-4	25-32	another	_	_	
1-5	33-39	method	_	_	
1-6	40-42	of	_	_	
1-7	43-51	skimming	Judgment[2]	neg[2]	
1-8	52-57	money	Judgment[2]	neg[2]	
1-9	58-60	to	Judgment[2]	neg[2]	
1-10	61-65	fill	Judgment[2]	neg[2]	
1-11	66-69	the	Judgment[2]	neg[2]	
1-12	70-72	1%	Judgment[2]	neg[2]	
1-13	72-73	'	Judgment[2]	neg[2]	
1-14	73-74	s	Judgment[2]	neg[2]	
1-15	75-81	vaults	Judgment[2]	neg[2]	
1-16	82-84	as	_	_	
1-17	85-89	Uber	_	_	
1-18	90-94	does	_	_	
1-19	94-95	.	_	_	
