#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.Attitude__|Label|Polarity


#Text=The idea of actually using a watch--the old-fashioned pocket kind or the one many people still used strapped to their wrist (the very first models were called 'strap watches') is, in itself, archaic.
1-1	0-3	The	_	_	
1-2	4-8	idea	_	_	
1-3	9-11	of	_	_	
1-4	12-20	actually	_	_	
1-5	21-26	using	_	_	
1-6	27-28	a	_	_	
1-7	29-34	watch	_	_	
1-8	34-35	-	_	_	
1-9	35-36	-	_	_	
1-10	36-39	the	_	_	
1-11	40-53	old-fashioned	Appreciation	neg	
1-12	54-60	pocket	_	_	
1-13	61-65	kind	_	_	
1-14	66-68	or	_	_	
1-15	69-72	the	_	_	
1-16	73-76	one	_	_	
1-17	77-81	many	_	_	
1-18	82-88	people	_	_	
1-19	89-94	still	_	_	
1-20	95-99	used	_	_	
1-21	100-108	strapped	_	_	
1-22	109-111	to	_	_	
1-23	112-117	their	_	_	
1-24	118-123	wrist	_	_	
1-25	124-125	(	_	_	
1-26	125-128	the	_	_	
1-27	129-133	very	_	_	
1-28	134-139	first	_	_	
1-29	140-146	models	_	_	
1-30	147-151	were	_	_	
1-31	152-158	called	_	_	
1-32	159-160	'	_	_	
1-33	160-165	strap	_	_	
1-34	166-173	watches	_	_	
1-35	173-174	'	_	_	
1-36	174-175	)	_	_	
1-37	176-178	is	_	_	
1-38	178-179	,	_	_	
1-39	180-182	in	_	_	
1-40	183-189	itself	_	_	
1-41	189-190	,	_	_	
1-42	191-198	archaic	Appreciation	neg	
1-43	198-199	.	_	_	

#Text=It its functional intent, at least.
2-1	200-202	It	_	_	
2-2	203-206	its	_	_	
2-3	207-217	functional	_	_	
2-4	218-224	intent	_	_	
2-5	224-225	,	_	_	
2-6	226-228	at	_	_	
2-7	229-234	least	_	_	
2-8	234-235	.	_	_	

#Text=I almost forgot: as a fashion statement, it's right up there (so to speak) with earrings, I guess...I stopped wearing a watch years ago.
3-1	236-237	I	_	_	
3-2	238-244	almost	_	_	
3-3	245-251	forgot	_	_	
3-4	251-252	:	_	_	
3-5	253-255	as	_	_	
3-6	256-257	a	_	_	
3-7	258-265	fashion	_	_	
3-8	266-275	statement	_	_	
3-9	275-276	,	_	_	
3-10	277-281	it's	_	_	
3-11	282-287	right	Appreciation[3]	neg[3]	
3-12	288-290	up	Appreciation[3]	neg[3]	
3-13	291-296	there	Appreciation[3]	neg[3]	
3-14	297-298	(	Appreciation[3]	neg[3]	
3-15	298-300	so	Appreciation[3]	neg[3]	
3-16	301-303	to	Appreciation[3]	neg[3]	
3-17	304-309	speak	Appreciation[3]	neg[3]	
3-18	309-310	)	Appreciation[3]	neg[3]	
3-19	311-315	with	Appreciation[3]	neg[3]	
3-20	316-324	earrings	Appreciation[3]	neg[3]	
3-21	324-325	,	_	_	
3-22	326-327	I	_	_	
3-23	328-333	guess	_	_	
3-24	333-334	.	_	_	
3-25	334-335	.	_	_	
3-26	335-336	.	_	_	
3-27	336-337	I	_	_	
3-28	338-345	stopped	_	_	
3-29	346-353	wearing	_	_	
3-30	354-355	a	_	_	
3-31	356-361	watch	_	_	
3-32	362-367	years	_	_	
3-33	368-371	ago	_	_	
3-34	371-372	.	_	_	

#Text=Sit in the car: digital read-out on the dash.
4-1	373-376	Sit	_	_	
4-2	377-379	in	_	_	
4-3	380-383	the	_	_	
4-4	384-387	car	_	_	
4-5	387-388	:	_	_	
4-6	389-396	digital	_	_	
4-7	397-405	read-out	_	_	
4-8	406-408	on	_	_	
4-9	409-412	the	_	_	
4-10	413-417	dash	_	_	
4-11	417-418	.	_	_	

#Text=Use a computer: there's the time, lower right of the monitor screen.
5-1	419-422	Use	_	_	
5-2	423-424	a	_	_	
5-3	425-433	computer	_	_	
5-4	433-434	:	_	_	
5-5	435-442	there's	_	_	
5-6	443-446	the	_	_	
5-7	447-451	time	_	_	
5-8	451-452	,	_	_	
5-9	453-458	lower	_	_	
5-10	459-464	right	_	_	
5-11	465-467	of	_	_	
5-12	468-471	the	_	_	
5-13	472-479	monitor	_	_	
5-14	480-486	screen	_	_	
5-15	486-487	.	_	_	

#Text=Walk into the kitchen; Yup, time's right there on the microwave or stove.
6-1	488-492	Walk	_	_	
6-2	493-497	into	_	_	
6-3	498-501	the	_	_	
6-4	502-509	kitchen	_	_	
6-5	509-510	;	_	_	
6-6	511-514	Yup	_	_	
6-7	514-515	,	_	_	
6-8	516-522	time's	_	_	
6-9	523-528	right	_	_	
6-10	529-534	there	_	_	
6-11	535-537	on	_	_	
6-12	538-541	the	_	_	
6-13	542-551	microwave	_	_	
6-14	552-554	or	_	_	
6-15	555-560	stove	_	_	
6-16	560-561	.	_	_	

#Text=Go any place public, chances are you'll see a clock of some sort.
7-1	562-564	Go	_	_	
7-2	565-568	any	_	_	
7-3	569-574	place	_	_	
7-4	575-581	public	_	_	
7-5	581-582	,	_	_	
7-6	583-590	chances	_	_	
7-7	591-594	are	_	_	
7-8	595-601	you'll	_	_	
7-9	602-605	see	_	_	
7-10	606-607	a	_	_	
7-11	608-613	clock	_	_	
7-12	614-616	of	_	_	
7-13	617-621	some	_	_	
7-14	622-626	sort	_	_	
7-15	626-627	.	_	_	

#Text=And, there's always, ''scuse me, have you got the time?'
8-1	628-631	And	_	_	
8-2	631-632	,	_	_	
8-3	633-640	there's	_	_	
8-4	641-647	always	_	_	
8-5	647-648	,	_	_	
8-6	649-650	'	_	_	
8-7	650-651	'	_	_	
8-8	651-656	scuse	_	_	
8-9	657-659	me	_	_	
8-10	659-660	,	_	_	
8-11	661-665	have	_	_	
8-12	666-669	you	_	_	
8-13	670-673	got	_	_	
8-14	674-677	the	_	_	
8-15	678-682	time	_	_	
8-16	682-683	?	_	_	
8-17	683-684	'	_	_	

#Text=And, by George, chances are the other person does--in a manner of speaking.
9-1	685-688	And	_	_	
9-2	688-689	,	_	_	
9-3	690-692	by	_	_	
9-4	693-699	George	_	_	
9-5	699-700	,	_	_	
9-6	701-708	chances	_	_	
9-7	709-712	are	_	_	
9-8	713-716	the	_	_	
9-9	717-722	other	_	_	
9-10	723-729	person	_	_	
9-11	730-734	does	_	_	
9-12	734-735	-	_	_	
9-13	735-736	-	_	_	
9-14	736-738	in	_	_	
9-15	739-740	a	_	_	
9-16	741-747	manner	_	_	
9-17	748-750	of	_	_	
9-18	751-759	speaking	_	_	
9-19	759-760	.	_	_	

#Text=So it's one more thing I don't have to buy, or spend more money on repairs or batteries.
10-1	761-763	So	_	_	
10-2	764-768	it's	_	_	
10-3	769-772	one	_	_	
10-4	773-777	more	_	_	
10-5	778-783	thing	_	_	
10-6	784-785	I	_	_	
10-7	786-791	don't	Appreciation[4]	neg[4]	
10-8	792-796	have	Appreciation[4]	neg[4]	
10-9	797-799	to	Appreciation[4]	neg[4]	
10-10	800-803	buy	Appreciation[4]	neg[4]	
10-11	803-804	,	Appreciation[4]	neg[4]	
10-12	805-807	or	Appreciation[4]	neg[4]	
10-13	808-813	spend	Appreciation[4]	neg[4]	
10-14	814-818	more	Appreciation[4]	neg[4]	
10-15	819-824	money	Appreciation[4]	neg[4]	
10-16	825-827	on	Appreciation[4]	neg[4]	
10-17	828-835	repairs	Appreciation[4]	neg[4]	
10-18	836-838	or	Appreciation[4]	neg[4]	
10-19	839-848	batteries	Appreciation[4]	neg[4]	
10-20	848-849	.	_	_	

#Text=Next...
11-1	850-854	Next	_	_	
11-2	854-855	.	_	_	
11-3	855-856	.	_	_	
11-4	856-857	.	_	_	
