#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.Attitude__|Label|Polarity


#Text=If it happens once in a while to everyone, it's a crime.
1-1	0-2	If	Appreciation[1]	neg[1]	
1-2	3-5	it	Appreciation[1]	neg[1]	
1-3	6-13	happens	Appreciation[1]	neg[1]	
1-4	14-18	once	Appreciation[1]	neg[1]	
1-5	19-21	in	Appreciation[1]	neg[1]	
1-6	22-23	a	Appreciation[1]	neg[1]	
1-7	24-29	while	Appreciation[1]	neg[1]	
1-8	30-32	to	Appreciation[1]	neg[1]	
1-9	33-41	everyone	Appreciation[1]	neg[1]	
1-10	41-42	,	Appreciation[1]	neg[1]	
1-11	43-47	it's	Appreciation[1]	neg[1]	
1-12	48-49	a	Appreciation[1]	neg[1]	
1-13	50-55	crime	Appreciation[1]|Appreciation[2]	neg[1]|neg[2]	
1-14	55-56	.	_	_	

#Text=If it happens disproportionately to a particular demographic, it's more than just a crime.Harper is way out to lunch on this one.
2-1	57-59	If	_	_	
2-2	60-62	it	_	_	
2-3	63-70	happens	_	_	
2-4	71-89	disproportionately	Appreciation	neg	
2-5	90-92	to	_	_	
2-6	93-94	a	_	_	
2-7	95-105	particular	_	_	
2-8	106-117	demographic	_	_	
2-9	117-118	,	_	_	
2-10	119-123	it's	_	_	
2-11	124-128	more	Appreciation[4]	neg[4]	
2-12	129-133	than	Appreciation[4]	neg[4]	
2-13	134-138	just	Appreciation[4]	neg[4]	
2-14	139-140	a	Appreciation[4]	neg[4]	
2-15	141-153	crime.Harper	Appreciation[4]	neg[4]	
2-16	154-156	is	_	_	
2-17	157-160	way	Judgment[5]	neg[5]	
2-18	161-164	out	Judgment[5]	neg[5]	
2-19	165-167	to	Judgment[5]	neg[5]	
2-20	168-173	lunch	Judgment[5]	neg[5]	
2-21	174-176	on	_	_	
2-22	177-181	this	_	_	
2-23	182-185	one	_	_	
2-24	185-186	.	_	_	

#Text=This is not an issue the police can solve.
3-1	187-191	This	_	_	
3-2	192-194	is	_	_	
3-3	195-198	not	Appreciation[6]	neg[6]	
3-4	199-201	an	Appreciation[6]	neg[6]	
3-5	202-207	issue	Appreciation[6]	neg[6]	
3-6	208-211	the	Appreciation[6]	neg[6]	
3-7	212-218	police	Appreciation[6]	neg[6]	
3-8	219-222	can	Appreciation[6]	neg[6]	
3-9	223-228	solve	Appreciation[6]	neg[6]	
3-10	228-229	.	_	_	

#Text=It's going to take a society, a country, to do that, and that takes leadership and information.
4-1	230-234	It's	_	_	
4-2	235-240	going	_	_	
4-3	241-243	to	_	_	
4-4	244-248	take	_	_	
4-5	249-250	a	_	_	
4-6	251-258	society	_	_	
4-7	258-259	,	_	_	
4-8	260-261	a	_	_	
4-9	262-269	country	_	_	
4-10	269-270	,	_	_	
4-11	271-273	to	_	_	
4-12	274-276	do	_	_	
4-13	277-281	that	_	_	
4-14	281-282	,	_	_	
4-15	283-286	and	_	_	
4-16	287-291	that	_	_	
4-17	292-297	takes	_	_	
4-18	298-308	leadership	Appreciation[7]	pos[7]	
4-19	309-312	and	Appreciation[7]	pos[7]	
4-20	313-324	information	Appreciation[7]	pos[7]	
4-21	324-325	.	_	_	

#Text=It is time to have an inquiry, gather the information, consult the experts across all the areas of concern, and formulate and implement a national strategy.It won't be easy.
5-1	326-328	It	_	_	
5-2	329-331	is	_	_	
5-3	332-336	time	Appreciation[8]	pos[8]	
5-4	337-339	to	Appreciation[8]	pos[8]	
5-5	340-344	have	Appreciation[8]	pos[8]	
5-6	345-347	an	Appreciation[8]	pos[8]	
5-7	348-355	inquiry	Appreciation[8]	pos[8]	
5-8	355-356	,	_	_	
5-9	357-363	gather	_	_	
5-10	364-367	the	_	_	
5-11	368-379	information	_	_	
5-12	379-380	,	_	_	
5-13	381-388	consult	_	_	
5-14	389-392	the	_	_	
5-15	393-400	experts	_	_	
5-16	401-407	across	_	_	
5-17	408-411	all	_	_	
5-18	412-415	the	_	_	
5-19	416-421	areas	_	_	
5-20	422-424	of	_	_	
5-21	425-432	concern	_	_	
5-22	432-433	,	_	_	
5-23	434-437	and	_	_	
5-24	438-447	formulate	Appreciation[9]	pos[9]	
5-25	448-451	and	Appreciation[9]	pos[9]	
5-26	452-461	implement	Appreciation[9]	pos[9]	
5-27	462-463	a	Appreciation[9]	pos[9]	
5-28	464-472	national	Appreciation[9]	pos[9]	
5-29	473-484	strategy.It	Appreciation[9]	pos[9]	
5-30	485-490	won't	Appreciation[10]	neg[10]	
5-31	491-493	be	Appreciation[10]	neg[10]	
5-32	494-498	easy	Appreciation[10]	neg[10]	
5-33	498-499	.	_	_	

#Text=In fact, it will be difficult and contentious.
6-1	500-502	In	_	_	
6-2	503-507	fact	_	_	
6-3	507-508	,	_	_	
6-4	509-511	it	_	_	
6-5	512-516	will	_	_	
6-6	517-519	be	_	_	
