#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.NEGATION|Negations


#Text=All of this energy should be directed at the parents of aboriginal women.These young children have no positive role models, the family structure does not exist to help children grow into thriving citizens in society.The state can not fill all of that void.
1-1	0-3	All	_	
1-2	4-6	of	_	
1-3	7-11	this	_	
1-4	12-18	energy	_	
1-5	19-25	should	_	
1-6	26-28	be	_	
1-7	29-37	directed	_	
1-8	38-40	at	_	
1-9	41-44	the	_	
1-10	45-52	parents	_	
1-11	53-55	of	_	
1-12	56-66	aboriginal	_	
1-13	67-78	women.These	_	
1-14	79-84	young	_	
1-15	85-93	children	_	
1-16	94-98	have	_	
1-17	99-101	no	NEG	
1-18	102-110	positive	SCOPE[2]|FOCUS[3]	
1-19	111-115	role	SCOPE[2]	
1-20	116-122	models	SCOPE[2]	
1-21	122-123	,	_	
1-22	124-127	the	_	
1-23	128-134	family	_	
1-24	135-144	structure	_	
1-25	145-149	does	_	
1-26	150-153	not	NEG	
1-27	154-159	exist	SCOPE[5]	
1-28	160-162	to	SCOPE[5]	
1-29	163-167	help	SCOPE[5]	
1-30	168-176	children	SCOPE[5]	
1-31	177-181	grow	SCOPE[5]	
1-32	182-186	into	SCOPE[5]	
1-33	187-195	thriving	SCOPE[5]	
1-34	196-204	citizens	SCOPE[5]	
1-35	205-207	in	SCOPE[5]	
1-36	208-219	society.The	SCOPE[5]|FOCUS[6]	
1-37	220-225	state	_	
1-38	226-229	can	_	
1-39	230-233	not	NEG	
1-40	234-238	fill	SCOPE[8]	
1-41	239-242	all	SCOPE[8]	
1-42	243-245	of	SCOPE[8]	
1-43	246-250	that	SCOPE[8]|FOCUS[9]	
1-44	251-255	void	SCOPE[8]|FOCUS[9]	
1-45	255-256	.	_	
