#FORMAT=WebAnno TSV 3.1


#Text=If we address what aboriginal communities are doing wrong, generating so much dysfunction, will that help?
1-1	0-2	If	
1-2	3-5	we	
1-3	6-13	address	
1-4	14-18	what	
1-5	19-29	aboriginal	
1-6	30-41	communities	
1-7	42-45	are	
1-8	46-51	doing	
1-9	52-57	wrong	
1-10	57-58	,	
1-11	59-69	generating	
1-12	70-72	so	
1-13	73-77	much	
1-14	78-89	dysfunction	
1-15	89-90	,	
1-16	91-95	will	
1-17	96-100	that	
1-18	101-105	help	
1-19	105-106	?	

#Text=Is that what you want the study to focus on?
2-1	106-108	Is	
2-2	109-113	that	
2-3	114-118	what	
2-4	119-122	you	
2-5	123-127	want	
2-6	128-131	the	
2-7	132-137	study	
2-8	138-140	to	
2-9	141-146	focus	
2-10	147-149	on	
2-11	149-150	?	
