#FORMAT=WebAnno TSV 3.1


#Text=In all the years that indian residential schools operated, from the first ones in the late 1600s to the last ones kept open into the 1990s at the request of the reserves they served, only about 150,000 students ever attended.
1-1	0-2	In	
1-2	3-6	all	
1-3	7-10	the	
1-4	11-16	years	
1-5	17-21	that	
1-6	22-28	indian	
1-7	29-40	residential	
1-8	41-48	schools	
1-9	49-57	operated	
1-10	57-58	,	
1-11	59-63	from	
1-12	64-67	the	
1-13	68-73	first	
1-14	74-78	ones	
1-15	79-81	in	
1-16	82-85	the	
1-17	86-90	late	
1-18	91-96	1600s	
1-19	97-99	to	
1-20	100-103	the	
1-21	104-108	last	
1-22	109-113	ones	
1-23	114-118	kept	
1-24	119-123	open	
1-25	124-128	into	
1-26	129-132	the	
1-27	133-138	1990s	
1-28	139-141	at	
1-29	142-145	the	
1-30	146-153	request	
1-31	154-156	of	
1-32	157-160	the	
1-33	161-169	reserves	
1-34	170-174	they	
1-35	175-181	served	
1-36	181-182	,	
1-37	183-187	only	
1-38	188-193	about	
1-39	194-201	150,000	
1-40	202-210	students	
1-41	211-215	ever	
1-42	216-224	attended	
1-43	224-225	.	

#Text=The current indian population in Canada is around one million.Given that the students from the 1600s well into the 1900s are mostly dead of old age, that leaves at most 10%, and probably less, of the indian population ever saw the inside of one of these schools.The excuse is running thin.
2-1	226-229	The	
2-2	230-237	current	
2-3	238-244	indian	
2-4	245-255	population	
2-5	256-258	in	
2-6	259-265	Canada	
2-7	266-268	is	
2-8	269-275	around	
2-9	276-279	one	
2-10	280-293	million.Given	
2-11	294-298	that	
2-12	299-302	the	
2-13	303-311	students	
2-14	312-316	from	
2-15	317-320	the	
2-16	321-326	1600s	
2-17	327-331	well	
2-18	332-336	into	
2-19	337-340	the	
2-20	341-346	1900s	
2-21	347-350	are	
2-22	351-357	mostly	
2-23	358-362	dead	
2-24	363-365	of	
2-25	366-369	old	
2-26	370-373	age	
2-27	373-374	,	
2-28	375-379	that	
2-29	380-386	leaves	
2-30	387-389	at	
2-31	390-394	most	
2-32	395-398	10%	
2-33	398-399	,	
2-34	400-403	and	
2-35	404-412	probably	
2-36	413-417	less	
2-37	417-418	,	
2-38	419-421	of	
2-39	422-425	the	
2-40	426-432	indian	
2-41	433-443	population	
2-42	444-448	ever	
2-43	449-452	saw	
2-44	453-456	the	
2-45	457-463	inside	
2-46	464-466	of	
2-47	467-470	one	
2-48	471-473	of	
2-49	474-479	these	
2-50	480-491	schools.The	
2-51	492-498	excuse	
2-52	499-501	is	
2-53	502-509	running	
2-54	510-514	thin	
2-55	514-515	.	
