#FORMAT=WebAnno TSV 3.1


#Text=In my province of B.C., despite the fact that aboriginal children represent only about eight per cent of the child population, more than 50 per cent of the total children in care are aboriginal..........................................................................................................................In late 2012, it was reported that 8,000 of the 9,000 in care in Manitoba  were aboriginal.Many First Nations problems start on the reserves.
1-1	0-2	In	
1-2	3-5	my	
1-3	6-14	province	
1-4	15-17	of	
1-5	18-21	B.C	
1-6	21-22	.	
1-7	22-23	,	
1-8	24-31	despite	
1-9	32-35	the	
1-10	36-40	fact	
1-11	41-45	that	
1-12	46-56	aboriginal	
1-13	57-65	children	
1-14	66-75	represent	
1-15	76-80	only	
1-16	81-86	about	
1-17	87-92	eight	
1-18	93-96	per	
1-19	97-101	cent	
1-20	102-104	of	
1-21	105-108	the	
1-22	109-114	child	
1-23	115-125	population	
1-24	125-126	,	
1-25	127-131	more	
1-26	132-136	than	
1-27	137-139	50	
1-28	140-143	per	
1-29	144-148	cent	
1-30	149-151	of	
1-31	152-155	the	
1-32	156-161	total	
1-33	162-170	children	
1-34	171-173	in	
1-35	174-178	care	
1-36	179-182	are	
1-37	183-193	aboriginal	
1-38	193-194	.	
1-39	194-195	.	
1-40	195-196	.	
1-41	196-197	.	
1-42	197-198	.	
1-43	198-199	.	
1-44	199-200	.	
1-45	200-201	.	
1-46	201-202	.	
1-47	202-203	.	
1-48	203-204	.	
1-49	204-205	.	
1-50	205-206	.	
1-51	206-207	.	
1-52	207-208	.	
1-53	208-209	.	
1-54	209-210	.	
1-55	210-211	.	
1-56	211-212	.	
1-57	212-213	.	
1-58	213-214	.	
1-59	214-215	.	
1-60	215-216	.	
1-61	216-217	.	
1-62	217-218	.	
1-63	218-219	.	
1-64	219-220	.	
1-65	220-221	.	
1-66	221-222	.	
1-67	222-223	.	
1-68	223-224	.	
1-69	224-225	.	
1-70	225-226	.	
1-71	226-227	.	
1-72	227-228	.	
1-73	228-229	.	
1-74	229-230	.	
1-75	230-231	.	
1-76	231-232	.	
1-77	232-233	.	
1-78	233-234	.	
1-79	234-235	.	
1-80	235-236	.	
1-81	236-237	.	
1-82	237-238	.	
1-83	238-239	.	
1-84	239-240	.	
1-85	240-241	.	
1-86	241-242	.	
1-87	242-243	.	
1-88	243-244	.	
1-89	244-245	.	
1-90	245-246	.	
1-91	246-247	.	
1-92	247-248	.	
1-93	248-249	.	
1-94	249-250	.	
1-95	250-251	.	
1-96	251-252	.	
1-97	252-253	.	
1-98	253-254	.	
1-99	254-255	.	
1-100	255-256	.	
1-101	256-257	.	
1-102	257-258	.	
1-103	258-259	.	
1-104	259-260	.	
1-105	260-261	.	
1-106	261-262	.	
1-107	262-263	.	
1-108	263-264	.	
1-109	264-265	.	
1-110	265-266	.	
1-111	266-267	.	
1-112	267-268	.	
1-113	268-269	.	
1-114	269-270	.	
1-115	270-271	.	
1-116	271-272	.	
1-117	272-273	.	
1-118	273-274	.	
1-119	274-275	.	
1-120	275-276	.	
1-121	276-277	.	
1-122	277-278	.	
1-123	278-279	.	
1-124	279-280	.	
1-125	280-281	.	
1-126	281-282	.	
1-127	282-283	.	
1-128	283-284	.	
1-129	284-285	.	
1-130	285-286	.	
1-131	286-287	.	
1-132	287-288	.	
1-133	288-289	.	
1-134	289-290	.	
1-135	290-291	.	
1-136	291-292	.	
1-137	292-293	.	
1-138	293-294	.	
1-139	294-295	.	
1-140	295-296	.	
1-141	296-297	.	
1-142	297-298	.	
1-143	298-299	.	
1-144	299-300	.	
1-145	300-301	.	
1-146	301-302	.	
1-147	302-303	.	
1-148	303-304	.	
1-149	304-305	.	
1-150	305-306	.	
1-151	306-307	.	
1-152	307-308	.	
1-153	308-309	.	
1-154	309-310	.	
1-155	310-311	.	
1-156	311-312	.	
1-157	312-313	.	
1-158	313-314	.	
1-159	314-315	.	
1-160	315-317	In	
1-161	318-322	late	
1-162	323-327	2012	
1-163	327-328	,	
1-164	329-331	it	
1-165	332-335	was	
1-166	336-344	reported	
1-167	345-349	that	
1-168	350-355	8,000	
1-169	356-358	of	
1-170	359-362	the	
1-171	363-368	9,000	
1-172	369-371	in	
1-173	372-376	care	
1-174	377-379	in	
1-175	380-388	Manitoba	
1-176	390-394	were	
1-177	395-410	aboriginal.Many	
1-178	411-416	First	
1-179	417-424	Nations	
1-180	425-433	problems	
1-181	434-439	start	
1-182	440-442	on	
1-183	443-446	the	
1-184	447-455	reserves	
1-185	455-456	.	

#Text=An broad investigation of child care or violence against native women may well pose a much wider problem.
2-1	457-459	An	
2-2	460-465	broad	
2-3	466-479	investigation	
2-4	480-482	of	
2-5	483-488	child	
2-6	489-493	care	
2-7	494-496	or	
2-8	497-505	violence	
2-9	506-513	against	
2-10	514-520	native	
2-11	521-526	women	
2-12	527-530	may	
2-13	531-535	well	
2-14	536-540	pose	
2-15	541-542	a	
2-16	543-547	much	
2-17	548-553	wider	
2-18	554-561	problem	
2-19	561-562	.	
