#FORMAT=WebAnno TSV 3.1


#Text=In this case it seemed as if her father was contributing more than her mother, though it was her aunt that seems to have been raising her.And then there was uncertainty as to whether she was supposed to be staying with her mother in her visit to Winnipeg or with a foster family.
1-1	0-2	In	
1-2	3-7	this	
1-3	8-12	case	
1-4	13-15	it	
1-5	16-22	seemed	
1-6	23-25	as	
1-7	26-28	if	
1-8	29-32	her	
1-9	33-39	father	
1-10	40-43	was	
1-11	44-56	contributing	
1-12	57-61	more	
1-13	62-66	than	
1-14	67-70	her	
1-15	71-77	mother	
1-16	77-78	,	
1-17	79-85	though	
1-18	86-88	it	
1-19	89-92	was	
1-20	93-96	her	
1-21	97-101	aunt	
1-22	102-106	that	
1-23	107-112	seems	
1-24	113-115	to	
1-25	116-120	have	
1-26	121-125	been	
1-27	126-133	raising	
1-28	134-141	her.And	
1-29	142-146	then	
1-30	147-152	there	
1-31	153-156	was	
1-32	157-168	uncertainty	
1-33	169-171	as	
1-34	172-174	to	
1-35	175-182	whether	
1-36	183-186	she	
1-37	187-190	was	
1-38	191-199	supposed	
1-39	200-202	to	
1-40	203-205	be	
1-41	206-213	staying	
1-42	214-218	with	
1-43	219-222	her	
1-44	223-229	mother	
1-45	230-232	in	
1-46	233-236	her	
1-47	237-242	visit	
1-48	243-245	to	
1-49	246-254	Winnipeg	
1-50	255-257	or	
1-51	258-262	with	
1-52	263-264	a	
1-53	265-271	foster	
1-54	272-278	family	
1-55	278-279	.	
