#FORMAT=WebAnno TSV 3.1


#Text=Too many drinkers of  Uncle Obama and western 'koolaide' to have any real perspective on what's going on in Iraq and Syria.
1-1	0-3	Too	
1-2	4-8	many	
1-3	9-17	drinkers	
1-4	18-20	of	
1-5	22-27	Uncle	
1-6	28-33	Obama	
1-7	34-37	and	
1-8	38-45	western	
1-9	46-47	'	
1-10	47-55	koolaide	
1-11	55-56	'	
1-12	57-59	to	
1-13	60-64	have	
1-14	65-68	any	
1-15	69-73	real	
1-16	74-85	perspective	
1-17	86-88	on	
1-18	89-95	what's	
1-19	96-101	going	
1-20	102-104	on	
1-21	105-107	in	
1-22	108-112	Iraq	
1-23	113-116	and	
1-24	117-122	Syria	
1-25	122-123	.	

#Text=ISIS is a 'walk in the park' compared to an all out war between Sunni-Shia factions.
2-1	124-128	ISIS	
2-2	129-131	is	
2-3	132-133	a	
2-4	134-135	'	
2-5	135-139	walk	
2-6	140-142	in	
2-7	143-146	the	
2-8	147-151	park	
2-9	151-152	'	
2-10	153-161	compared	
2-11	162-164	to	
2-12	165-167	an	
2-13	168-171	all	
2-14	172-175	out	
2-15	176-179	war	
2-16	180-187	between	
2-17	188-198	Sunni-Shia	
2-18	199-207	factions	
2-19	207-208	.	

#Text=ISIS is merely a symptom of a far greater regional struggle that has been festering for decades.
3-1	209-213	ISIS	
3-2	214-216	is	
3-3	217-223	merely	
3-4	224-225	a	
3-5	226-233	symptom	
3-6	234-236	of	
3-7	237-238	a	
3-8	239-242	far	
3-9	243-250	greater	
3-10	251-259	regional	
3-11	260-268	struggle	
3-12	269-273	that	
3-13	274-277	has	
3-14	278-282	been	
3-15	283-292	festering	
3-16	293-296	for	
3-17	297-304	decades	
3-18	304-305	.	

#Text=When buffoons like our former PM blast the only stable government out of Libya and then run away to let ISIS take control....you know the west is way out of its collective and intelligence league, in even having a strategy outside of the coalition of the confused!
4-1	306-310	When	
4-2	311-319	buffoons	
4-3	320-324	like	
4-4	325-328	our	
4-5	329-335	former	
4-6	336-338	PM	
4-7	339-344	blast	
4-8	345-348	the	
4-9	349-353	only	
4-10	354-360	stable	
4-11	361-371	government	
4-12	372-375	out	
4-13	376-378	of	
4-14	379-384	Libya	
4-15	385-388	and	
4-16	389-393	then	
4-17	394-397	run	
4-18	398-402	away	
4-19	403-405	to	
4-20	406-409	let	
4-21	410-414	ISIS	
4-22	415-419	take	
4-23	420-427	control	
4-24	427-428	.	
4-25	428-429	.	
4-26	429-430	.	
4-27	430-431	.	
4-28	431-434	you	
4-29	435-439	know	
4-30	440-443	the	
4-31	444-448	west	
4-32	449-451	is	
4-33	452-455	way	
4-34	456-459	out	
4-35	460-462	of	
4-36	463-466	its	
4-37	467-477	collective	
4-38	478-481	and	
4-39	482-494	intelligence	
4-40	495-501	league	
4-41	501-502	,	
4-42	503-505	in	
4-43	506-510	even	
4-44	511-517	having	
4-45	518-519	a	
4-46	520-528	strategy	
4-47	529-536	outside	
4-48	537-539	of	
4-49	540-543	the	
4-50	544-553	coalition	
4-51	554-556	of	
4-52	557-560	the	
4-53	561-569	confused	
4-54	569-570	!	
