#FORMAT=WebAnno TSV 3.1


#Text=When the sun shines brightly outdoors and one's interesting and relevant story is ungraciously insulted, it is time to wish others an enjoyable day, and goodbye!
1-1	0-4	When	
1-2	5-8	the	
1-3	9-12	sun	
1-4	13-19	shines	
1-5	20-28	brightly	
1-6	29-37	outdoors	
1-7	38-41	and	
1-8	42-47	one's	
1-9	48-59	interesting	
1-10	60-63	and	
1-11	64-72	relevant	
1-12	73-78	story	
1-13	79-81	is	
1-14	82-94	ungraciously	
1-15	95-103	insulted	
1-16	103-104	,	
1-17	105-107	it	
1-18	108-110	is	
1-19	111-115	time	
1-20	116-118	to	
1-21	119-123	wish	
1-22	124-130	others	
1-23	131-133	an	
1-24	134-143	enjoyable	
1-25	144-147	day	
1-26	147-148	,	
1-27	149-152	and	
1-28	153-160	goodbye	
1-29	160-161	!	
