#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.NEGATION|Negations


#Text=Zero examples.
1-1	0-4	Zero	NEG	
1-2	5-13	examples	SCOPE[2]|FOCUS[3]	
1-3	13-14	.	_	

#Text=And the Muslim countries you refer to are all 3rd world, poor - great.
2-1	16-19	And	_	
2-2	20-23	the	_	
2-3	24-30	Muslim	_	
2-4	31-40	countries	_	
2-5	41-44	you	_	
2-6	45-50	refer	_	
2-7	51-53	to	_	
2-8	54-57	are	_	
2-9	58-61	all	_	
2-10	62-65	3rd	_	
2-11	66-71	world	_	
2-12	71-72	,	_	
2-13	73-77	poor	_	
2-14	78-79	-	_	
2-15	80-85	great	_	
2-16	85-86	.	_	
