#FORMAT=WebAnno TSV 3.1


#Text=I'm pretty sure at least one maybe two Glasgow Muslim Doctors accidentally blew themselves up at the airport around 7or 8 years ago.
1-1	0-3	I'm	
1-2	4-10	pretty	
1-3	11-15	sure	
1-4	16-18	at	
1-5	19-24	least	
1-6	25-28	one	
1-7	29-34	maybe	
1-8	35-38	two	
1-9	39-46	Glasgow	
1-10	47-53	Muslim	
1-11	54-61	Doctors	
1-12	62-74	accidentally	
1-13	75-79	blew	
1-14	80-90	themselves	
1-15	91-93	up	
1-16	94-96	at	
1-17	97-100	the	
1-18	101-108	airport	
1-19	109-115	around	
1-20	116-119	7or	
1-21	120-121	8	
1-22	122-127	years	
1-23	128-131	ago	
1-24	131-132	.	

#Text=The bombs were meant for innocents but fortunately they were the only casualties.
2-1	133-136	The	
2-2	137-142	bombs	
2-3	143-147	were	
2-4	148-153	meant	
2-5	154-157	for	
2-6	158-167	innocents	
2-7	168-171	but	
2-8	172-183	fortunately	
2-9	184-188	they	
2-10	189-193	were	
2-11	194-197	the	
2-12	198-202	only	
2-13	203-213	casualties	
2-14	213-214	.	

#Text=I doubt they were destitute.
3-1	215-216	I	
3-2	217-222	doubt	
3-3	223-227	they	
3-4	228-232	were	
3-5	233-242	destitute	
3-6	242-243	.	
