#FORMAT=WebAnno TSV 3.1


#Text=It is an offshoot of the Rwandan genocide, where Catholic priests and nuns helped the Hutus to massacre the Tutsis.
1-1	0-2	It	
1-2	3-5	is	
1-3	6-8	an	
1-4	9-17	offshoot	
1-5	18-20	of	
1-6	21-24	the	
1-7	25-32	Rwandan	
1-8	33-41	genocide	
1-9	41-42	,	
1-10	43-48	where	
1-11	49-57	Catholic	
1-12	58-65	priests	
1-13	66-69	and	
1-14	70-74	nuns	
1-15	75-81	helped	
1-16	82-85	the	
1-17	86-91	Hutus	
1-18	92-94	to	
1-19	95-103	massacre	
1-20	104-107	the	
1-21	108-114	Tutsis	
1-22	114-115	.	

#Text=Religion!
2-1	116-124	Religion	
2-2	124-125	!	
