#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.NEGATION|Negations
#T_RL=webanno.custom.XNEGATION|BT_webanno.custom.NEGATION


#Text=MHArding3's point is clear and rational, yours is not.
1-1	0-9	MHArding3	_	_	
1-2	9-10	'	_	_	
1-3	10-11	s	_	_	
1-4	12-17	point	_	_	
1-5	18-20	is	_	_	
1-6	21-26	clear	SCOPE[1]|FOCUS[2]	1-12[0_1]	
1-7	27-30	and	SCOPE[1]	_	
1-8	31-39	rational	SCOPE[1]|FOCUS[3]	_	
1-9	39-40	,	_	_	
1-10	41-46	yours	_	_	
1-11	47-49	is	_	_	
1-12	50-53	not	NEG	_	
1-13	53-54	.	_	_	

#Text=There are myriad conflicts going out all over the world.
2-1	56-61	There	_	_	
2-2	62-65	are	_	_	
2-3	66-72	myriad	_	_	
2-4	73-82	conflicts	_	_	
2-5	83-88	going	_	_	
2-6	89-92	out	_	_	
2-7	93-96	all	_	_	
2-8	97-101	over	_	_	
2-9	102-105	the	_	_	
2-10	106-111	world	_	_	
2-11	111-112	.	_	_	

#Text=People from these conflict areas have immigrated all over the world.
3-1	113-119	People	_	_	
3-2	120-124	from	_	_	
3-3	125-130	these	_	_	
3-4	131-139	conflict	_	_	
3-5	140-145	areas	_	_	
3-6	146-150	have	_	_	
3-7	151-161	immigrated	_	_	
3-8	162-165	all	_	_	
3-9	166-170	over	_	_	
3-10	171-174	the	_	_	
3-11	175-180	world	_	_	
3-12	180-181	.	_	_	

#Text=Why is it that no other group besides Muslims are transplanting those conflict to their new countries and becoming terrorists there?
4-1	182-185	Why	_	_	
4-2	186-188	is	_	_	
4-3	189-191	it	_	_	
4-4	192-196	that	_	_	
4-5	197-199	no	NEG	_	
4-6	200-205	other	SCOPE[6]	_	
4-7	206-211	group	SCOPE[6]	_	
4-8	212-219	besides	SCOPE[6]	_	
4-9	220-227	Muslims	SCOPE[6]|FOCUS[7]	_	
4-10	228-231	are	SCOPE[6]	_	
4-11	232-245	transplanting	SCOPE[6]	_	
4-12	246-251	those	SCOPE[6]	_	
4-13	252-260	conflict	SCOPE[6]	_	
4-14	261-263	to	SCOPE[6]	_	
4-15	264-269	their	SCOPE[6]	_	
4-16	270-273	new	SCOPE[6]	_	
4-17	274-283	countries	SCOPE[6]	_	
4-18	284-287	and	SCOPE[6]	_	
4-19	288-296	becoming	SCOPE[6]	_	
4-20	297-307	terrorists	SCOPE[6]	_	
4-21	308-313	there	SCOPE[6]	_	
4-22	313-314	?	_	_	
