#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.NEGATION|Negations
#T_RL=webanno.custom.XNEGATION|BT_webanno.custom.NEGATION


#Text=The shallowness of this debate on government finances is depressing and all three parties are in the dock, along with an inadequately informed citizenry.
1-1	0-3	The	_	_	
1-2	4-15	shallowness	_	_	
1-3	16-18	of	_	_	
1-4	19-23	this	_	_	
1-5	24-30	debate	_	_	
1-6	31-33	on	_	_	
1-7	34-44	government	_	_	
1-8	45-53	finances	_	_	
1-9	54-56	is	_	_	
1-10	57-67	depressing	_	_	
1-11	68-71	and	_	_	
1-12	72-75	all	_	_	
1-13	76-81	three	_	_	
1-14	82-89	parties	_	_	
1-15	90-93	are	_	_	
1-16	94-96	in	_	_	
1-17	97-100	the	_	_	
1-18	101-105	dock	_	_	
1-19	105-106	,	_	_	
1-20	107-112	along	_	_	
1-21	113-117	with	_	_	
1-22	118-120	an	_	_	
1-23	121-133	inadequately	_	_	
1-24	134-142	informed	_	_	
1-25	143-152	citizenry	_	_	
1-26	152-153	.	_	_	

#Text=We all ask to be manipulated because it so obviously works.Fact is government has little influence on the broader economy.
2-1	154-156	We	_	_	
2-2	157-160	all	_	_	
2-3	161-164	ask	_	_	
2-4	165-167	to	_	_	
2-5	168-170	be	_	_	
2-6	171-182	manipulated	_	_	
2-7	183-190	because	_	_	
2-8	191-193	it	_	_	
2-9	194-196	so	_	_	
2-10	197-206	obviously	_	_	
2-11	207-217	works.Fact	_	_	
2-12	218-220	is	_	_	
2-13	221-231	government	_	_	
2-14	232-235	has	_	_	
2-15	236-242	little	_	_	
2-16	243-252	influence	_	_	
2-17	253-255	on	_	_	
2-18	256-259	the	_	_	
2-19	260-267	broader	_	_	
2-20	268-275	economy	_	_	
2-21	275-276	.	_	_	

#Text=Harper is no more responsible for our current doldrums than he would be if were enjoying a nice pleasant 3% growth rate.
3-1	277-283	Harper	_	_	
3-2	284-286	is	_	_	
3-3	287-289	no	NEG	_	
3-4	290-294	more	SCOPE[2]	_	
3-5	295-306	responsible	SCOPE[2]	_	
3-6	307-310	for	SCOPE[2]	_	
