#FORMAT=WebAnno TSV 3.1


#Text=You know the numbers are suspect.....when the very same report tells you........'
1-1	0-3	You	
1-2	4-8	know	
1-3	9-12	the	
1-4	13-20	numbers	
1-5	21-24	are	
1-6	25-32	suspect	
1-7	32-33	.	
1-8	33-34	.	
1-9	34-35	.	
1-10	35-36	.	
1-11	36-37	.	
1-12	37-41	when	
1-13	42-45	the	
1-14	46-50	very	
1-15	51-55	same	
1-16	56-62	report	
1-17	63-68	tells	
1-18	69-72	you	
1-19	72-73	.	
1-20	73-74	.	
1-21	74-75	.	
1-22	75-76	.	
1-23	76-77	.	
1-24	77-78	.	
1-25	78-79	.	
1-26	79-80	.	
1-27	80-81	'	

#Text=The Government's net debt (total liabilities less financial assets) stood at $687.0 billion at March 31, 2015, up $4.6 billion from March 31, 2014.'
2-1	81-84	The	
2-2	85-97	Government's	
2-3	98-101	net	
2-4	102-106	debt	
2-5	107-108	(	
2-6	108-113	total	
2-7	114-125	liabilities	
2-8	126-130	less	
2-9	131-140	financial	
2-10	141-147	assets	
2-11	147-148	)	
2-12	149-154	stood	
2-13	155-157	at	
2-14	158-164	$687.0	
2-15	165-172	billion	
2-16	173-175	at	
2-17	176-181	March	
2-18	182-184	31	
2-19	184-185	,	
2-20	186-190	2015	
2-21	190-191	,	
2-22	192-194	up	
2-23	195-199	$4.6	
2-24	200-207	billion	
2-25	208-212	from	
2-26	213-218	March	
2-27	219-221	31	
2-28	221-222	,	
2-29	223-227	2014	
2-30	227-228	.	
2-31	228-229	'	

#Text=Page 24 - http://www.fin.gc.ca/afr-rfa/2015/afr-rfa-eng.pdfIn what kind of fairy tale universe could adding $4.6 billion to the National Debt be construed as having a $1.9 billion surplus ?
3-1	229-233	Page	
3-2	234-236	24	
3-3	237-238	-	
3-4	239-243	http	
3-5	243-244	:	
3-6	244-245	/	
3-7	245-246	/	
3-8	246-259	www.fin.gc.ca	
3-9	259-260	/	
3-10	260-267	afr-rfa	
3-11	267-268	/	
3-12	268-272	2015	
3-13	272-273	/	
3-14	273-290	afr-rfa-eng.pdfIn	
3-15	291-295	what	
3-16	296-300	kind	
3-17	301-303	of	
3-18	304-309	fairy	
3-19	310-314	tale	
3-20	315-323	universe	
3-21	324-329	could	
3-22	330-336	adding	
3-23	337-341	$4.6	
3-24	342-349	billion	
3-25	350-352	to	
3-26	353-356	the	
3-27	357-365	National	
3-28	366-370	Debt	
3-29	371-373	be	
3-30	374-383	construed	
3-31	384-386	as	
3-32	387-393	having	
3-33	394-395	a	
3-34	396-400	$1.9	
3-35	401-408	billion	
3-36	409-416	surplus	
3-37	417-418	?	
