#FORMAT=WebAnno TSV 3.1


#Text=And when the Liberals would forecast a 2 billion surplus and then have a 9 billion surplus???
1-1	0-3	And	
1-2	4-8	when	
1-3	9-12	the	
1-4	13-21	Liberals	
1-5	22-27	would	
1-6	28-36	forecast	
1-7	37-38	a	
1-8	39-40	2	
1-9	41-48	billion	
1-10	49-56	surplus	
1-11	57-60	and	
1-12	61-65	then	
1-13	66-70	have	
1-14	71-72	a	
1-15	73-74	9	
1-16	75-82	billion	
1-17	83-90	surplus	
1-18	90-91	?	
1-19	91-92	?	
1-20	92-93	?	

#Text=The difference between 1.9 billion surplus and a 1.9 billion deficit is less than 1% off.
2-1	94-97	The	
2-2	98-108	difference	
2-3	109-116	between	
2-4	117-120	1.9	
2-5	121-128	billion	
2-6	129-136	surplus	
2-7	137-140	and	
2-8	141-142	a	
2-9	143-146	1.9	
2-10	147-154	billion	
2-11	155-162	deficit	
2-12	163-165	is	
2-13	166-170	less	
2-14	171-175	than	
2-15	176-178	1%	
2-16	179-182	off	
2-17	182-183	.	

#Text=Its a rounding error.
3-1	184-187	Its	
3-2	188-189	a	
3-3	190-198	rounding	
3-4	199-204	error	
3-5	204-205	.	
