#FORMAT=WebAnno TSV 3.1


#Text=For more information on how Harper was able to produce a surplus see here:http://news.nationalpost.com/news/canada/canadian-politics/economic-prudence-or-cuts-by-stealth-federal-departments-left-8-7-billion-unspent-last-year
1-1	0-3	For	
1-2	4-8	more	
1-3	9-20	information	
1-4	21-23	on	
1-5	24-27	how	
1-6	28-34	Harper	
1-7	35-38	was	
1-8	39-43	able	
1-9	44-46	to	
1-10	47-54	produce	
1-11	55-56	a	
1-12	57-64	surplus	
1-13	65-68	see	
1-14	69-73	here	
1-15	73-74	:	
1-16	74-78	http	
1-17	78-79	:	
1-18	79-80	/	
1-19	80-81	/	
1-20	81-102	news.nationalpost.com	
1-21	102-103	/	
1-22	103-107	news	
1-23	107-108	/	
1-24	108-114	canada	
1-25	114-115	/	
1-26	115-132	canadian-politics	
1-27	132-133	/	
1-28	133-194	economic-prudence-or-cuts-by-stealth-federal-departments-left	
1-29	194-195	-	
1-30	195-196	8	
1-31	196-197	-	
1-32	197-198	7	
1-33	198-199	-	
1-34	199-224	billion-unspent-last-year	
