#FORMAT=WebAnno TSV 3.1


#Text=Full proof that 70% of Canadian are dead right: They want HARPER kicked OUT!
1-1	0-4	Full	
1-2	5-10	proof	
1-3	11-15	that	
1-4	16-19	70%	
1-5	20-22	of	
1-6	23-31	Canadian	
1-7	32-35	are	
1-8	36-40	dead	
1-9	41-46	right	
1-10	46-47	:	
1-11	48-52	They	
1-12	53-57	want	
1-13	58-64	HARPER	
1-14	65-71	kicked	
1-15	72-75	OUT	
1-16	75-76	!	

#Text=Let's get on with the Job!
2-1	76-81	Let's	
2-2	82-85	get	
2-3	86-88	on	
2-4	89-93	with	
2-5	94-97	the	
2-6	98-101	Job	
2-7	101-102	!	

#Text=Restore Democracy to its rightful place in Canada!
3-1	103-110	Restore	
3-2	111-120	Democracy	
3-3	121-123	to	
3-4	124-127	its	
3-5	128-136	rightful	
3-6	137-142	place	
3-7	143-145	in	
3-8	146-152	Canada	
3-9	152-153	!	
