#FORMAT=WebAnno TSV 3.1


#Text=Perhaps Mr.Simpson prefers the Barack Obama approach,just inform your Treasury department to keep the National debt at 18.155 trillion for six months while still managing to borrow 500 billion.
1-1	0-7	Perhaps	
1-2	8-18	Mr.Simpson	
1-3	19-26	prefers	
1-4	27-30	the	
1-5	31-37	Barack	
1-6	38-43	Obama	
1-7	44-52	approach	
1-8	52-53	,	
1-9	53-57	just	
1-10	58-64	inform	
1-11	65-69	your	
1-12	70-78	Treasury	
1-13	79-89	department	
1-14	90-92	to	
1-15	93-97	keep	
1-16	98-101	the	
1-17	102-110	National	
1-18	111-115	debt	
1-19	116-118	at	
1-20	119-125	18.155	
1-21	126-134	trillion	
1-22	135-138	for	
1-23	139-142	six	
1-24	143-149	months	
1-25	150-155	while	
1-26	156-161	still	
1-27	162-170	managing	
1-28	171-173	to	
1-29	174-180	borrow	
1-30	181-184	500	
1-31	185-192	billion	
1-32	192-193	.	
