#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.NEGATION|Negations


#Text=So this article is saying that Harper should had a deficit this year with election in one month instead of last year with no election!
1-1	0-2	So	_	
1-2	3-7	this	_	
1-3	8-15	article	_	
1-4	16-18	is	_	
1-5	19-25	saying	_	
1-6	26-30	that	_	
1-7	31-37	Harper	_	
1-8	38-44	should	_	
1-9	45-48	had	_	
1-10	49-50	a	_	
1-11	51-58	deficit	_	
1-12	59-63	this	_	
1-13	64-68	year	_	
1-14	69-73	with	_	
1-15	74-82	election	_	
1-16	83-85	in	_	
1-17	86-89	one	_	
1-18	90-95	month	_	
1-19	96-103	instead	_	
1-20	104-106	of	_	
1-21	107-111	last	_	
1-22	112-116	year	_	
1-23	117-121	with	_	
1-24	122-124	no	NEG	
1-25	125-133	election	SCOPE[2]|FOCUS[3]	
1-26	133-134	!	_	

#Text=This is the problem with liberal thinking it is not realistic, it is idealistic
2-1	135-139	This	_	
2-2	140-142	is	_	
2-3	143-146	the	_	
2-4	147-154	problem	_	
2-5	155-159	with	_	
2-6	160-167	liberal	_	
2-7	168-176	thinking	_	
2-8	177-179	it	_	
2-9	180-182	is	_	
2-10	183-186	not	NEG	
2-11	187-196	realistic	SCOPE[5]|FOCUS[6]	
2-12	196-197	,	_	
2-13	198-200	it	_	
2-14	201-203	is	_	
2-15	204-214	idealistic	_	
