#FORMAT=WebAnno TSV 3.1


#Text=The biggest surprise for me was finding out that Joe Oliver had been replaced by the late Jim Flaherty as finance minister in 2014, a year after he passed away.
1-1	0-3	The	
1-2	4-11	biggest	
1-3	12-20	surprise	
1-4	21-24	for	
1-5	25-27	me	
1-6	28-31	was	
1-7	32-39	finding	
1-8	40-43	out	
1-9	44-48	that	
1-10	49-52	Joe	
1-11	53-59	Oliver	
1-12	60-63	had	
1-13	64-68	been	
1-14	69-77	replaced	
1-15	78-80	by	
1-16	81-84	the	
1-17	85-89	late	
1-18	90-93	Jim	
1-19	94-102	Flaherty	
1-20	103-105	as	
1-21	106-113	finance	
1-22	114-122	minister	
1-23	123-125	in	
1-24	126-130	2014	
1-25	130-131	,	
1-26	132-133	a	
1-27	134-138	year	
1-28	139-144	after	
1-29	145-147	he	
1-30	148-154	passed	
1-31	155-159	away	
1-32	159-160	.	
