#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.NEGATION|Negations


#Text=Of course even Canadian fought two British world wars.
1-1	0-2	Of	_	
1-2	3-9	course	_	
1-3	10-14	even	_	
1-4	15-23	Canadian	_	
1-5	24-30	fought	_	
1-6	31-34	two	_	
1-7	35-42	British	_	
1-8	43-48	world	_	
1-9	49-53	wars	_	
1-10	53-54	.	_	

#Text=Only low life doesn't understand that.
2-1	55-59	Only	_	
2-2	60-63	low	_	
2-3	64-68	life	_	
2-4	69-76	doesn't	NEG	
2-5	77-87	understand	SCOPE[2]	
2-6	88-92	that	SCOPE[2]|FOCUS[3]	
2-7	92-93	.	_	
