#FORMAT=WebAnno TSV 3.1


#Text=Wow, what a great ideal.
1-1	0-3	Wow	
1-2	3-4	,	
1-3	5-9	what	
1-4	10-11	a	
1-5	12-17	great	
1-6	18-23	ideal	
1-7	23-24	.	

#Text=All we need to do now to start planting those money  trees and everything will be okay.
2-1	25-28	All	
2-2	29-31	we	
2-3	32-36	need	
2-4	37-39	to	
2-5	40-42	do	
2-6	43-46	now	
2-7	47-49	to	
2-8	50-55	start	
2-9	56-64	planting	
2-10	65-70	those	
2-11	71-76	money	
2-12	78-83	trees	
2-13	84-87	and	
2-14	88-98	everything	
2-15	99-103	will	
2-16	104-106	be	
2-17	107-111	okay	
2-18	111-112	.	
