#FORMAT=WebAnno TSV 3.1


#Text=Trump did what every successful business person has done in the past.
1-1	0-5	Trump	
1-2	6-9	did	
1-3	10-14	what	
1-4	15-20	every	
1-5	21-31	successful	
1-6	32-40	business	
1-7	41-47	person	
1-8	48-51	has	
1-9	52-56	done	
1-10	57-59	in	
1-11	60-63	the	
1-12	64-68	past	
1-13	68-69	.	

#Text=He CHANGED THE RULES OF A LOSING GAME (see book by David Posen).......and pundits, politicos and those standing on the sidelines may just be getting around to understanding that fact.
2-1	70-72	He	
2-2	73-80	CHANGED	
2-3	81-84	THE	
2-4	85-90	RULES	
2-5	91-93	OF	
2-6	94-95	A	
2-7	96-102	LOSING	
2-8	103-107	GAME	
2-9	108-109	(	
2-10	109-112	see	
2-11	113-117	book	
2-12	118-120	by	
2-13	121-126	David	
2-14	127-132	Posen	
2-15	132-133	)	
2-16	133-134	.	
2-17	134-135	.	
2-18	135-136	.	
2-19	136-137	.	
2-20	137-138	.	
2-21	138-139	.	
2-22	139-140	.	
2-23	140-143	and	
2-24	144-151	pundits	
2-25	151-152	,	
2-26	153-162	politicos	
2-27	163-166	and	
2-28	167-172	those	
2-29	173-181	standing	
2-30	182-184	on	
2-31	185-188	the	
2-32	189-198	sidelines	
2-33	199-202	may	
2-34	203-207	just	
2-35	208-210	be	
2-36	211-218	getting	
2-37	219-225	around	
2-38	226-228	to	
2-39	229-242	understanding	
2-40	243-247	that	
2-41	248-252	fact	
2-42	252-253	.	
