#FORMAT=WebAnno TSV 3.1


#Text=what do we say to the 53% of white women voters who went with Trump and turned down the option  to back Billary?
1-1	0-4	what	
1-2	5-7	do	
1-3	8-10	we	
1-4	11-14	say	
1-5	15-17	to	
1-6	18-21	the	
1-7	22-25	53%	
1-8	26-28	of	
1-9	29-34	white	
1-10	35-40	women	
1-11	41-47	voters	
1-12	48-51	who	
1-13	52-56	went	
1-14	57-61	with	
1-15	62-67	Trump	
1-16	68-71	and	
1-17	72-78	turned	
1-18	79-83	down	
1-19	84-87	the	
1-20	88-94	option	
1-21	96-98	to	
1-22	99-103	back	
1-23	104-111	Billary	
1-24	111-112	?	
