#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.NEGATION|Negations
#T_RL=webanno.custom.XNEGATION|BT_webanno.custom.NEGATION


#Text=Don't know what media has the author been following, but her statement that the media 'ruined' Clinton is hypocritical.
1-1	0-5	Don't	NEG	_	
1-2	6-10	know	SCOPE[2]	_	
1-3	11-15	what	SCOPE[2]	_	
1-4	16-21	media	SCOPE[2]	_	
1-5	22-25	has	SCOPE[2]	_	
1-6	26-29	the	SCOPE[2]|FOCUS[3]	_	
1-7	30-36	author	SCOPE[2]|FOCUS[3]	_	
1-8	37-41	been	SCOPE[2]	_	
1-9	42-51	following	SCOPE[2]	_	
1-10	51-52	,	_	_	
1-11	53-56	but	_	_	
1-12	57-60	her	_	_	
1-13	61-70	statement	_	_	
1-14	71-75	that	_	_	
1-15	76-79	the	_	_	
1-16	80-85	media	_	_	
1-17	86-87	'	_	_	
1-18	87-93	ruined	_	_	
1-19	93-94	'	_	_	
1-20	95-102	Clinton	_	_	
1-21	103-105	is	_	_	
1-22	106-118	hypocritical	_	_	
1-23	118-119	.	_	_	

#Text=Trump received more than enough negative coverage, focusing on his .Wasn't enough - Hillary lost, and there is plenty of material now for the pundits to analyse - the why, the who and the what.If someone chooses to vote for gender, instead of the actual person - it is their right to do so.But don't lecture us on how, or whom to vote for.Don't assume you speak on behalf of all of us, we do know what to tell (or not) our daughters.My guess - this article was a calculated PR move, adding another notch to the author's 'feminism portfolio'.Lastly, if you are thinking politics - this kind of 'feminist crusader' attitude might not work out for you.
2-1	120-125	Trump	_	_	
2-2	126-134	received	_	_	
2-3	135-139	more	_	_	
2-4	140-144	than	_	_	
2-5	145-151	enough	_	_	
2-6	152-160	negative	_	_	
2-7	161-169	coverage	_	_	
2-8	169-170	,	_	_	
2-9	171-179	focusing	_	_	
2-10	180-182	on	_	_	
2-11	183-186	his	_	_	
2-12	187-188	.	_	_	
2-13	188-194	Wasn't	NEG	_	
2-14	195-201	enough	SCOPE[5]|FOCUS[6]	_	
2-15	202-203	-	_	_	
2-16	204-211	Hillary	_	_	
2-17	212-216	lost	_	_	
2-18	216-217	,	_	_	
2-19	218-221	and	_	_	
2-20	222-227	there	_	_	
2-21	228-230	is	_	_	
2-22	231-237	plenty	_	_	
2-23	238-240	of	_	_	
2-24	241-249	material	_	_	
2-25	250-253	now	_	_	
2-26	254-257	for	_	_	
2-27	258-261	the	_	_	
2-28	262-269	pundits	_	_	
2-29	270-272	to	_	_	
2-30	273-280	analyse	_	_	
2-31	281-282	-	_	_	
2-32	283-286	the	_	_	
2-33	287-290	why	_	_	
2-34	290-291	,	_	_	
