#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.NEGATION|Negations


#Text=If Hillary Clinton and the corrupt Democratic Party lost the election, gender was the least of the reasons for such.
1-1	0-2	If	_	
1-2	3-10	Hillary	_	
1-3	11-18	Clinton	_	
1-4	19-22	and	_	
1-5	23-26	the	_	
1-6	27-34	corrupt	_	
1-7	35-45	Democratic	_	
1-8	46-51	Party	_	
1-9	52-56	lost	_	
1-10	57-60	the	_	
1-11	61-69	election	_	
1-12	69-70	,	_	
1-13	71-77	gender	_	
1-14	78-81	was	_	
1-15	82-85	the	_	
1-16	86-91	least	_	
1-17	92-94	of	_	
1-18	95-98	the	_	
1-19	99-106	reasons	_	
1-20	107-110	for	_	
1-21	111-115	such	_	
1-22	115-116	.	_	

#Text=Her war-hawkish stance that had us on a collision course with Russia is just one example of a far more significant reason that many could not vote for her.
2-1	118-121	Her	_	
2-2	122-133	war-hawkish	_	
2-3	134-140	stance	_	
2-4	141-145	that	_	
2-5	146-149	had	_	
2-6	150-152	us	_	
2-7	153-155	on	_	
2-8	156-157	a	_	
2-9	158-167	collision	_	
2-10	168-174	course	_	
2-11	175-179	with	_	
2-12	180-186	Russia	_	
2-13	187-189	is	_	
2-14	190-194	just	_	
2-15	195-198	one	_	
2-16	199-206	example	_	
2-17	207-209	of	_	
2-18	210-211	a	_	
2-19	212-215	far	_	
2-20	216-220	more	_	
2-21	221-232	significant	_	
2-22	233-239	reason	_	
2-23	240-244	that	_	
2-24	245-249	many	_	
2-25	250-255	could	_	
2-26	256-259	not	NEG	
2-27	260-264	vote	SCOPE[2]	
2-28	265-268	for	SCOPE[2]	
2-29	269-272	her	SCOPE[2]|FOCUS[3]	
2-30	272-273	.	_	

#Text=It's all well and good to give lip service to gender equality and minority rights and yet be willing to bomb them over seas  for the benefit of a neoliberal/neoconservative agenda. corporate agenda.
3-1	275-279	It's	_	
3-2	280-283	all	_	
3-3	284-288	well	_	
3-4	289-292	and	_	
3-5	293-297	good	_	
3-6	298-300	to	_	
3-7	301-305	give	_	
3-8	306-309	lip	_	
3-9	310-317	service	_	
3-10	318-320	to	_	
3-11	321-327	gender	_	
3-12	328-336	equality	_	
3-13	337-340	and	_	
3-14	341-349	minority	_	
3-15	350-356	rights	_	
3-16	357-360	and	_	
3-17	361-364	yet	_	
3-18	365-367	be	_	
3-19	368-375	willing	_	
3-20	376-378	to	_	
3-21	379-383	bomb	_	
3-22	384-388	them	_	
3-23	389-393	over	_	
3-24	394-398	seas	_	
3-25	400-403	for	_	
3-26	404-407	the	_	
3-27	408-415	benefit	_	
3-28	416-418	of	_	
3-29	419-420	a	_	
3-30	421-431	neoliberal	_	
3-31	431-432	/	_	
3-32	432-447	neoconservative	_	
3-33	448-454	agenda	_	
3-34	454-455	.	_	
3-35	456-465	corporate	_	
3-36	466-472	agenda	_	
3-37	472-473	.	_	
