#FORMAT=WebAnno TSV 3.1


#Text=Tell you daughters that it was a free and fair election and that 42% of all women voted for Trump. 53% of white females voted for Trump. 45% of College educated white women voted for Trump. http://qz.com/833003/election-2016-all-women-voted-overwhelmingly-for-clinton-except-the-white-ones/
1-1	0-4	Tell	
1-2	5-8	you	
1-3	9-18	daughters	
1-4	19-23	that	
1-5	24-26	it	
1-6	27-30	was	
1-7	31-32	a	
1-8	33-37	free	
1-9	38-41	and	
1-10	42-46	fair	
1-11	47-55	election	
1-12	56-59	and	
1-13	60-64	that	
1-14	65-68	42%	
1-15	69-71	of	
1-16	72-75	all	
1-17	76-81	women	
1-18	82-87	voted	
1-19	88-91	for	
1-20	92-97	Trump	
1-21	97-98	.	
1-22	99-102	53%	
1-23	103-105	of	
1-24	106-111	white	
1-25	112-119	females	
1-26	120-125	voted	
1-27	126-129	for	
1-28	130-135	Trump	
1-29	135-136	.	
1-30	137-140	45%	
1-31	141-143	of	
1-32	144-151	College	
1-33	152-160	educated	
1-34	161-166	white	
1-35	167-172	women	
1-36	173-178	voted	
1-37	179-182	for	
1-38	183-188	Trump	
1-39	188-189	.	
1-40	190-194	http	
1-41	194-195	:	
1-42	195-196	/	
1-43	196-197	/	
1-44	197-203	qz.com	
1-45	203-204	/	
1-46	204-210	833003	
1-47	210-211	/	
1-48	211-219	election	
1-49	219-220	-	
1-50	220-224	2016	
1-51	224-225	-	
1-52	225-289	all-women-voted-overwhelmingly-for-clinton-except-the-white-ones	
1-53	289-290	/	
