#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.NEGATION|Negations


#Text=I'll give Vatican-Frank his due, he's a great marketing front-man for his church.
1-1	0-4	I'll	_	
1-2	5-9	give	_	
1-3	10-23	Vatican-Frank	_	
1-4	24-27	his	_	
1-5	28-31	due	_	
1-6	31-32	,	_	
1-7	33-37	he's	_	
1-8	38-39	a	_	
1-9	40-45	great	_	
1-10	46-55	marketing	_	
1-11	56-65	front-man	_	
1-12	66-69	for	_	
1-13	70-73	his	_	
1-14	74-80	church	_	
1-15	80-81	.	_	

#Text=But one does not have to dig very deep to see that the Catholic institution's core dogma is still rooted in misogyny, homophobia and arbitrary holier-than-thou intolerance towards many of our fellow human beings.
2-1	82-85	But	_	
2-2	86-89	one	_	
2-3	90-94	does	_	
2-4	95-98	not	NEG	
2-5	99-103	have	SCOPE[2]	
2-6	104-106	to	SCOPE[2]	
2-7	107-110	dig	SCOPE[2]	
2-8	111-115	very	SCOPE[2]	
2-9	116-120	deep	SCOPE[2]	
2-10	121-123	to	SCOPE[2]	
2-11	124-127	see	SCOPE[2]	
2-12	128-132	that	SCOPE[2]	
2-13	133-136	the	SCOPE[2]	
2-14	137-145	Catholic	SCOPE[2]	
2-15	146-159	institution's	SCOPE[2]	
2-16	160-164	core	SCOPE[2]	
2-17	165-170	dogma	SCOPE[2]	
2-18	171-173	is	SCOPE[2]	
2-19	174-179	still	SCOPE[2]	
2-20	180-186	rooted	SCOPE[2]	
2-21	187-189	in	SCOPE[2]	
2-22	190-198	misogyny	SCOPE[2]|FOCUS[3]	
2-23	198-199	,	SCOPE[2]	
2-24	200-210	homophobia	SCOPE[2]|FOCUS[4]	
2-25	211-214	and	SCOPE[2]	
2-26	215-224	arbitrary	SCOPE[2]	
2-27	225-241	holier-than-thou	SCOPE[2]|FOCUS[5]	
2-28	242-253	intolerance	SCOPE[2]|FOCUS[5]	
2-29	254-261	towards	SCOPE[2]	
2-30	262-266	many	SCOPE[2]	
2-31	267-269	of	SCOPE[2]	
2-32	270-273	our	SCOPE[2]	
2-33	274-280	fellow	SCOPE[2]	
2-34	281-286	human	SCOPE[2]	
2-35	287-293	beings	SCOPE[2]	
2-36	293-294	.	_	
