#FORMAT=WebAnno TSV 3.1


#Text=Henry Yu has made a name for himself by being a champion of Chinese immigrants and calling attention to the abuses they were subject to 100, 200 years ago.
1-1	0-5	Henry	
1-2	6-8	Yu	
1-3	9-12	has	
1-4	13-17	made	
1-5	18-19	a	
1-6	20-24	name	
1-7	25-28	for	
1-8	29-36	himself	
1-9	37-39	by	
1-10	40-45	being	
1-11	46-47	a	
1-12	48-56	champion	
1-13	57-59	of	
1-14	60-67	Chinese	
1-15	68-78	immigrants	
1-16	79-82	and	
1-17	83-90	calling	
1-18	91-100	attention	
1-19	101-103	to	
1-20	104-107	the	
1-21	108-114	abuses	
1-22	115-119	they	
1-23	120-124	were	
1-24	125-132	subject	
1-25	133-135	to	
1-26	136-139	100	
1-27	139-140	,	
1-28	141-144	200	
1-29	145-150	years	
1-30	151-154	ago	
1-31	154-155	.	

#Text=It is his JOB to continue this line of research and find racism in every piece of legislation, however innocent it is.
2-1	156-158	It	
2-2	159-161	is	
2-3	162-165	his	
2-4	166-169	JOB	
2-5	170-172	to	
2-6	173-181	continue	
2-7	182-186	this	
2-8	187-191	line	
2-9	192-194	of	
2-10	195-203	research	
2-11	204-207	and	
2-12	208-212	find	
2-13	213-219	racism	
2-14	220-222	in	
2-15	223-228	every	
2-16	229-234	piece	
2-17	235-237	of	
2-18	238-249	legislation	
2-19	249-250	,	
2-20	251-258	however	
2-21	259-267	innocent	
2-22	268-270	it	
2-23	271-273	is	
2-24	273-274	.	

#Text=His stance against racism is actually his bread and butter.
3-1	275-278	His	
3-2	279-285	stance	
3-3	286-293	against	
3-4	294-300	racism	
3-5	301-303	is	
3-6	304-312	actually	
3-7	313-316	his	
3-8	317-322	bread	
3-9	323-326	and	
3-10	327-333	butter	
3-11	333-334	.	
